@ 3600 IN SOA ns2 soutbj 2015031901 60 3600 604800 3600
@ 3600 IN MX 1 farvlp
3600 IN MX 1 farvlv
3600 IN A 137.125.248.115
3600 IN A 137.125.248.116
wlogin 3600 IN A 137.125.253.146
router 3600 IN A 137.125.251.254
reset 3600 IN CNAME farvwr.it
vpn 3600 IN A 137.125.248.11
fsc-f34 3600 IN A 137.125.253.34
workorder 3600 IN A 137.125.248.47
auth 3600 IN A 137.125.248.70
3600 IN A 137.125.248.71
testrr 3600 IN A 137.125.248.70
3600 IN A 137.125.248.92
tightrope 3600 IN A 137.125.248.90
snyfarva 3600 IN CNAME snyfarva.cc
snyfarvb 3600 IN CNAME snyfarvb.it
snyfarvc 3600 IN CNAME snyfarvc.cc
snyfarvd 3600 IN CNAME snyfarvd.it
snyfarvf 3600 IN CNAME snyfarvf.cc
snyfarvh 3600 IN CNAME snyfarvh.cc
snyfarvk 3600 IN CNAME snyfarvk.cc
snyfarvm 3600 IN CNAME snyfarvm.cc
www 3600 IN A 50.57.138.226
snyfarvp 3600 IN A 137.125.248.33
marketing 3600 IN CNAME snyfarvi.it
snyfarvr 3600 IN A 137.125.248.18
testwww 3600 IN CNAME 50-57-138-226.static.cloud-ips.com.
snyfarvu 3600 IN A 137.125.248.24
lists 3600 IN A 137.125.248.76
blackboard 3600 IN CNAME snyfarvr
auth-test 3600 IN A 137.125.248.92
webtest 3600 IN A 137.125.248.26
phy-bfield 3600 IN A 137.125.3.200
cm 3600 IN A 137.125.248.59
eds 3600 IN A 137.125.248.104
ed 3600 IN A 137.125.248.103
wlan-controller 3600 IN A 137.125.242.11
smscc 3600 IN A 137.125.248.37
dw 3600 IN A 137.125.248.76
