sarkislamyo 86400 IN CNAME public
besyosinav 86400 IN CNAME ekimya
gemerek.cuzem 86400 IN A 193.140.145.98
emuly 86400 IN CNAME public
fizikyazokulu 86400 IN CNAME public
mimarlik 86400 IN CNAME public
kangal.cuzem 86400 IN A 193.140.145.94
radyocum 86400 IN CNAME public
sosyalbilenst 86400 IN CNAME public
summed 86400 IN CNAME public
cubap 86400 IN CNAME public
cacti 86400 IN A 193.140.145.20
jeouzal 86400 IN CNAME public
kerbela 86400 IN CNAME public
kampuskart1 86400 IN CNAME public2
aydindemir 86400 IN CNAME public
sivas1.cuzem 86400 IN A 193.140.145.83
celalteyyar 86400 IN CNAME public
eskipublic 86400 IN A 193.140.145.14
cukongre2015 86400 IN CNAME public
gemerekmyo 86400 IN CNAME public
ialbayrak 86400 IN CNAME public
www2 86400 IN A 193.140.145.27
enformatik 86400 IN CNAME public
custigem 86400 IN CNAME public
sbf 86400 IN CNAME public
tyo 86400 IN CNAME public
muhendislik 86400 IN A 193.140.145.105
lisweb 86400 IN A 193.140.145.45
mbudak 86400 IN CNAME public
cutf 86400 IN CNAME public
katalog 86400 IN A 193.140.145.55
fenmbg 86400 IN CNAME public
kimlikkart 86400 IN CNAME public2
karmasis 86400 IN A 193.140.145.104
cuastam 86400 IN CNAME public
sympsivas 86400 IN CNAME public
divrigikalesi 86400 IN CNAME public
haberler 86400 IN CNAME public
egitimbilenst 86400 IN CNAME public
ceng2 86400 IN A 193.140.145.124
orhantatar 86400 IN CNAME public
sakkoyun 86400 IN CNAME public
cubid 86400 IN A 193.140.145.17
tefsirkoord2015 86400 IN CNAME public
yildizeli.cuzem 86400 IN A 193.140.145.97
vetproje 86400 IN CNAME public
cgurlek 86400 IN CNAME public
pacs 86400 IN A 193.140.145.35
ortacagsemp2012 86400 IN CNAME public
saraydin 86400 IN CNAME public
kkonur 86400 IN CNAME public
dhcp 86400 IN A 193.140.145.11
kampuskart 86400 IN CNAME public
proxy 86400 IN A 193.140.145.50
kantinler 86400 IN A 193.140.145.209
akademikarsiv 86400 IN A 193.140.145.30
haticeyildiz 86400 IN CNAME public
onkoloji1 86400 IN A 193.140.145.247
geomatik 86400 IN CNAME public
oyp 86400 IN CNAME public
mcu2.cuzem 86400 IN A 193.140.145.81
usos2011 86400 IN CNAME public
eskidergi 86400 IN CNAME public
kabis 86400 IN A 193.140.145.106
rakkaya 86400 IN CNAME public
saglikbilenst 86400 IN CNAME public
unipasql 86400 IN A 193.140.145.60
serdarcelik 86400 IN CNAME public
muratokatan 86400 IN CNAME public
ddma 86400 IN CNAME public
toeic 86400 IN CNAME public
robolab 86400 IN CNAME public
uys 86400 IN A 193.140.145.62
susaglikyo 86400 IN CNAME public
pacsyedek 86400 IN A 193.140.145.126
tujk2013 86400 IN CNAME public
umts2007 86400 IN CNAME public
mbursal 86400 IN CNAME public
teknikegitim 86400 IN CNAME public
interferomety 86400 IN A 193.140.145.107
fenerbahce 86400 IN CNAME public
kimya2009 86400 IN CNAME public
sarkisla.cuzem 86400 IN A 193.140.145.93
metalurji 86400 IN CNAME public
kangalmyo 86400 IN CNAME public
kds 86400 IN CNAME public
gurun.cuzem 86400 IN A 193.140.145.92
osymkamera2 86400 IN A 193.140.145.32
opolat 86400 IN CNAME public
osymwolpd 86400 IN A 193.140.145.33
intoffice 86400 IN CNAME public
samba 86400 IN A 193.140.145.65
randevu 86400 IN A 193.140.145.192
erasmus 86400 IN CNAME public
zaramyo 86400 IN A 31.192.209.44
cuzemserver 86400 IN A 193.140.156.10
radius 86400 IN A 193.140.145.99
rsgis 86400 IN CNAME public
mevlana 86400 IN CNAME public
tahsinboyraz 86400 IN CNAME public
ntp 86400 IN A 193.140.145.12
smyo 86400 IN CNAME public
cujek 86400 IN CNAME public
jeofizik 86400 IN CNAME public
iibferp 86400 IN A 193.140.145.112
vethok 86400 IN CNAME public
mcuserver.cuzem 86400 IN A 193.140.145.82
sivas2.cuzem 86400 IN A 193.140.145.84
