soren 86400 IN CNAME prophead
nsu_ricoh 86400 IN CNAME nashua.uznet
schools 86400 IN CNAME dial
intranet 86400 IN A 196.21.81.152
xmpp 86400 IN CNAME seanc.uznet.uz.
ims 86400 IN A 10.56.4.2
netport1 86400 IN A 196.11.136.84
www.theology 86400 IN CNAME theology
ongoye 86400 IN A 196.11.136.103
scienceups 86400 IN A 196.11.138.30
uz 86400 IN CNAME ongoye
cmd 86400 IN A 196.21.81.129
yazoo 86400 IN A 196.11.136.66
#intraload 86400 IN A 10.63.2.140
www.lis 86400 IN A 196.21.81.146
www.isiphethu 86400 IN A 196.21.81.155
kratos 86400 IN A 10.52.2.6
coe 86400 IN A 196.21.81.165
lisserver1 86400 IN A 10.55.2.2
lisserver2 86400 IN A 10.53.201.2
www.uznet 86400 IN A 196.11.140.247
studentx 86400 IN A 196.11.140.249
gw-10-63-2 86400 IN A 10.63.2.1
newzcm11 86400 IN A 10.61.3.238
uzap001 86400 IN A 10.63.2.16
uzap002 86400 IN A 10.63.2.17
uzap003 86400 IN A 10.61.3.16
uzap004 86400 IN A 10.61.3.17
uzap005 86400 IN A 10.61.3.249
86400 IN A 10.63.2.14
uzap006 86400 IN A 10.63.2.12
www3 86400 IN A 196.21.83.134
uzap009 86400 IN A 10.63.2.18
www.icpafr 86400 IN CNAME icpafr
umlazi1 86400 IN A 196.11.144.1
zs5and 86400 IN A 196.21.81.160
nsu-ps 86400 IN A 196.11.140.199
uzndomain 86400 IN A 10.63.2.32
new-dial 86400 IN A 196.11.136.243
ithemba 86400 IN A 196.11.136.247
newstaff 86400 IN A 10.61.3.236
abacus 86400 IN A 196.21.82.3
urica 86400 IN CNAME irica
www-vhosts1 86400 IN A 196.21.81.10
www-vhosts2 86400 IN A 196.21.81.30
tcs 86400 IN A 196.11.140.99
dial 86400 IN A 196.11.136.240
physics 86400 IN A 196.11.136.252
news 86400 IN CNAME squid
uzfp001 86400 IN A 10.63.2.13
lists 86400 IN CNAME squid
moodring 86400 IN A 10.63.2.14
ciscoucs 86400 IN A 10.61.3.51
uzap050 86400 IN A 10.63.2.20
smsnt 86400 IN A 196.11.136.178
reportal 86400 IN A 196.21.81.149
seanc 86400 IN CNAME seanc.uznet.uz.
goober 86400 IN A 196.11.136.254
infotechups 86400 IN A 196.11.138.29
localhost 86400 IN A 127.0.0.1
uznfp001 86400 IN A 10.63.2.34
uznfp002 86400 IN A 10.63.2.35
zeus 86400 IN A 196.11.136.234
its0 86400 IN A 196.11.140.20
its1 86400 IN A 196.11.140.21
science 86400 IN A 196.11.140.196
staffportal 86400 IN A 196.11.140.202
bigmomma.uznet 86400 IN A 196.11.140.128
www.science 86400 IN CNAME science
ethemba 86400 IN A 196.11.136.101
