imap 3600 IN CNAME mail
sugangm 3600 IN CNAME info
hakbo 3600 IN CNAME www1
che 3600 IN CNAME cls
sugangt 3600 IN CNAME uswcmd
humc 3600 IN CNAME www1
pds 3600 IN CNAME www1
spss 3600 IN A 223.195.97.170
fndpt 3600 IN CNAME www1
math 3600 IN A 223.195.104.24
shlab 3600 IN CNAME www1
kms8 3600 IN CNAME kms
nursing 3600 IN CNAME cls
idisk 3600 IN A 223.195.109.207
job.pnl 3600 IN CNAME pnl
home 3600 IN CNAME portal
uswptd 3600 IN CNAME uswcmd
gauss 3600 IN A 223.195.104.25
uswvcmp06 3600 IN A 223.195.97.146
chinese 3600 IN CNAME www1
org 3600 IN CNAME www
socg 3600 IN CNAME www1
nursingd 3600 IN CNAME clsd
antp 3600 IN CNAME www1
cls 3600 IN CNAME www
cnd 3600 IN CNAME wwwd
web 3600 IN A 223.195.97.24
peo 3600 IN CNAME www1
splab 3600 IN CNAME www1
cms 3600 IN A 223.195.97.163
sugangd 3600 IN CNAME uswcmd
ipsim 3600 IN CNAME ipsi
stucons 3600 IN CNAME www1
com 3600 IN CNAME www1
llec 3600 IN CNAME cced
pakmul 3600 IN CNAME www1
xray 3600 IN A 223.195.103.24
w 3600 IN CNAME www
autosys 3600 IN CNAME www1
ryuri 3600 IN CNAME www1
kowonfa 3600 IN CNAME www1
pglab 3600 IN CNAME www1
civil 3600 IN CNAME www1
indg 3600 IN CNAME www1
mse.pnl 3600 IN CNAME pnl
counseling 3600 IN CNAME www1
csd 3600 IN CNAME clsd
edug 3600 IN CNAME www1
grrc 3600 IN A 223.195.109.44
pop 3600 IN CNAME mail
infc 3600 IN CNAME www1
mong 3600 IN CNAME www1
uswvcmp02 3600 IN A 223.195.97.142
ac 3600 IN CNAME www1
pubg 3600 IN CNAME www1
www 3600 IN CNAME web
ctl 3600 IN CNAME www1
info 3600 IN A 223.195.97.15
musc 3600 IN CNAME www1
bi 3600 IN A 223.195.96.17
musg 3600 IN CNAME www1
blackboard 3600 IN A 223.195.97.43
jpd 3600 IN CNAME wwwd
next 3600 IN CNAME it
leekahye 3600 IN CNAME www1
trashq 3600 IN CNAME www1
vrlab 3600 IN A 223.195.109.162
sanhak 3600 IN CNAME www1
ns 3600 IN A 223.195.97.3
#usw2004 3600 IN CNAME www1
cn 3600 IN CNAME www
portal 3600 IN A 223.195.97.16
#usw2008 3600 IN CNAME www1
cs 3600 IN CNAME cls
dod 3600 IN CNAME www1
avedu 3600 IN CNAME www1
uswvcmp01 3600 IN A 223.195.97.141
lab 3600 IN CNAME www
uswvcmp03 3600 IN A 223.195.97.143
uswvcmp04 3600 IN A 223.195.97.144
org2 3600 IN CNAME www
en 3600 IN CNAME www
uswvcmp07 3600 IN A 223.195.97.147
uswvcmp08 3600 IN A 223.195.97.178
pspark 3600 IN A 223.195.109.201
fi 3600 IN CNAME www1
