@ 43200 IN SOA ns1.rivalogic.com. admin.rivalogic.com. 271 900 600 21600 3600
@ 3600 IN TXT "v=spf1 include:spf.protection.outlook.com -all"
skblog 3600 IN A 173.193.14.218
ioppune 3600 IN A 173.192.47.4
www 3600 IN A 173.192.47.4
intoffice 3600 IN NS ns1.rivalogic.com.
shivajiraokadammarathi 3600 IN A 173.193.14.218
alumni-coepune 3600 IN A 180.179.50.139
bvems 3600 IN A 173.192.47.4
alumni 3600 IN A 216.205.99.39
bv 3600 IN A 216.205.99.39
ycisssr 3600 IN A 173.192.47.4
alumni-dchmumbai 3600 IN A 180.179.50.139
copepune 3600 IN A 173.192.47.4
nlcpune 3600 IN A 173.192.47.4
