www.iut 86400 IN CNAME server02
www.pfiev-old 86400 IN CNAME server02
server.cse 86400 IN A 221.133.13.113
bgt 86400 IN CNAME server89
dca.dee 86400 IN CNAME server89
admin.dme 86400 IN CNAME server07
khcn 86400 IN CNAME server89
pgs-demo 86400 IN CNAME server89
fmeqa 86400 IN CNAME server89
www.tchc 86400 IN CNAME server07
www.dme 86400 IN CNAME server07
ewem.dee 86400 IN CNAME server89
vpcongdoan 86400 IN CNAME server02
hnkhcn2013 86400 IN A 112.213.89.149
grad 86400 IN A 221.133.13.114
www.e-learning 86400 IN CNAME e-learning
cce 86400 IN A 221.133.13.120
cce 86400 IN MX 0 server.cse
cc 86400 IN A 14.161.22.133
rptc 86400 IN CNAME server07
bks 86400 IN CNAME server07
mpt.fme 86400 IN CNAME server89
dte-test 86400 IN CNAME server89
bhe.dce 86400 IN CNAME server07
admin.doqa 86400 IN CNAME server07
bdktvh 86400 IN CNAME server89
cokhi 86400 IN CNAME server89
traffic 86400 IN A 203.162.147.136
webmail 86400 IN CNAME server89
bsbc 86400 IN CNAME server07
www.materialslab 86400 IN CNAME server07
www.oisp 86400 IN CNAME oisp
mybk 86400 IN A 221.133.13.124
dbee.dee 86400 IN CNAME server89
admin.dte 86400 IN CNAME server07
personel 86400 IN A 221.133.13.114
admin.fas 86400 IN CNAME server07
ditagis 86400 IN CNAME server07
rcmeae2012 86400 IN CNAME server02
admin 86400 IN CNAME server07
www.dte 86400 IN CNAME server02
www.iheartech 86400 IN CNAME server89
supernode2.cse 86400 IN A 203.162.147.150
www.fas 86400 IN CNAME server07
ncomm2015 86400 IN CNAME server89
isel.dee 86400 IN CNAME server89
ifost2009 86400 IN CNAME server07
imc 86400 IN CNAME server07
server31 86400 IN A 221.133.13.119
www.vpcongdoan-new 86400 IN CNAME server89
hpcc 86400 IN A 203.162.147.230
tapchi 86400 IN CNAME server89
mailhost.cse 86400 IN CNAME server.cse
ftp.lib 86400 IN CNAME server.lib
www.khtc 86400 IN CNAME server.khtc
www.rptc 86400 IN CNAME server07
tuyensinh 86400 IN A 221.133.13.122
pgs 86400 IN CNAME server89
dce 86400 IN CNAME server07
dps.dee 86400 IN CNAME server89
dch 86400 IN CNAME server89
bdktvh-test 86400 IN CNAME server89
alumni.dee 86400 IN CNAME server89
fe 86400 IN A 118.69.201.108
server.lib 86400 IN A 203.162.44.56
www.netadm 86400 IN CNAME server12
carerescif 86400 IN CNAME server89
dee 86400 IN CNAME server89
membrane2014 86400 IN A 112.213.89.144
tvxb 86400 IN CNAME server07
opac.lib 86400 IN A 203.162.147.152
www.iro 86400 IN CNAME server89
gpu02 86400 IN A 203.162.44.56
server.khtc 86400 IN CNAME server07
portal.lib 86400 IN A 221.133.13.104
myadmin.server01 86400 IN CNAME server07
gpu11 86400 IN A 203.162.147.212
bkpay 86400 IN CNAME server31
cuusvck82 86400 IN CNAME server07
admin.eo 86400 IN CNAME server07
www.doqa 86400 IN CNAME server07
admin.tvxb 86400 IN CNAME server07
www.ktx 86400 IN CNAME ktx
cos 86400 IN CNAME server07
myadmin.server12 86400 IN CNAME server12
www.fmeqa 86400 IN CNAME server89
vpcongdoan-new 86400 IN CNAME server89
www.tvxb 86400 IN CNAME server07
tchc 86400 IN CNAME server07
www.qlns 86400 IN CNAME qlns
vpn 86400 IN CNAME server05
pms 86400 IN CNAME server05
www.flc 86400 IN CNAME server07
vre 86400 IN A 203.162.147.160
wiki 86400 IN A 221.133.13.124
cse 86400 IN A 221.133.13.113
cse 86400 IN MX 0 server.cse
www.fme 86400 IN CNAME server07
www.dee-new 86400 IN CNAME server89
www.easec14 86400 IN A 173.254.28.22
www.aao 86400 IN CNAME server.aao
dns2 86400 IN A 221.133.13.115
www.fmt 86400 IN CNAME server07
server.aao 86400 IN A 221.133.13.122
dme 86400 IN CNAME server07
www 86400 IN CNAME server12
diatinhoc.dce 86400 IN CNAME server07
www.dcselab 86400 IN CNAME dcselab
cenma 86400 IN CNAME server07
e-learning 86400 IN A 221.133.13.123
webhosting 86400 IN CNAME server89
www.lib 86400 IN CNAME server.lib
www.khcn 86400 IN CNAME server89
www.survey 86400 IN CNAME server89
www.khcn-old 86400 IN CNAME server89
