@ 86400 IN SOA fhudns postmaster 2015040601 10800 3600 604800 86400
@ 86400 IN MX 10 fhumail-bar
@ 86400 IN NS fhudns
pc5407.ircad3 86400 IN A 202.249.234.137
pc5321.ircad3 86400 IN A 202.249.234.21
web-kyomu 86400 IN A 202.249.232.71
pc12517 86400 IN A 202.249.233.157
pr5101.ircad2 86400 IN A 202.249.232.221
idm.irc 86400 IN A 202.249.234.121
pc5329.ircad3 86400 IN A 202.249.234.29
pc5405.ircad3 86400 IN A 202.249.234.135
pc52sv8 86400 IN A 202.249.232.234
pc54sv3.ircad3 86400 IN A 202.249.234.193
mcu-server 86400 IN A 202.249.234.239
pc5318.ircad3 86400 IN A 202.249.234.18
www 86400 IN A 202.249.233.4
jimu01 86400 IN A 202.249.232.68
jimu02 86400 IN A 202.249.232.69
pc5415.ircad3 86400 IN A 202.249.234.145
fhlfsv1-bk 86400 IN A 202.249.234.245
pc5403.ircad3 86400 IN A 202.249.234.133
wlan51am 86400 IN A 202.249.232.218
pc5316.ircad3 86400 IN A 202.249.234.16
pc5229.ircad2 86400 IN A 202.249.232.179
pc5401.ircad3 86400 IN A 202.249.234.131
pc5314.ircad3 86400 IN A 202.249.234.14
pc5227.ircad2 86400 IN A 202.249.232.177
pc5440.ircad3 86400 IN A 202.249.234.170
tr9302 86400 IN A 202.239.233.100
tr9305 86400 IN A 202.249.233.101
pc5312.ircad3 86400 IN A 202.249.234.12
syutu-gaku 86400 IN A 202.249.233.97
pc5225.ircad2 86400 IN A 202.249.232.175
sato 86400 IN CNAME st.mi
moodle 86400 IN A 202.249.233.22
pc2416 86400 IN A 202.249.232.46
fhu-pcad 86400 IN A 202.249.233.130
miyuki 86400 IN A 202.249.233.2
pc5309.ircad3 86400 IN A 202.249.234.9
pc5223.ircad2 86400 IN A 202.249.232.173
cp2501 86400 IN A 202.249.232.81
kwsv 86400 IN A 202.249.233.15
pc5307.ircad3 86400 IN A 202.249.234.7
www.irc 86400 IN CNAME zoffy.irc
pc12520 86400 IN A 202.249.233.160
pc5221.ircad2 86400 IN A 202.249.232.171
pr5305.ircad3 86400 IN A 202.249.234.65
pc24021.irc 86400 IN A 202.249.232.73
pc2101 86400 IN A 202.249.232.100
nsadsv1 86400 IN A 202.249.233.174
pc2103 86400 IN A 202.249.232.99
pc5305.ircad3 86400 IN A 202.249.234.5
kwww 86400 IN A 202.249.232.77
pc5218.ircad2 86400 IN A 202.249.232.168
pc2505 86400 IN A 202.249.232.21
pc5303.ircad3 86400 IN A 202.249.234.3
pc5216.ircad2 86400 IN A 202.249.232.166
pc5301.ircad3 86400 IN A 202.249.234.1
