www.examinations 86400 IN CNAME websys
sbfc 86400 IN CNAME websrv
history 86400 IN CNAME websys
puta 86400 IN CNAME websys
ccnsw 86400 IN CNAME websys
microbialbiotechnology 86400 IN CNAME websys
iqac 86400 IN CNAME websys
russian 86400 IN CNAME websys
www.anil 86400 IN CNAME websys
bgjih 86400 IN CNAME websys
forms 86400 IN CNAME websys
beta.botany 86400 IN CNAME websys
ugexam 86400 IN CNAME pgexam
cettest 86400 IN CNAME websys
researchdata 86400 IN CNAME websys
beta.aihca 86400 IN CNAME websys
puphyshpc 86400 IN A 124.124.110.171
uils 86400 IN CNAME websys
radiostation 86400 IN CNAME websys
www.uils 86400 IN CNAME websys
ocetadmissions 86400 IN CNAME websys
www.admissions 86400 IN CNAME websys
asc 86400 IN CNAME websrv
bedadmissions 86400 IN CNAME websys
dcsaplacements 86400 IN CNAME spider
uips 86400 IN CNAME websys
rrc 86400 IN CNAME websys
www.aavishkar12 86400 IN CNAME aavishkar12
publication 86400 IN CNAME websys
anil 86400 IN CNAME websys
ieee-uiet 86400 IN CNAME uiet
geography 86400 IN CNAME websys
beta.usol 86400 IN CNAME websys
philosophy 86400 IN CNAME websys
grdcsss 86400 IN CNAME websys
www.bedadmissions 86400 IN CNAME websys
www.evs 86400 IN CNAME websys
results2 86400 IN A 124.124.110.183
results3 86400 IN CNAME results
nuclearmedicine 86400 IN CNAME websys
bds 86400 IN CNAME websys
spider 86400 IN A 124.124.110.187
www.indiantheatre 86400 IN CNAME websys
beta.french 86400 IN CNAME websys
purjss 86400 IN CNAME websys
nchgsr 86400 IN CNAME websys
www.zoology 86400 IN CNAME websys
icsd2011 86400 IN CNAME websys
pgexam 86400 IN A 14.139.246.10
hindi 86400 IN CNAME websys
beta.punjabi 86400 IN CNAME websys
www.pumail 86400 IN CNAME websys
purckauni 86400 IN CNAME websys
policeadministration 86400 IN CNAME websys
www.education 86400 IN CNAME websys
crikc 86400 IN CNAME websys
lifelonglearning 86400 IN CNAME websys
pustaffclub 86400 IN CNAME websys
ssgpurc 86400 IN CNAME websys
cet 86400 IN CNAME websys
masscomm 86400 IN CNAME websys
www.alumni 86400 IN CNAME websys
www.biochemistry 86400 IN CNAME websys
politicalscience 86400 IN CNAME websys
www.cwsd 86400 IN CNAME websys
beta.maths 86400 IN CNAME websys
mbaoffcampusadmissions 86400 IN CNAME websys
beta.testmail 86400 IN CNAME websys
beta 86400 IN CNAME websys
www.results2 86400 IN CNAME results2
admissionsevening 86400 IN CNAME websrv
pblawadmissions 86400 IN CNAME websys
www.vvbisis 86400 IN CNAME websys
dcs 86400 IN CNAME websys
purcl 86400 IN CNAME websys
purcm 86400 IN CNAME websys
www.mbausol 86400 IN CNAME websys
uicet 86400 IN CNAME websys
www.geology 86400 IN CNAME websys
www.tenders 86400 IN CNAME websys
