@ 43200 IN SOA ns1 hostmaster 4120150410 28800 7200 604800 86400
@ 43200 IN MX 10 iron2
43200 IN MX 20 iron1
@ 43200 IN NS ns
43200 IN NS ns1
43200 IN NS sun.uakom.sk.
43200 IN NS decsys.vsb.cz.
c3.eduroam 43200 IN A 192.108.133.3
esfkluc 43200 IN CNAME web1
m192.rekt 43200 IN A 194.160.39.192
e-prihlaska 43200 IN A 194.160.44.25
www.fpvmv 43200 IN CNAME www.pdf
turing.fpv 43200 IN A 194.160.44.77
m132.rekt 43200 IN A 194.160.39.132
c73.eduroam 43200 IN A 192.108.133.73
umb 43200 IN A 192.108.131.11
c124.eduroam 43200 IN A 192.108.133.124
www.fif 43200 IN CNAME www.pdf
c183.eduroam 43200 IN A 192.108.133.183
www.ff 43200 IN CNAME www.fhv
s96.rekt 43200 IN A 194.160.39.96
www.fhv 43200 IN A 194.160.44.88
preukazy 43200 IN CNAME web2
m197.rekt 43200 IN A 194.160.39.197
ais2 43200 IN A 194.160.44.23
c252.eduroam 43200 IN A 192.108.133.252
s36.rekt 43200 IN A 194.160.39.36
c47.eduroam 43200 IN A 192.108.133.47
staryweb.ef 43200 IN A 194.160.44.34
radtestw 43200 IN A 194.160.46.218
c129.eduroam 43200 IN A 192.108.133.129
lms.test 43200 IN CNAME test
www.motus 43200 IN CNAME web3
www.doktorandi.pdf 43200 IN CNAME www.pdf
c157.eduroam 43200 IN A 192.108.133.157
s3.rekt 43200 IN A 194.160.39.3
c230.eduroam 43200 IN A 192.108.133.230
m213.rekt 43200 IN A 194.160.39.213
c226.eduroam 43200 IN A 192.108.133.226
c22.eduroam 43200 IN A 192.108.133.22
s42.rekt 43200 IN A 194.160.39.42
m143.rekt 43200 IN A 194.160.39.143
c81.eduroam 43200 IN A 192.108.133.81
c132.eduroam 43200 IN A 192.108.133.132
ns 43200 IN A 194.160.44.11
gbb1.grid 43200 IN A 194.160.44.226
www.fpv 43200 IN CNAME www.pdf
c201.eduroam 43200 IN A 192.108.133.201
m218.rekt 43200 IN A 194.160.39.218
c89.eduroam 43200 IN A 192.108.133.89
s47.rekt 43200 IN A 194.160.39.47
ktvs 43200 IN CNAME web2
c55.eduroam 43200 IN A 192.108.133.55
c106.eduroam 43200 IN A 192.108.133.106
m207.rekt 43200 IN A 194.160.39.207
vmsrv04 43200 IN A 194.160.45.252
c165.eduroam 43200 IN A 192.108.133.165
s104.rekt 43200 IN A 194.160.39.104
sw1.net 43200 IN AAAA 2001:4118:100::1
m224.rekt 43200 IN A 194.160.39.224
grafix.fpv 43200 IN A 194.160.44.76
c234.eduroam 43200 IN A 192.108.133.234
c30.eduroam 43200 IN A 192.108.133.30
c239.eduroam 43200 IN A 192.108.133.239
mail.cekr 43200 IN A 194.160.44.196
didinfo 43200 IN CNAME sparc.fpv
c88.eduroam 43200 IN A 192.108.133.88
ekonom 43200 IN A 194.160.44.50
www2.fhv 43200 IN A 194.160.44.82
c140.eduroam 43200 IN A 192.108.133.140
sharepoint1 43200 IN A 194.160.45.231
www.preukazy 43200 IN CNAME web2
s38.rekt 43200 IN A 194.160.39.38
c5.eduroam 43200 IN A 192.108.133.5
m229.rekt 43200 IN A 194.160.39.229
c198.eduroam 43200 IN A 192.108.133.198
m137.rekt 43200 IN A 194.160.39.137
lms2 43200 IN A 194.160.44.28
m159.rekt 43200 IN A 194.160.39.159
www 43200 IN A 212.5.218.8
www.vzdelavanie 43200 IN CNAME www.uvv
c63.eduroam 43200 IN A 192.108.133.63
c114.eduroam 43200 IN A 192.108.133.114
acm.fpv 43200 IN A 194.160.44.66
c173.eduroam 43200 IN A 192.108.133.173
m235.rekt 43200 IN A 194.160.39.235
s13.rekt 43200 IN A 194.160.39.13
onlineca 43200 IN A 194.160.44.10
s64.rekt 43200 IN A 194.160.39.64
s102.rekt 43200 IN A 194.160.39.102
m165.rekt 43200 IN A 194.160.39.165
c242.eduroam 43200 IN A 192.108.133.242
staryweb 43200 IN CNAME web1
c37.eduroam 43200 IN A 192.108.133.37
c96.eduroam 43200 IN A 192.108.133.96
s93.rekt 43200 IN A 194.160.39.93
c147.eduroam 43200 IN A 192.108.133.147
m241.rekt 43200 IN A 194.160.39.241
s15.rekt 43200 IN A 194.160.39.15
s69.rekt 43200 IN A 194.160.39.69
c216.eduroam 43200 IN A 192.108.133.216
www.amse 43200 IN CNAME staryweb.ef
ftp.pdf 43200 IN CNAME www.pdf
esxi.labs.fpv 43200 IN A 194.160.44.71
s40.rekt 43200 IN A 194.160.39.40
s10.rekt 43200 IN A 194.160.39.10
c180.eduroam 43200 IN A 192.108.133.180
c71.eduroam 43200 IN A 192.108.133.71
regis 43200 IN A 194.160.44.16
c122.eduroam 43200 IN A 192.108.133.122
uninfos 43200 IN CNAME web1
c109.eduroam 43200 IN A 192.108.133.109
m246.rekt 43200 IN A 194.160.39.246
studentskarada.ef 43200 IN CNAME web3
c181.eduroam 43200 IN A 192.108.133.181
s75.rekt 43200 IN A 194.160.39.75
s113.rekt 43200 IN A 194.160.39.113
autodiscover 43200 IN CNAME mail1
m176.rekt 43200 IN A 194.160.39.176
c250.eduroam 43200 IN A 192.108.133.250
c45.eduroam 43200 IN A 192.108.133.45
m231.rekt 43200 IN A 194.160.39.231
informatika.fpv 43200 IN CNAME turing.fpv
c155.eduroam 43200 IN A 192.108.133.155
m252.rekt 43200 IN A 194.160.39.252
ais 43200 IN CNAME ais2
s81.rekt 43200 IN A 194.160.39.81
technika.fpv 43200 IN CNAME pascal.fpv
m182.rekt 43200 IN A 194.160.39.182
c224.eduroam 43200 IN A 192.108.133.224
c19.eduroam 43200 IN A 192.108.133.19
s21.rekt 43200 IN A 194.160.39.21
s120.rekt 43200 IN A 194.160.39.120
c70.eduroam 43200 IN A 192.108.133.70
www.library 43200 IN CNAME www.pdf
c78.eduroam 43200 IN A 192.108.133.78
m203.rekt 43200 IN A 194.160.39.203
s110.rekt 43200 IN A 194.160.39.110
c130.eduroam 43200 IN A 192.108.133.130
m183.rekt 43200 IN A 194.160.39.183
mail1 43200 IN A 194.160.44.18
mail2 43200 IN A 194.160.44.15
oldwww.pdf 43200 IN CNAME www.pdf
s86.rekt 43200 IN A 194.160.39.86
s124.rekt 43200 IN A 194.160.39.124
c188.eduroam 43200 IN A 192.108.133.188
m187.rekt 43200 IN A 194.160.39.187
s26.rekt 43200 IN A 194.160.39.26
c53.eduroam 43200 IN A 192.108.133.53
m210.rekt 43200 IN A 194.160.39.210
c104.eduroam 43200 IN A 192.108.133.104
m153.rekt 43200 IN A 194.160.39.153
ark 43200 IN A 192.108.132.50
s22.rekt 43200 IN A 194.160.39.22
c163.eduroam 43200 IN A 192.108.133.163
m201.rekt 43200 IN A 194.160.39.201
s92.rekt 43200 IN A 194.160.39.92
amse 43200 IN CNAME staryweb.ef
m193.rekt 43200 IN A 194.160.39.193
s12.rekt 43200 IN A 194.160.39.12
s32.rekt 43200 IN A 194.160.39.32
c232.eduroam 43200 IN A 192.108.133.232
c27.eduroam 43200 IN A 192.108.133.27
m133.rekt 43200 IN A 194.160.39.133
c126.eduroam 43200 IN A 192.108.133.126
matika.fpv 43200 IN CNAME web2
c86.eduroam 43200 IN A 192.108.133.86
c137.eduroam 43200 IN A 192.108.133.137
geo.fpv 43200 IN A 194.160.44.73
s97.rekt 43200 IN A 194.160.39.97
lyncdiscover 43200 IN CNAME lync
c196.eduroam 43200 IN A 192.108.133.196
redakcia.fif 43200 IN CNAME test.fif
s37.rekt 43200 IN A 194.160.39.37
elearn 43200 IN A 194.160.44.9
www.slovacivz 43200 IN CNAME www.pdf
c61.eduroam 43200 IN A 192.108.133.61
c112.eduroam 43200 IN A 192.108.133.112
s91.rekt 43200 IN A 194.160.39.91
s4.rekt 43200 IN A 194.160.39.4
c171.eduroam 43200 IN A 192.108.133.171
m214.rekt 43200 IN A 194.160.39.214
c243.eduroam 43200 IN A 192.108.133.243
s43.rekt 43200 IN A 194.160.39.43
print.fhv 43200 IN A 194.160.44.84
m144.rekt 43200 IN A 194.160.39.144
labs.fpv 43200 IN A 194.160.44.77
c35.eduroam 43200 IN A 192.108.133.35
gbb2.grid 43200 IN A 194.160.44.227
c94.eduroam 43200 IN A 192.108.133.94
c145.eduroam 43200 IN A 192.108.133.145
m219.rekt 43200 IN A 194.160.39.219
s48.rekt 43200 IN A 194.160.39.48
c214.eduroam 43200 IN A 192.108.133.214
c10.eduroam 43200 IN A 192.108.133.10
nod32.fpv 43200 IN CNAME pascal.fpv
www.cetip.ff 43200 IN CNAME www.fhv
s8.rekt 43200 IN A 194.160.39.8
www.ktv 43200 IN CNAME pdf
caksvol 43200 IN A 194.160.44.40
c68.eduroam 43200 IN A 192.108.133.68
univerziada 43200 IN CNAME web2
m238.rekt 43200 IN A 194.160.39.238
cpp 43200 IN CNAME web2
lic.grid 43200 IN CNAME gbb3.grid
ldap01 43200 IN A 194.160.46.214
ldap02 43200 IN A 194.160.46.215
ui.grid 43200 IN A 194.160.44.231
ais2-beta 43200 IN CNAME ais2
s87.rekt 43200 IN A 194.160.39.87
s54.rekt 43200 IN A 194.160.39.54
doch 43200 IN A 194.160.45.237
io.fpv 43200 IN A 194.160.44.75
c247.eduroam 43200 IN A 192.108.133.247
c43.eduroam 43200 IN A 192.108.133.43
devel 43200 IN CNAME japp
s115.rekt 43200 IN A 194.160.39.115
moodle.fpv 43200 IN CNAME pascal.fpv
c49.eduroam 43200 IN A 192.108.133.49
c206.eduroam 43200 IN A 192.108.133.206
test.fif 43200 IN A 194.160.44.115
s59.rekt 43200 IN A 194.160.39.59
portal 43200 IN CNAME sharepoint
m161.rekt 43200 IN A 194.160.39.161
www.sutaz 43200 IN CNAME web2
m168.rekt 43200 IN A 194.160.39.168
c6.eduroam 43200 IN A 192.108.133.6
cvv 43200 IN CNAME www.uvv
c17.eduroam 43200 IN A 192.108.133.17
exch2010 43200 IN A 194.160.44.45
c76.eduroam 43200 IN A 192.108.133.76
m148.rekt 43200 IN A 194.160.39.148
c127.eduroam 43200 IN A 192.108.133.127
fflearn 43200 IN A 194.160.44.58
m138.rekt 43200 IN A 194.160.39.138
s65.rekt 43200 IN A 194.160.39.65
s103.rekt 43200 IN A 194.160.39.103
m200.rekt 43200 IN A 194.160.39.200
c186.eduroam 43200 IN A 192.108.133.186
m166.rekt 43200 IN A 194.160.39.166
uakomfs 43200 IN A 194.160.45.232
s9.rekt 43200 IN A 194.160.39.9
c51.eduroam 43200 IN A 192.108.133.51
pascal.fpv 43200 IN A 194.160.44.66
c102.eduroam 43200 IN A 192.108.133.102
m242.rekt 43200 IN A 194.160.39.242
www.chreact 43200 IN CNAME web4
c161.eduroam 43200 IN A 192.108.133.161
s71.rekt 43200 IN A 194.160.39.71
s108.rekt 43200 IN A 194.160.39.108
m172.rekt 43200 IN A 194.160.39.172
s11.rekt 43200 IN A 194.160.39.11
c217.eduroam 43200 IN A 192.108.133.217
c25.eduroam 43200 IN A 192.108.133.25
c159.eduroam 43200 IN A 192.108.133.159
c84.eduroam 43200 IN A 192.108.133.84
m247.rekt 43200 IN A 194.160.39.247
c135.eduroam 43200 IN A 192.108.133.135
s76.rekt 43200 IN A 194.160.39.76
s114.rekt 43200 IN A 194.160.39.114
m177.rekt 43200 IN A 194.160.39.177
c194.eduroam 43200 IN A 192.108.133.194
s16.rekt 43200 IN A 194.160.39.16
esf 43200 IN A 194.160.44.38
c220.eduroam 43200 IN A 192.108.133.220
s20.rekt 43200 IN A 194.160.39.20
c223.eduroam 43200 IN A 192.108.133.223
c58.eduroam 43200 IN A 192.108.133.58
c110.eduroam 43200 IN A 192.108.133.110
m253.rekt 43200 IN A 194.160.39.253
sbdii.grid 43200 IN A 194.160.44.232
s82.rekt 43200 IN A 194.160.39.82
s119.rekt 43200 IN A 194.160.39.119
www.publikacie 43200 IN CNAME www.pdf
c168.eduroam 43200 IN A 192.108.133.168
m254.rekt 43200 IN A 194.160.39.254
m208.rekt 43200 IN A 194.160.39.208
c237.eduroam 43200 IN A 192.108.133.237
c33.eduroam 43200 IN A 192.108.133.33
ktt.fpv 43200 IN CNAME pascal.fpv
m234.rekt 43200 IN A 194.160.39.234
c92.eduroam 43200 IN A 192.108.133.92
koha.pdf 43200 IN A 194.160.44.117
www.pdf 43200 IN A 194.160.44.116
c143.eduroam 43200 IN A 192.108.133.143
s125.rekt 43200 IN A 194.160.39.125
m188.rekt 43200 IN A 194.160.39.188
m230.rekt 43200 IN A 194.160.39.230
s27.rekt 43200 IN A 194.160.39.27
c212.eduroam 43200 IN A 192.108.133.212
s73.rekt 43200 IN A 194.160.39.73
m204.rekt 43200 IN A 194.160.39.204
c66.eduroam 43200 IN A 192.108.133.66
c117.eduroam 43200 IN A 192.108.133.117
hpcc 43200 IN CNAME web2
