@ 43200 IN SOA ns1 hostmaster 4120150410 28800 7200 604800 86400
@ 43200 IN MX 10 iron2
43200 IN MX 20 iron1
@ 43200 IN NS ns
43200 IN NS ns1
43200 IN NS sun.uakom.sk.
43200 IN NS decsys.vsb.cz.
c28.eduroam 43200 IN A 192.108.133.28
files.studenti 43200 IN A 194.160.44.33
www.prf 43200 IN CNAME www.pdf
pmvva 43200 IN CNAME sharepoint
platby 43200 IN CNAME web2
c87.eduroam 43200 IN A 192.108.133.87
m135.rekt 43200 IN A 194.160.39.135
s45.rekt 43200 IN A 194.160.39.45
c138.eduroam 43200 IN A 192.108.133.138
m146.rekt 43200 IN A 194.160.39.146
nas.fpv 43200 IN A 194.160.44.226
sharepoint 43200 IN A 194.160.44.35
test 43200 IN A 194.160.44.12
c197.eduroam 43200 IN A 192.108.133.197
web1 43200 IN A 194.160.44.3
gbb4.grid 43200 IN A 194.160.44.229
www.sf 43200 IN CNAME web2
www.utv 43200 IN CNAME web1
c62.eduroam 43200 IN A 192.108.133.62
iron1 43200 IN A 194.160.44.4
iron2 43200 IN A 194.160.44.5
www.student 43200 IN CNAME student
c190.eduroam 43200 IN A 192.108.133.190
s51.rekt 43200 IN A 194.160.39.51
www.hpcc 43200 IN CNAME web2
www.uvv 43200 IN A 194.160.44.13
www.esfkluc 43200 IN CNAME web1
www.politickevedy.fpvmv 43200 IN A 194.160.44.100
c241.eduroam 43200 IN A 192.108.133.241
c36.eduroam 43200 IN A 192.108.133.36
m227.rekt 43200 IN A 194.160.39.227
www.rfz 43200 IN CNAME www2.fhv
s56.rekt 43200 IN A 194.160.39.56
silentel.cekr 43200 IN A 194.160.44.194
c95.eduroam 43200 IN A 192.108.133.95
m157.rekt 43200 IN A 194.160.39.157
gbb3.grid 43200 IN A 194.160.44.228
ns1 43200 IN A 194.160.44.47
c146.eduroam 43200 IN A 192.108.133.146
www.univerziada 43200 IN CNAME web2
c215.eduroam 43200 IN A 192.108.133.215
c11.eduroam 43200 IN A 192.108.133.11
sparc.fpv 43200 IN A 194.160.44.70
m233.rekt 43200 IN A 194.160.39.233
sunset.fpv 43200 IN A 194.160.44.78
c69.eduroam 43200 IN A 192.108.133.69
s62.rekt 43200 IN A 194.160.39.62
s100.rekt 43200 IN A 194.160.39.100
c121.eduroam 43200 IN A 192.108.133.121
m163.rekt 43200 IN A 194.160.39.163
www.cvv 43200 IN CNAME www.uvv
www.erasmus 43200 IN CNAME www
c248.eduroam 43200 IN A 192.108.133.248
c153.eduroam 43200 IN A 192.108.133.153
c44.eduroam 43200 IN A 192.108.133.44
s90.rekt 43200 IN A 194.160.39.90
s67.rekt 43200 IN A 194.160.39.67
s105.rekt 43200 IN A 194.160.39.105
ntp 43200 IN CNAME ntp.uakom.sk.
files 43200 IN CNAME web2
s80.rekt 43200 IN A 194.160.39.80
c154.eduroam 43200 IN A 192.108.133.154
*.ezproxy 43200 IN A 194.160.44.122
s70.rekt 43200 IN A 194.160.39.70
c60.eduroam 43200 IN A 192.108.133.60
c7.eduroam 43200 IN A 192.108.133.7
c18.eduroam 43200 IN A 192.108.133.18
s60.rekt 43200 IN A 194.160.39.60
m244.rekt 43200 IN A 194.160.39.244
rad01 43200 IN A 194.160.46.212
rad02 43200 IN A 194.160.46.213
c12.eduroam 43200 IN A 192.108.133.12
s111.rekt 43200 IN A 194.160.39.111
s49.rekt 43200 IN A 194.160.39.49
c77.eduroam 43200 IN A 192.108.133.77
m174.rekt 43200 IN A 194.160.39.174
m180.rekt 43200 IN A 194.160.39.180
m171.rekt 43200 IN A 194.160.39.171
c128.eduroam 43200 IN A 192.108.133.128
intranet 43200 IN CNAME web2
s39.rekt 43200 IN A 194.160.39.39
c187.eduroam 43200 IN A 192.108.133.187
s30.rekt 43200 IN A 194.160.39.30
m151.rekt 43200 IN A 194.160.39.151
m249.rekt 43200 IN A 194.160.39.249
s19.rekt 43200 IN A 194.160.39.19
c222.eduroam 43200 IN A 192.108.133.222
c52.eduroam 43200 IN A 192.108.133.52
s78.rekt 43200 IN A 194.160.39.78
s116.rekt 43200 IN A 194.160.39.116
c103.eduroam 43200 IN A 192.108.133.103
s18.rekt 43200 IN A 194.160.39.18
c162.eduroam 43200 IN A 192.108.133.162
c231.eduroam 43200 IN A 192.108.133.231
c26.eduroam 43200 IN A 192.108.133.26
jedalen 43200 IN A 194.160.44.21
s84.rekt 43200 IN A 194.160.39.84
s122.rekt 43200 IN A 194.160.39.122
m185.rekt 43200 IN A 194.160.39.185
c85.eduroam 43200 IN A 192.108.133.85
s24.rekt 43200 IN A 194.160.39.24
c136.eduroam 43200 IN A 192.108.133.136
old.prf 43200 IN CNAME web2
c169.eduroam 43200 IN A 192.108.133.169
c205.eduroam 43200 IN A 192.108.133.205
shp2013 43200 IN A 194.160.44.60
virtual.fpv 43200 IN CNAME sunset.fpv
publikacie 43200 IN CNAME www.pdf
s89.rekt 43200 IN A 194.160.39.89
ftp.fpv 43200 IN CNAME sparc.fpv
technology.fpv 43200 IN CNAME pascal.fpv
c111.eduroam 43200 IN A 192.108.133.111
s29.rekt 43200 IN A 194.160.39.29
m131.rekt 43200 IN A 194.160.39.131
c170.eduroam 43200 IN A 192.108.133.170
