revistahumanidades 38400 IN CNAME revistas
autodiscover 3600 IN CNAME autodiscover.outlook.com.
torcaza 38400 IN A 200.16.117.27
ArleySTESOR 38400 IN A 200.16.119.57
wms 38400 IN A 200.16.118.106
SandraTapiasTESOR 38400 IN A 200.16.119.58
geomatica 38400 IN CNAME buho
aplicaciones 38400 IN MX 18 aplicaciones
aplicaciones 38400 IN TXT "v=spf1 a:aplicaciones.uis.edu.co -all"
aplicaciones 38400 IN A 200.16.119.114
www.xiccg 38400 IN CNAME pterodactylus
gente 38400 IN CNAME sis82
tic 38400 IN A 200.16.118.21
anuariohistoria 38400 IN CNAME revistas
tangara 38400 IN A 200.16.118.80
toctoc.sc3 38400 IN A 200.16.117.113
bdii 38400 IN A 200.16.118.105
repvie 38400 IN CNAME revistas
calumetlabs 38400 IN A 200.16.117.99
uisinnova 38400 IN CNAME calumet14uis.cloudapp.net.
dsi01 38400 IN A 190.15.19.12
200.16.117.86 38400 IN PTR sii
gavilan 38400 IN CNAME torcaza
correo 38400 IN MX 20 664660500.mail.outlook.com.
pterodactylus 38400 IN A 200.16.117.36
bas 38400 IN A 200.16.119.88
mecanicaxserver 38400 IN CNAME calumet12uis.cloudapp.net.
sig 38400 IN CNAME planeac06
200.16.118.10 38400 IN PTR tux
ProfLuisNunezFISICA 38400 IN A 200.16.117.52
perdiz 38400 IN A 200.16.118.47
VCsala1CenticP4 38400 IN A 200.16.117.41
vcViceAcadem 38400 IN A 200.16.119.82
avestruz 38400 IN A 200.16.118.224
200.16.118.19 38400 IN PTR fragata
fisica 38400 IN A 200.16.119.117
microbiologia 38400 IN CNAME calumet08uis.cloudapp.net.
200.16.118.24 38400 IN PTR corrosion
revistagti 38400 IN CNAME revistas
uisVidG 38400 IN A 200.16.118.141
www.simposioe3t 38400 IN CNAME pinguino
xiccg 38400 IN CNAME pterodactylus
fisicomecanicas 38400 IN CNAME calumet14uis.cloudapp.net.
PcAudAEHD01 38400 IN A 200.16.119.48
quiz 38400 IN A 200.16.117.56
audix 38400 IN A 200.16.117.48
unired 38400 IN CNAME alpha
sti 38400 IN A 200.16.118.58
AcademiaCISCO 38400 IN A 200.16.119.61
condorr 38400 IN A 200.16.119.110
emisoras 38400 IN A 200.16.119.116
200.16.118.45 38400 IN PTR icaro
MargiReyTESOR 38400 IN A 200.16.119.55
VCxRenataSalaUniversiaFS 38400 IN A 190.15.19.53
phi 38400 IN A 200.16.117.91
200.16.118.49 38400 IN PTR quelea
VCsala0CenticP4 38400 IN A 200.16.117.40
medicina 38400 IN CNAME calumet05uis.cloudapp.net.
industrial 38400 IN CNAME carpintero
calipso.cic 38400 IN A 200.16.117.70
telecomunicaciones 38400 IN CNAME radioserver
200.16.118.60 38400 IN PTR ipred
radioserver 38400 IN A 200.16.117.21
ara 38400 IN A 200.16.117.26
200.16.118.66 38400 IN PTR gcb-ce
eaddev 38400 IN CNAME hairy
insed53 38400 IN A 200.16.117.59
200.16.118.72 38400 IN PTR vpnuis01
sip.correo 3600 IN CNAME sipdir.online.lync.com.
ldap.grid 38400 IN A 200.16.117.69
AcademiaCISCO2 38400 IN A 200.16.119.62
quimica 38400 IN A 200.16.117.117
simon 38400 IN A 200.16.117.62
simon 38400 IN MX 40 ASPMX.L.GOOGLE.com.
gisel 38400 IN CNAME saltarin
pinzon 38400 IN A 200.16.119.42
sistemassti 38400 IN CNAME sicaacstiuis.cloudapp.net.
sip 3600 IN CNAME sipdir.online.lync.com.
revistauisingenierias 38400 IN CNAME revistas
proyeccion 38400 IN CNAME ara
cultural 38400 IN CNAME dircult11
sistemas 38400 IN A 200.16.119.36
sistemas1 38400 IN CNAME delfin
guane 38400 IN A 200.16.117.74
lab.ciencias 38400 IN CNAME tux
ftpTelevision 38400 IN A 200.16.117.65
ecogranja.simon 38400 IN A 200.16.117.80
simposioe3t 38400 IN CNAME pinguino
cevale2 38400 IN CNAME tux
camarasFinan 38400 IN A 200.16.119.79
centicRenataS2 38400 IN A 190.15.19.13
centicRenataS3 38400 IN A 190.15.19.14
emergenciasantander 38400 IN CNAME garza
toctoc.grid 38400 IN CNAME toctoc.sc3
ced 38400 IN A 200.16.117.81
200.16.119.30 38400 IN PTR quimica
tux 38400 IN A 200.16.118.10
200.16.119.33 38400 IN PTR hairy
cisyc 38400 IN A 200.16.117.39
lyncdiscover 3600 IN CNAME webdir.online.lync.com.
200.16.119.38 38400 IN PTR buho
38400 IN PTR servidorsig
200.16.119.40 38400 IN PTR oca
default-yax8n3n 38400 IN A 200.16.117.60
biomedica 38400 IN CNAME sis25
msoid.correo 3600 IN CNAME clientconfig.microsoftonline-p.net.
lyncdiscover.correo 3600 IN CNAME webdir.online.lync.com.
giftex 38400 IN A 200.16.119.30
revistafilosofia 38400 IN CNAME revistas
reyezuelo 38400 IN A 200.16.117.43
escenari 38400 IN CNAME reyezuelo
quelea 38400 IN A 200.16.118.49
servIGALC 38400 IN A 200.16.117.47
iguasa 38400 IN A 200.16.118.190
cenivam 38400 IN A 200.16.117.63
condor 38400 IN A 200.16.118.6
carpintero 38400 IN CNAME calumet07uis.cloudapp.net.
grid.sc3 38400 IN A 200.16.119.111
documentos 38400 IN A 200.16.117.30
