@ 86400 IN SOA dns.ictp.it. hostmaster.ictp.it. 2015062787 28800 7200 604800 86400
@ 86400 IN AFSDB 1 fs1
86400 IN AFSDB 1 fs2
@ 86400 IN MX 40 smtp.ictp.it.
86400 IN MX 40 smtp
86400 IN MX 50 smtp1
86400 IN MX 50 smtp2
@ 86400 IN NS dns.ictp.it.
86400 IN NS ns1.units.it.
86400 IN NS sv2.ictp.it.
nb9-19-134 86400 IN A 140.105.19.134
nb9-19-135 86400 IN A 140.105.19.135
nb9-19-136 86400 IN A 140.105.19.136
nb9-19-137 86400 IN A 140.105.19.137
nb9-19-138 86400 IN A 140.105.19.138
nb9-19-139 86400 IN A 140.105.19.139
nb9-19-141 86400 IN A 140.105.19.141
nb9-19-142 86400 IN A 140.105.19.142
nb9-19-143 86400 IN A 140.105.19.143
nb9-19-144 86400 IN A 140.105.19.144
mac-pesut 86400 IN A 140.105.35.26
nb9-19-146 86400 IN A 140.105.19.146
nb9-19-147 86400 IN A 140.105.19.147
nb9-19-148 86400 IN A 140.105.19.148
nb9-19-149 86400 IN A 140.105.19.149
nb9-19-151 86400 IN A 140.105.19.151
nb9-19-152 86400 IN A 140.105.19.152
nb9-19-153 86400 IN A 140.105.19.153
nb9-19-154 86400 IN A 140.105.19.154
nb9-19-155 86400 IN A 140.105.19.155
nb9-19-156 86400 IN A 140.105.19.156
nb9-19-157 86400 IN A 140.105.19.157
nb9-19-158 86400 IN A 140.105.19.158
nb9-19-159 86400 IN A 140.105.19.159
nb9-19-161 86400 IN A 140.105.19.161
nb9-19-162 86400 IN A 140.105.19.162
nb9-19-163 86400 IN A 140.105.19.163
nb9-19-164 86400 IN A 140.105.19.164
nb9-19-165 86400 IN A 140.105.19.165
nb9-19-166 86400 IN A 140.105.19.166
nb9-19-167 86400 IN A 140.105.19.167
nb9-19-168 86400 IN A 140.105.19.168
mac-ef101b 86400 IN A 140.105.39.33
timehost-1 86400 IN CNAME fs1
mac-aoudia 86400 IN A 140.105.29.136
ace-webmail 86400 IN A 140.105.33.170
zope-test 86400 IN A 140.105.16.220
nb9-19-54 86400 IN A 140.105.19.54
sv2 86400 IN A 140.105.16.62
hp83-clima-10 86400 IN A 140.105.29.210
hp83-clima-11 86400 IN A 140.105.29.216
hp83-clima-12 86400 IN A 140.105.29.192
hp83-clima-13 86400 IN A 140.105.29.194
hp83-clima-14 86400 IN A 140.105.29.195
hp83-clima-15 86400 IN A 140.105.29.237
hp83-clima-16 86400 IN A 140.105.29.238
hp83-clima-17 86400 IN A 140.105.29.239
hp83-clima-18 86400 IN A 140.105.29.240
hp83-clima-19 86400 IN A 140.105.29.241
hp83-clima-21 86400 IN A 140.105.29.189
hp83-clima-22 86400 IN A 140.105.29.191
hp83-clima-23 86400 IN A 140.105.29.244
idp-test 86400 IN CNAME webmail
twasweb 86400 IN A 140.105.16.145
mac-sabrina 86400 IN A 140.105.39.9
kiosk 86400 IN CNAME webmail
owsd-sv 86400 IN A 140.105.16.146
streaming 86400 IN A 140.105.16.184
stu 86400 IN CNAME webmail
pc-quevedo 86400 IN A 140.105.38.170
wl-4 86400 IN A 140.105.25.68
mac-zetto 86400 IN A 140.105.39.4
mac-johannessen 86400 IN A 140.105.35.8
argo-login1 86400 IN A 140.105.32.65
argo-login2 86400 IN A 140.105.32.66
vpnalvi 86400 IN A 140.105.26.8
mac-iannitti 86400 IN A 140.105.35.31
mac-medica 86400 IN A 140.105.22.8
sun-test 86400 IN A 140.105.32.201
vpn-mberti 86400 IN A 140.105.35.126
prizes 86400 IN CNAME webmail
adsl-scs 86400 IN A 140.105.26.100
proxyx1-b 86400 IN CNAME proxy-b
pc-aoudia 86400 IN A 140.105.23.130
epiphan-v41 86400 IN A 140.105.25.10
eklund-master 86400 IN A 140.105.24.251
test-e-portal 86400 IN CNAME testbed
private-33-30 86400 IN A 140.105.33.30
mac-wardell 86400 IN A 140.105.35.35
mac-secretary1 86400 IN A 140.105.35.87
mac-rood 86400 IN A 140.105.35.137
ejournals-1 86400 IN A 140.105.16.126
ejournals-1 86400 IN MX 10 ejournals-1
VC-TWAS 86400 IN A 140.105.47.15
web 86400 IN CNAME zope-scs
arpl-g5 86400 IN A 140.105.26.230
proxyx2-b 86400 IN A 140.105.16.2
vpn 86400 IN A 140.105.47.90
exp2 86400 IN A 140.105.47.2
hp6-cm-1 86400 IN A 140.105.27.206
hp6-cm-2 86400 IN A 140.105.27.194
hp6-cm-3 86400 IN A 140.105.27.220
hp6-cm-4 86400 IN A 140.105.27.202
hp6-cm-5 86400 IN A 140.105.27.208
hp6-cm-6 86400 IN A 140.105.27.198
hp6-cm-7 86400 IN A 140.105.27.207
hp6-cm-8 86400 IN A 140.105.27.218
hp6-cm-9 86400 IN A 140.105.27.222
pb-zorzini 86400 IN A 140.105.39.38
mac-dtrelean 86400 IN A 140.105.35.43
mac-sasso 86400 IN A 140.105.22.26
nb8-18-120 86400 IN A 140.105.18.120
hp6-bole 86400 IN A 140.105.38.6
agenda-vm 86400 IN A 140.105.16.156
nb8-18-121 86400 IN A 140.105.18.121
hp2320-ghirardi 86400 IN A 140.105.17.126
mac-bertoli 86400 IN A 140.105.22.9
mac-lucatello2 86400 IN A 140.105.37.2
radio-2 86400 IN A 140.105.28.10
radio-3 86400 IN A 140.105.28.11
radio-6 86400 IN A 140.105.28.30
radio-9 86400 IN A 140.105.19.216
sage 86400 IN A 140.105.16.225
hp6-dnrd-1 86400 IN A 140.105.25.141
hp6-dnrd-2 86400 IN A 140.105.25.142
hp6-dnrd-3 86400 IN A 140.105.25.143
hp6-dnrd-4 86400 IN A 140.105.25.144
hp6-dnrd-5 86400 IN A 140.105.25.145
hp6-dnrd-6 86400 IN A 140.105.25.146
hp6-dnrd-7 86400 IN A 140.105.25.147
hp6-dnrd-8 86400 IN A 140.105.25.148
hp6-dnrd-9 86400 IN A 140.105.25.149
www 86400 IN CNAME webmail
mac-hosted1 86400 IN A 140.105.35.96
mac-hosted2 86400 IN A 140.105.35.16
nb9-19-70 86400 IN A 140.105.19.70
blogs 86400 IN CNAME webmail
ssh 86400 IN A 140.105.33.200
macfs1 86400 IN A 140.105.39.65
saml 86400 IN CNAME webmail
webcast 86400 IN CNAME streaming
hp83-he-10 86400 IN A 140.105.29.83
hp83-he-11 86400 IN A 140.105.29.88
hp83-he-12 86400 IN A 140.105.29.75
hp83-he-13 86400 IN A 140.105.29.46
hp83-he-14 86400 IN A 140.105.29.79
hp83-he-15 86400 IN A 140.105.29.72
hp83-he-16 86400 IN A 140.105.29.86
hp83-he-17 86400 IN A 140.105.29.78
hp83-he-18 86400 IN A 140.105.29.81
hp83-he-19 86400 IN A 140.105.29.11
hp83-he-21 86400 IN A 140.105.29.74
hp83-he-22 86400 IN A 140.105.29.109
hp83-he-23 86400 IN A 140.105.29.99
hp83-he-24 86400 IN A 140.105.29.101
hp8g1-aghdir-1 86400 IN A 140.105.19.192
hp8g1-aghdir-2 86400 IN A 140.105.19.193
hp8g1-aghdir-3 86400 IN A 140.105.19.194
hp8g1-aghdir-4 86400 IN A 140.105.19.195
hp8g1-aghdir-5 86400 IN A 140.105.19.196
placeholder-library-15 86400 IN A 140.105.40.25
placeholder-library-16 86400 IN A 140.105.40.26
placeholder-library-18 86400 IN A 140.105.40.28
nb-radicella 86400 IN A 140.105.26.225
fabs-help 86400 IN CNAME webmail
pb-passarella 86400 IN A 140.105.35.69
mac-video2 86400 IN A 140.105.35.135
placeholder-library-43 86400 IN A 140.105.40.53
placeholder-library-44 86400 IN A 140.105.40.54
clima-tmp-2 86400 IN A 140.105.29.236
placeholder-library-50 86400 IN A 140.105.40.60
nb9-19-73 86400 IN A 140.105.19.73
nb-ratosa 86400 IN A 140.105.26.44
pinger 86400 IN A 140.105.28.117
sissa 86400 IN MX 4 hpc-master.sissa
mac-ictslab1 86400 IN A 140.105.39.16
mac-ictslab2 86400 IN A 140.105.39.13
hp83-2 86400 IN A 140.105.26.92
mac-macor 86400 IN A 140.105.39.7
scs-new 86400 IN CNAME scs2
fms5-1 86400 IN A 140.105.39.66
timehost 86400 IN CNAME fs1
nb8-18-130 86400 IN A 140.105.18.130
pb-050 86400 IN A 140.105.35.106
hp83-6 86400 IN A 140.105.26.96
private-33-44 86400 IN A 140.105.33.44
mac--bencic 86400 IN A 140.105.35.136
scs2 86400 IN A 140.105.16.140
oldwebsis 86400 IN A 140.105.16.138
lxlib1 86400 IN A 140.105.16.136
lxlib2 86400 IN CNAME webmail
openday2006 86400 IN CNAME webmail
ln-sdu-1 86400 IN A 140.105.27.42
ln-sdu-2 86400 IN A 140.105.27.43
ln-sdu-3 86400 IN A 140.105.27.44
pascos2015 86400 IN CNAME webmail
pb-mvenuti 86400 IN A 140.105.22.35
nb9-19-8 86400 IN A 140.105.19.8
c6509-b-v747 86400 IN A 140.105.47.22
hp83-cm-4 86400 IN A 140.105.27.132
ace-vlan533-b 86400 IN A 140.105.33.252
pc-batista 86400 IN A 140.105.38.75
autoconfig 86400 IN CNAME webmail
proxy-b 86400 IN A 140.105.16.64
vpn-ulab-1 86400 IN A 140.105.17.225
vpn-ulab-2 86400 IN A 140.105.17.226
vpn-ulab-3 86400 IN A 140.105.17.227
vpn-ulab-4 86400 IN A 140.105.17.228
vpn-ulab-5 86400 IN A 140.105.17.229
vpn-ulab-6 86400 IN A 140.105.17.230
vpn-ulab-7 86400 IN A 140.105.17.231
mac-user0 86400 IN A 140.105.39.30
mac-user1 86400 IN A 140.105.39.21
mac-user2 86400 IN A 140.105.39.22
mac-user3 86400 IN A 140.105.39.23
mac-user4 86400 IN A 140.105.39.24
mac-user5 86400 IN A 140.105.39.25
mac-user6 86400 IN A 140.105.39.26
mac-user7 86400 IN A 140.105.39.27
mac-user8 86400 IN A 140.105.39.28
mac-user9 86400 IN A 140.105.39.29
hp83-ulab-1 86400 IN A 140.105.17.141
hp83-ulab-2 86400 IN A 140.105.17.142
hp83-ulab-3 86400 IN A 140.105.17.143
mlh-reg1-48 86400 IN A 140.105.30.248
mac-maggi 86400 IN A 140.105.35.19
hp83-lblab-10 86400 IN A 140.105.25.20
hp83-lblab-11 86400 IN A 140.105.25.21
hp83-lblab-12 86400 IN A 140.105.25.22
hp83-lblab-13 86400 IN A 140.105.25.23
hp83-lblab-14 86400 IN A 140.105.25.24
hp83-lblab-15 86400 IN A 140.105.25.25
hp83-lblab-16 86400 IN A 140.105.25.26
hp83-lblab-17 86400 IN A 140.105.25.27
hp83-lblab-18 86400 IN A 140.105.25.28
hp83-lblab-19 86400 IN A 140.105.25.29
hp83-lblab-21 86400 IN A 140.105.25.31
hp83-lblab-22 86400 IN A 140.105.25.32
hp83-lblab-23 86400 IN A 140.105.25.33
hp83-lblab-24 86400 IN A 140.105.25.34
unesco-temp1 86400 IN A 140.105.35.91
unesco-temp2 86400 IN A 140.105.35.92
pcafs1 86400 IN A 140.105.34.17
pcafs2 86400 IN A 140.105.34.18
pcafs3 86400 IN A 140.105.34.23
signage-agh-ll 86400 IN A 140.105.19.175
pcafs6 86400 IN A 140.105.34.21
pcafs7 86400 IN A 140.105.34.22
pcafs8 86400 IN A 140.105.34.24
pc-presire 86400 IN A 140.105.38.19
netapp-6080-ftp 86400 IN A 140.105.16.30
hp83-inf-20 86400 IN A 140.105.23.30
nb-opera 86400 IN A 140.105.26.106
eprints 86400 IN A 140.105.16.151
iamp-ext 86400 IN CNAME twasweb
amd64-cm1 86400 IN A 140.105.32.86
amd64-cm2 86400 IN A 140.105.32.87
amd64-cm3 86400 IN A 140.105.32.88
mac-milazzi 86400 IN CNAME mac-fondazione2
hecap 86400 IN CNAME webmail
fwgw 86400 IN CNAME webmail
pb-mariotti 86400 IN A 140.105.29.243
hp83-inf-29 86400 IN A 140.105.23.39
itunes 86400 IN A 140.105.28.93
echolab1 86400 IN A 140.105.28.241
echolab2 86400 IN A 140.105.28.242
echolab3 86400 IN A 140.105.28.243
echolab4 86400 IN A 140.105.28.244
echolab5 86400 IN A 140.105.28.245
echolab6 86400 IN A 140.105.28.246
echolab7 86400 IN A 140.105.28.247
echolab8 86400 IN A 140.105.28.248
echolab9 86400 IN A 140.105.28.249
mac-deconi 86400 IN A 140.105.17.122
help 86400 IN CNAME webmail
ulabc2 86400 IN A 140.105.17.220
pb-sauleek 86400 IN A 140.105.35.33
nb9-19-90 86400 IN A 140.105.19.90
hp83-inf-39 86400 IN A 140.105.23.49
pc-mahdavi 86400 IN A 140.105.38.7
mac-capello 86400 IN A 140.105.35.11
unesco-videoconf 86400 IN A 140.105.39.46
rt3old 86400 IN A 140.105.16.229
netapp-3140-iscsi 86400 IN A 140.105.34.5
hp83-inf-43 86400 IN A 140.105.23.53
vconf-1 86400 IN A 140.105.16.128
communications 86400 IN CNAME webmail
hp83-inf-10 86400 IN A 140.105.23.20
hp83-inf-11 86400 IN A 140.105.23.21
hp83-inf-12 86400 IN A 140.105.23.22
hp83-inf-13 86400 IN A 140.105.23.23
hp83-inf-14 86400 IN A 140.105.23.24
hp83-inf-15 86400 IN A 140.105.23.25
hp83-inf-16 86400 IN A 140.105.23.26
hp83-inf-17 86400 IN A 140.105.23.27
hp83-inf-18 86400 IN A 140.105.23.28
hp83-inf-19 86400 IN A 140.105.23.29
hp83-inf-21 86400 IN A 140.105.23.31
hp83-inf-22 86400 IN A 140.105.23.32
hp83-inf-23 86400 IN A 140.105.23.33
hp83-inf-24 86400 IN A 140.105.23.34
hp83-inf-25 86400 IN A 140.105.23.35
hp83-inf-26 86400 IN A 140.105.23.36
hp83-inf-27 86400 IN A 140.105.23.37
hp83-inf-28 86400 IN A 140.105.23.38
hp83-inf-30 86400 IN A 140.105.23.40
hp83-inf-31 86400 IN A 140.105.23.41
hp83-inf-32 86400 IN A 140.105.23.42
hp83-inf-33 86400 IN A 140.105.23.43
hp83-inf-34 86400 IN A 140.105.23.44
hp83-inf-35 86400 IN A 140.105.23.45
hp83-inf-36 86400 IN A 140.105.23.46
hp83-inf-37 86400 IN A 140.105.23.47
hp83-inf-38 86400 IN A 140.105.23.48
hp83-inf-40 86400 IN A 140.105.23.50
hp83-inf-41 86400 IN A 140.105.23.51
hp83-inf-42 86400 IN A 140.105.23.52
mac-sisfabs 86400 IN A 140.105.39.47
hp83-inf-44 86400 IN A 140.105.23.54
hp83-inf-45 86400 IN A 140.105.23.55
hp83-inf-46 86400 IN A 140.105.23.56
hp83-inf-47 86400 IN A 140.105.23.57
hp83-inf-48 86400 IN A 140.105.23.58
hp83-inf-49 86400 IN A 140.105.23.59
hp83-inf-51 86400 IN A 140.105.23.61
svclima2 86400 IN A 140.105.16.113
nb-huyer 86400 IN A 140.105.38.67
svclima4 86400 IN A 140.105.16.115
mac-scs-1 86400 IN A 140.105.26.76
mac-reception3-agh 86400 IN A 140.105.35.15
twows-ext 86400 IN CNAME twasweb
sv3-fs1-virt 86400 IN A 140.105.16.245
nb8-18-20 86400 IN A 140.105.18.20
fs1-virt 86400 IN A 140.105.16.11
hp83-lib-1 86400 IN A 140.105.40.24
hp83-lib-2 86400 IN A 140.105.40.20
hp83-lib-3 86400 IN A 140.105.40.32
hp83-lib-4 86400 IN A 140.105.40.22
hp83-lib-5 86400 IN A 140.105.40.39
hp83-lib-6 86400 IN A 140.105.40.35
hp83-lib-7 86400 IN A 140.105.40.49
mac-agbedjro 86400 IN A 140.105.22.24
mac-alimanov 86400 IN A 140.105.35.109
vpnecorso 86400 IN A 140.105.26.12
nb8-18-27 86400 IN A 140.105.18.27
twas-restricted 86400 IN CNAME twas-sv
mac-rakar 86400 IN A 140.105.22.17
mac-maroth 86400 IN A 140.105.35.51
nec-test 86400 IN A 140.105.26.105
nb8-18-30 86400 IN A 140.105.18.30
vpnenricof 86400 IN A 140.105.44.50
nb9-19-96 86400 IN A 140.105.19.96
mac-mdgiovan 86400 IN A 140.105.35.130
dellvostro 86400 IN A 140.105.26.82
hp6-maint-1 86400 IN A 140.105.35.118
mac-quevedo 86400 IN A 140.105.38.180
hp6-dalafi 86400 IN A 140.105.38.43
nb-stefani-48 86400 IN A 140.105.30.227
bookings 86400 IN CNAME webmail
nb8-18-40 86400 IN A 140.105.18.40
mainhub 86400 IN A 140.105.47.3
mainhub 86400 IN MX 1 mainhub
mac-verina 86400 IN A 140.105.26.39
mac-lungu 86400 IN A 140.105.35.45
pc-deconi 86400 IN A 140.105.17.123
webmail4 86400 IN CNAME webmail
twows 86400 IN CNAME webmail
nb8-18-48 86400 IN A 140.105.18.48
nb8-18-50 86400 IN A 140.105.18.50
wl-10 86400 IN A 140.105.25.74
wl-11 86400 IN A 140.105.25.75
wl-12 86400 IN A 140.105.25.76
wl-13 86400 IN A 140.105.25.77
wl-14 86400 IN A 140.105.25.78
wl-15 86400 IN A 140.105.25.79
wl-16 86400 IN A 140.105.25.80
wl-17 86400 IN A 140.105.25.81
wl-18 86400 IN A 140.105.25.82
wl-19 86400 IN A 140.105.25.83
wl-21 86400 IN A 140.105.25.85
wl-22 86400 IN A 140.105.25.86
hp6-caris 86400 IN A 140.105.38.71
wl-24 86400 IN A 140.105.25.88
wl-25 86400 IN A 140.105.25.89
wl-26 86400 IN A 140.105.25.90
wl-27 86400 IN A 140.105.25.91
wl-28 86400 IN A 140.105.25.92
wl-29 86400 IN A 140.105.25.93
mac-comar-fin 86400 IN A 140.105.22.33
zope-twas 86400 IN CNAME twas-sv
nb8-18-59 86400 IN A 140.105.18.59
g8forum 86400 IN CNAME webmail
ictpsv3 86400 IN CNAME sv3
newmaster 86400 IN A 140.105.16.77
hp6-coppola 86400 IN A 140.105.38.10
pb-aoudia 86400 IN A 140.105.29.140
nb8-18-66 86400 IN A 140.105.18.66
nb-thompson 86400 IN A 140.105.29.6
asterisk1 86400 IN A 140.105.47.20
nb8-18-70 86400 IN A 140.105.18.70
mced-label 86400 IN A 140.105.26.43
mac-kiselev 86400 IN A 140.105.27.144
mac-gregoris 86400 IN A 140.105.38.12
nb-arpl1 86400 IN A 140.105.26.226
nb-arpl2 86400 IN A 140.105.26.227
nb-arpl3 86400 IN A 140.105.26.228
emedical 86400 IN A 140.105.35.104
hp83-lib-8 86400 IN A 140.105.40.33
hp6-varnier 86400 IN A 140.105.38.41
hp83-lib-9 86400 IN A 140.105.40.34
e-diploma 86400 IN CNAME webmail
nb8-18-80 86400 IN A 140.105.18.80
amd64 86400 IN A 140.105.32.96
hp83-arpl-1 86400 IN A 140.105.26.201
hp83-arpl-2 86400 IN A 140.105.26.206
plusone 86400 IN A 140.105.26.109
mac-alonso 86400 IN A 140.105.37.4
nb-clima 86400 IN A 140.105.26.108
iatn 86400 IN A 140.105.28.91
mac-martin 86400 IN A 140.105.38.15
mac-dsmith 86400 IN A 140.105.37.6
45plus 86400 IN A 239.255.12.21
nb8-18-90 86400 IN A 140.105.18.90
macsvr108a1 86400 IN A 140.105.39.14
hp6-cm-19 86400 IN A 140.105.27.215
nb8-18-91 86400 IN A 140.105.18.91
mac-winter 86400 IN A 140.105.35.3
pc-presiren 86400 IN CNAME pc-presire
smtp 86400 IN A 140.105.33.51
assoc-new 86400 IN CNAME scs2
argo-master 86400 IN A 140.105.32.64
guna 86400 IN CNAME webmail
netapp-6080-ftp-b 86400 IN A 140.105.16.31
mac-osso 86400 IN A 140.105.35.102
86400 IN A 140.105.37.7
86400 IN A 140.105.38.24
sv12 86400 IN CNAME scs-sv12
pb-zetto 86400 IN A 140.105.39.42
sv16 86400 IN CNAME webmail
sv17 86400 IN CNAME webmail
sv18 86400 IN CNAME webmail
mac-castro 86400 IN A 140.105.35.64
icts 86400 IN CNAME webmail
users 86400 IN CNAME sv3
mverina-vm1 86400 IN A 140.105.26.98
pb-video-2 86400 IN A 140.105.35.139
mac-sincrotrone 86400 IN A 140.105.35.143
mac-tuniz2 86400 IN A 140.105.38.177
oldagenda 86400 IN CNAME agenda-backup
wlcauth 86400 IN A 1.1.1.1
mac-stoch2 86400 IN A 140.105.35.24
86400 IN A 140.105.35.134
mac-stoch3 86400 IN A 140.105.35.131
mac-chiandotto 86400 IN A 140.105.35.44
hp83-clima-1 86400 IN A 140.105.29.215
hp83-clima-2 86400 IN A 140.105.29.193
hp83-clima-3 86400 IN A 140.105.29.209
hp83-clima-4 86400 IN A 140.105.29.231
mac-marco 86400 IN A 140.105.39.54
hp83-clima-6 86400 IN A 140.105.29.200
hp83-clima-7 86400 IN A 140.105.29.197
hp83-clima-8 86400 IN A 140.105.29.196
hp83-clima-9 86400 IN A 140.105.29.217
mainhub.netproj 86400 IN A 140.105.47.3
mainhub.netproj 86400 IN TXT "v=spf1 ip4:140.105.47.3 -all"
argo-login 86400 IN CNAME argo-login1
mac-hassan 86400 IN A 140.105.38.13
personnel 86400 IN CNAME webmail
mac-pieri 86400 IN A 140.105.35.52
iupap-c13 86400 IN CNAME webmail
sign-lb-entr-3 86400 IN A 140.105.19.178
sign-lb-entr-4 86400 IN A 140.105.19.179
hp6-mcgrath 86400 IN A 140.105.38.17
hp6-maint-2 86400 IN A 140.105.35.120
mac-tosi 86400 IN A 140.105.27.243
vm-netmgmt-2 86400 IN A 140.105.26.74
vpn-client 86400 IN A 140.105.37.131
home 86400 IN CNAME webmail
mac-arezzo 86400 IN A 140.105.30.2
hp8g1-ezio-1 86400 IN A 140.105.26.46
hp8g1-ezio-2 86400 IN A 140.105.26.47
mac-stefani 86400 IN A 140.105.35.57
hp83-inf-1 86400 IN A 140.105.23.11
kvm-mac 86400 IN A 140.105.26.103
hp83-inf-3 86400 IN A 140.105.23.13
hp83-inf-4 86400 IN A 140.105.23.14
hp83-inf-5 86400 IN A 140.105.23.15
hp83-inf-6 86400 IN A 140.105.23.16
hp83-inf-7 86400 IN A 140.105.23.17
hp83-inf-8 86400 IN A 140.105.23.18
hp83-inf-9 86400 IN A 140.105.23.19
pb-ferigutti 86400 IN A 140.105.39.39
ssh1 86400 IN CNAME ssh
ssh2 86400 IN CNAME ssh
mac-niemela 86400 IN A 140.105.25.133
mac-math1 86400 IN A 140.105.30.90
vpn-condense-x7 86400 IN A 140.105.27.14
mac-antonutti 86400 IN A 140.105.35.88
mac-valassi 86400 IN A 140.105.22.22
nb-dhj 86400 IN A 140.105.35.117
lists-new 86400 IN CNAME webmail
mac-comar-personnel 86400 IN A 140.105.22.39
mac-orsaria 86400 IN A 140.105.22.19
nj-sdu1 86400 IN A 140.105.26.67
nj-sdu2 86400 IN A 140.105.26.68
nj-sdu3 86400 IN A 140.105.26.69
stringpheno2014 86400 IN A 140.105.28.91
hp6-assoc-10 86400 IN A 140.105.27.7
hp6-assoc-11 86400 IN A 140.105.27.5
hp6-assoc-12 86400 IN A 140.105.27.4
hp6-assoc-13 86400 IN A 140.105.27.70
hp6-assoc-15 86400 IN A 140.105.27.11
hp6-assoc-16 86400 IN A 140.105.29.142
hp6-assoc-17 86400 IN A 140.105.27.15
hp6-assoc-18 86400 IN A 140.105.27.2
hp6-assoc-19 86400 IN A 140.105.27.19
hp6-assoc-21 86400 IN A 140.105.27.13
hp6-assoc-22 86400 IN A 140.105.27.16
hp6-assoc-23 86400 IN A 140.105.27.17
hp6-assoc-24 86400 IN A 140.105.27.20
hp6-assoc-25 86400 IN A 140.105.27.9
nb8-18-230 86400 IN A 140.105.18.230
kerberos 86400 IN CNAME master
pb-flego 86400 IN A 140.105.35.141
doc-mgmt1-placeholder 86400 IN A 140.105.16.201
pb-igirotto 86400 IN A 140.105.39.53
login 86400 IN CNAME webmail
pre-susy2013 86400 IN CNAME susy2013
webggh 86400 IN A 140.105.16.137
start 86400 IN CNAME ghs.google.com.
nb9-19-169 86400 IN A 140.105.19.169
ex-mb2s-6 86400 IN CNAME pc-co1
c6509-b-outside 86400 IN A 140.105.47.67
hp6-mlab-10 86400 IN A 140.105.17.210
tmp5 86400 IN A 140.105.18.5
mac-ysamu 86400 IN A 140.105.35.129
cost251 86400 IN CNAME arpl
mac-corona 86400 IN A 140.105.22.4
unix-2 86400 IN CNAME webmail
signage-ggh-entr2 86400 IN A 140.105.19.177
mac-coglievina 86400 IN A 140.105.35.20
mac-finance2 86400 IN A 140.105.22.29
nb8-18-189 86400 IN A 140.105.18.189
euindia 86400 IN CNAME webmail
hp8g1-marco 86400 IN A 140.105.26.52
wl-20 86400 IN A 140.105.25.84
mac-blowers 86400 IN A 140.105.38.2
hp8g1-helpdesk 86400 IN A 140.105.26.51
hp8g1-maria 86400 IN A 140.105.26.45
mac-tamburini 86400 IN CNAME mac-fondazione4
cl-clima1 86400 IN A 140.105.32.41
cl-clima2 86400 IN A 140.105.32.42
cl-clima3 86400 IN A 140.105.32.43
hp6-niscio 86400 IN A 140.105.38.40
asesma 86400 IN CNAME webmail
lsf7-2 86400 IN A 140.105.32.152
ictp-cms 86400 IN CNAME scs2
agenda-devel 86400 IN CNAME webmail
hp6-qls-1 86400 IN A 140.105.27.188
hp6-qls-2 86400 IN A 140.105.27.187
hp6-qls-3 86400 IN A 140.105.27.184
hp6-qls-4 86400 IN A 140.105.27.192
hp6-qls-5 86400 IN A 140.105.27.185
hp6-qls-6 86400 IN A 140.105.27.186
hp6-qls-7 86400 IN A 140.105.27.189
hp6-qls-8 86400 IN A 140.105.27.191
hp6-qls-9 86400 IN A 140.105.27.190
hp83-he-9 86400 IN A 140.105.29.87
test-e-oea 86400 IN CNAME testbed
mac-coana 86400 IN A 140.105.35.49
usb-eth1 86400 IN A 140.105.35.71
mac-makkawi 86400 IN A 140.105.38.172
ln-assoc-1 86400 IN A 140.105.27.50
ln-assoc-2 86400 IN A 140.105.27.51
ln-assoc-3 86400 IN A 140.105.27.52
ln-assoc-4 86400 IN A 140.105.27.53
ln-assoc-5 86400 IN A 140.105.27.54
ln-assoc-6 86400 IN A 140.105.27.55
ln-assoc-7 86400 IN A 140.105.27.56
ln-assoc-8 86400 IN A 140.105.27.57
ln-assoc-9 86400 IN A 140.105.27.58
pc-auditor1 86400 IN A 140.105.39.84
pc-auditor2 86400 IN A 140.105.39.85
meteo 86400 IN A 140.105.16.22
nb9-19-109 86400 IN A 140.105.19.109
scs 86400 IN CNAME webmail
ictp-doc 86400 IN CNAME webmail
nb9-19-113 86400 IN A 140.105.19.113
mac-multimedia1-agh 86400 IN A 140.105.39.31
umbraco 86400 IN CNAME webmail
twas-sv 86400 IN A 140.105.16.147
hp6-klh 86400 IN A 140.105.30.245
jabber 86400 IN CNAME webmail
nb9-19-119 86400 IN A 140.105.19.119
pb-bazzo 86400 IN A 140.105.39.15
rt3 86400 IN CNAME webmail
mlab-01 86400 IN A 140.105.17.216
mlab-02 86400 IN A 140.105.17.217
mlab-03 86400 IN A 140.105.17.218
mlab-04 86400 IN A 140.105.17.219
mac-ivanissevich 86400 IN A 140.105.35.27
sdu 86400 IN A 140.105.16.141
nb9-19-130 86400 IN A 140.105.19.130
nb8-18-210 86400 IN A 140.105.18.210
spgeo3 86400 IN A 140.105.32.22
netapp-6080-hpc-a 86400 IN A 140.105.32.30
netapp-6080-hpc-b 86400 IN A 140.105.32.31
signage-agh-entr 86400 IN A 140.105.19.173
mac-rapetti 86400 IN A 140.105.40.229
mac-demeo 86400 IN A 140.105.35.30
iono 86400 IN CNAME arpl
acsext1-macor 86400 IN A 140.105.47.11
mac-hegroup 86400 IN A 140.105.29.102
nb9-19-140 86400 IN A 140.105.19.140
hp83-lblab-3 86400 IN A 140.105.25.13
nb9-19-145 86400 IN A 140.105.19.145
pb-buuren 86400 IN A 140.105.35.83
hp83-lblab-9 86400 IN A 140.105.25.19
pb-verina 86400 IN A 140.105.26.38
mac-gamboz 86400 IN A 140.105.35.47
nb9-19-150 86400 IN A 140.105.19.150
vpn-placeh2 86400 IN A 140.105.38.129
proxy1-e 86400 IN A 140.105.47.80
mac-regia4 86400 IN A 140.105.35.140
