@ 86400 IN SOA dns.ictp.it. hostmaster.ictp.it. 2015062787 28800 7200 604800 86400
@ 86400 IN AFSDB 1 fs1
86400 IN AFSDB 1 fs2
@ 86400 IN MX 40 smtp.ictp.it.
86400 IN MX 40 smtp
86400 IN MX 50 smtp1
86400 IN MX 50 smtp2
@ 86400 IN NS dns.ictp.it.
86400 IN NS ns1.units.it.
86400 IN NS sv2.ictp.it.
oldlxlib2 86400 IN A 140.105.16.139
hp6-kareith 86400 IN A 140.105.38.20
mac-beltramini 86400 IN A 140.105.22.10
signage-agh-entr2 86400 IN A 140.105.19.176
vpn-scandolo 86400 IN A 140.105.27.10
mac-zarotti 86400 IN A 140.105.35.79
pb-rapetti 86400 IN A 140.105.40.227
mac-bognolo 86400 IN A 140.105.35.13
ictp-docu 86400 IN CNAME webmail
mac-venier 86400 IN A 140.105.22.23
mac-emili 86400 IN A 140.105.22.25
mac-isten2 86400 IN A 140.105.38.14
vpn-mfrancio 86400 IN A 140.105.35.124
hp6-mlab-1 86400 IN A 140.105.17.191
hp6-mlab-2 86400 IN A 140.105.17.192
hp6-mlab-3 86400 IN A 140.105.17.203
hp6-mlab-4 86400 IN A 140.105.17.204
hp6-mlab-5 86400 IN A 140.105.17.205
hp6-mlab-6 86400 IN A 140.105.17.206
hp6-mlab-7 86400 IN A 140.105.17.207
hp6-mlab-8 86400 IN A 140.105.17.208
hp6-mlab-9 86400 IN A 140.105.17.202
icts-enricof 86400 IN A 140.105.47.13
scs-newportal 86400 IN CNAME scs2
umbraco2 86400 IN CNAME webmail
hp6-dip-1 86400 IN A 140.105.39.131
hp6-dip-2 86400 IN A 140.105.39.132
hp6-dip-3 86400 IN A 140.105.39.133
library-test 86400 IN A 140.105.16.106
enterprise-dev 86400 IN CNAME webmail
sdu-webcast 86400 IN CNAME arpl-webcast
webmail2 86400 IN A 140.105.16.176
mac-tanaskovic 86400 IN A 140.105.35.34
webmail3 86400 IN A 140.105.16.177
nb8-18-10 86400 IN A 140.105.18.10
nb8-18-11 86400 IN A 140.105.18.11
nb8-18-12 86400 IN A 140.105.18.12
nb8-18-13 86400 IN A 140.105.18.13
nb8-18-14 86400 IN A 140.105.18.14
nb8-18-15 86400 IN A 140.105.18.15
nb8-18-16 86400 IN A 140.105.18.16
nb8-18-17 86400 IN A 140.105.18.17
nb8-18-18 86400 IN A 140.105.18.18
nb8-18-19 86400 IN A 140.105.18.19
nb8-18-21 86400 IN A 140.105.18.21
nb8-18-22 86400 IN A 140.105.18.22
nb8-18-23 86400 IN A 140.105.18.23
nb8-18-24 86400 IN A 140.105.18.24
nb8-18-25 86400 IN A 140.105.18.25
nb8-18-26 86400 IN A 140.105.18.26
mac-randjbar2 86400 IN A 140.105.29.3
mac-randjbar3 86400 IN A 140.105.29.4
nb8-18-29 86400 IN A 140.105.18.29
nb8-18-31 86400 IN A 140.105.18.31
nb8-18-32 86400 IN A 140.105.18.32
nb8-18-33 86400 IN A 140.105.18.33
