www.edu 3600 IN A 37.255.132.140
darmanab 3600 IN A 37.255.132.140
www.trauma 3600 IN A 37.255.132.140
arzyab 3600 IN A 172.16.0.58
www.iahs 3600 IN A 37.255.132.133
www.dnt 3600 IN A 37.255.132.140
ftplan 3600 IN A 172.16.0.55
smiranzadeh 3600 IN A 37.255.132.140
holistic 3600 IN A 37.255.132.140
factory 3600 IN A 37.255.132.138
bls 3600 IN A 37.255.132.140
activation 3600 IN A 37.255.132.140
www.health 3600 IN A 37.255.132.140
bahrami 3600 IN A 37.255.132.140
vpn-stu 3600 IN A 10.130.249.226
www.matini 3600 IN A 37.255.132.140
kasrc 3600 IN A 37.255.132.140
naghavihis 3600 IN A 172.16.0.56
dc1 3600 IN A 172.16.0.59
dc2 3600 IN A 172.16.0.60
www.kifc 3600 IN A 37.255.132.140
members 3600 IN A 10.130.249.8
qview 3600 IN A 10.130.249.37
hannani 3600 IN A 37.255.132.140
azizi 3600 IN A 37.255.132.140
hse 3600 IN A 37.255.132.140
sarafraz 3600 IN A 37.255.132.140
eng 3600 IN A 37.255.132.140
beheshtihis 3600 IN A 10.130.249.28
spark 3600 IN A 172.16.0.43
arabfard 3600 IN A 37.255.132.140
fsaberi 3600 IN A 37.255.132.140
yazdani 3600 IN A 37.255.132.140
arzyabi 3600 IN A 37.255.132.138
aranbidgol 3600 IN A 37.255.132.140
www.forms 3600 IN A 37.255.132.137
www.karafarini 3600 IN A 37.255.132.140
laboratory 3600 IN A 37.255.132.138
rezaeimofrad 3600 IN A 37.255.132.140
farzandipour 3600 IN A 37.255.132.140
nursing 3600 IN A 37.255.132.140
student 3600 IN A 37.255.132.140
shohada 3600 IN A 37.255.132.140
hosseinian 3600 IN A 37.255.132.140
isar 3600 IN A 37.255.132.140
www.fdo 3600 IN A 37.255.132.140
www.emp 3600 IN A 10.130.249.11
rangrazejeddi 3600 IN A 37.255.132.140
shojaegharebagh 3600 IN A 37.255.132.140
feedback 3600 IN A 37.255.132.138
www.rajaei 3600 IN A 37.255.132.140
mirbagher 3600 IN A 37.255.132.140
aliakbarzadeh 3600 IN A 37.255.132.140
cme 3600 IN A 172.16.0.58
pacs 3600 IN A 10.130.249.60
samatdata 3600 IN A 172.16.0.46
p1076.dc 3600 IN A 192.168.3.28
everest 3600 IN A 172.16.0.6
taghadosi 3600 IN A 37.255.132.140
www.itsm 3600 IN A 37.255.132.140
www.medicine 3600 IN A 37.255.132.140
contact 3600 IN A 37.255.132.140
hamzeh 3600 IN A 37.255.132.140
mirhoseini 3600 IN A 37.255.132.140
tagharrobi 3600 IN A 37.255.132.140
karimian 3600 IN A 37.255.132.140
randeman 3600 IN A 172.16.0.54
links 3600 IN A 37.255.132.140
imaging 3600 IN A 37.255.132.138
pharmacy 3600 IN A 37.255.132.138
food-reserve 3600 IN A 10.130.249.20
hajibagheri 3600 IN A 37.255.132.140
trauma 3600 IN A 37.255.132.140
www.paramedicine 3600 IN A 37.255.132.140
kafaei 3600 IN A 37.255.132.140
akhavan 3600 IN A 37.255.132.140
www.darmanab 3600 IN A 37.255.132.140
rajaei 3600 IN A 37.255.132.140
pajouhan 3600 IN A 37.255.132.135
sharifi 3600 IN A 37.255.132.140
www.basijmd 3600 IN A 37.255.132.140
crs 3600 IN A 37.255.132.140
matini 3600 IN A 37.255.132.140
salamat 3600 IN A 37.255.132.140
rate 3600 IN A 172.16.0.53
iahs 3600 IN A 37.255.132.133
www 3600 IN A 37.255.132.140
server1 3600 IN A 37.255.132.134
server3 3600 IN A 37.255.132.154
sbd 3600 IN A 194.225.213.69
dnt1 3600 IN A 37.255.132.140
kargarnejad 3600 IN A 37.255.132.140
samed 3600 IN A 10.130.249.10
paziresh 3600 IN A 37.255.132.138
healthab 3600 IN A 37.255.132.140
dianati 3600 IN A 37.255.132.140
darman 3600 IN A 37.255.132.140
bartar 3600 IN A 37.255.132.138
kifc 3600 IN A 37.255.132.140
samat 3600 IN A 37.255.132.140
dc 3600 IN A 172.16.0.60
gallery 3600 IN A 37.255.132.140
edu 3600 IN A 37.255.132.140
cv 3600 IN A 37.255.132.138
motalebi 3600 IN A 37.255.132.140
dnt 3600 IN A 37.255.132.140
el 3600 IN A 37.255.132.138
em 3600 IN A 37.255.132.140
en 3600 IN A 37.255.132.140
samei 3600 IN A 37.255.132.140
