@ 14400 IN SOA ns1.webexir.com. hostmaster 2013112001 14400 3600 1209600 86400
@ 14400 IN MX 10 mail
@ 14400 IN TXT "v=spf1 a mx ip4:185.4.28.154 ~all"
@ 14400 IN A 185.4.28.154
@ 14400 IN NS ns1.webexir.com.
14400 IN NS ns2.webexir.com.
pop 14400 IN A 185.4.28.154
* 14400 IN A 185.4.28.154
www 14400 IN A 185.4.28.154
localhost 14400 IN AAAA ::1
localhost 14400 IN A 127.0.0.1
mail 14400 IN A 185.4.28.154
smtp 14400 IN A 185.4.28.154
ftp 14400 IN A 185.4.28.154
