dgip 3600 IN A 148.222.11.20
mdca.maestrias 3600 IN A 148.222.11.20
www.testmoodle 3600 IN CNAME testmoodle
www.odm.maestrias 3600 IN CNAME odm.maestrias
www.humatap.fcp 3600 IN CNAME fcp
www.multimedios 3600 IN CNAME webunach2
www.seminariomujer 3600 IN CNAME cv2
ec.especialidades 3600 IN A 148.222.11.20
campodelaeducacion 3600 IN CNAME webunach2
www.preregistro_eu 3600 IN CNAME webunach2
www.campusvirtual 3600 IN CNAME campusvirtual
paei 3600 IN CNAME modeloeducativo
www.fic 3600 IN CNAME webunach2
mec.maestrias 3600 IN A 148.222.11.20
edm.especialidades 3600 IN A 148.222.11.20
www.cavet 3600 IN CNAME webunach2
www.mctp 3600 IN CNAME webunach2
radio 3600 IN A 148.222.11.8
escolares 3600 IN A 201.116.39.6
www.diplomados.cv 3600 IN CNAME cv2
vpn 3600 IN A 148.222.12.247
www.virtualeduca 3600 IN CNAME cv2
www.seguridadalimentaria 3600 IN CNAME cv2
alumnos 3600 IN A 148.222.11.9
redica 3600 IN A 148.222.11.114
www.educad-fca4 3600 IN CNAME webunach2
www.spaunach 3600 IN CNAME spaunach
www.feule 3600 IN CNAME webunach2
www.curso 3600 IN CNAME curso
eydh 3600 IN CNAME webunach2
incunachtap 3600 IN A 148.222.11.20
feule 3600 IN CNAME webunach2
www.multimedia 3600 IN CNAME webunach2
aulavirtual 3600 IN A 148.222.11.100
test.uv 3600 IN A 148.222.11.60
www.tratadepersonas 3600 IN CNAME cv2
docgestion.ccea 3600 IN CNAME webunach2
www.cercom 3600 IN CNAME webunach2
descur 3600 IN CNAME webunach2
fddi-conta 3600 IN A 148.222.1.5
alumno 3600 IN CNAME domains.live.com.
www.bioetica 3600 IN CNAME webunach2
www.humanidades 3600 IN CNAME humanidades
www.mdl.maestrias 3600 IN CNAME mdl.maestrias
www.nagios 3600 IN CNAME nagios
www.posgradofca 3600 IN CNAME posgradofca
personal 3600 IN CNAME webunach2
www.encuestas.fca 3600 IN CNAME webunach2
mcm.maestrias 3600 IN A 148.222.11.20
www.sari 3600 IN CNAME webunach2
www.une-t2 3600 IN CNAME une-t2
sclc-local 3600 IN A 148.222.1.12
www.congresosalud 3600 IN CNAME webunach2
foto40aniversario 3600 IN A 148.222.11.20
pedpedvirtual 3600 IN CNAME webunach2
violenciagenero 3600 IN A 148.222.11.20
competencias-ciudadanas 3600 IN A 148.222.11.20
biociencias 3600 IN CNAME webunach2
www.entrediversidades 3600 IN CNAME webunach2
ceune 3600 IN CNAME webunach2
maestrias 3600 IN A 148.222.11.100
sistemajuridico 3600 IN A 148.222.11.20
fddi-human 3600 IN A 148.222.1.4
www.redica 3600 IN CNAME redica
www.mi2 3600 IN CNAME mi2
mctp 3600 IN CNAME webunach2
www.me.maestrias 3600 IN CNAME me.maestrias
www.id 3600 IN CNAME serversauce
galeria-ra 3600 IN A 148.222.11.20
www.agricolas 3600 IN CNAME agricolas
adultosmayores 3600 IN CNAME webunach2
www 60 IN A 201.116.39.2
dpersonal 3600 IN CNAME webunach2
