@ 3600 IN SOA @ root 2015041000 900 600 86400 3600
@ 3600 IN NS ns
3600 IN NS ns.naverex.net.
@ 3600 IN A 213.169.81.98
@ 3600 IN MX 10 ASPMX.L.GOOGLE.COM.
3600 IN MX 20 ALT1.ASPMX.L.GOOGLE.COM.
3600 IN MX 20 ALT2.ASPMX.L.GOOGLE.COM.
3600 IN MX 30 ASPMX2.GOOGLEMAIL.COM.
3600 IN MX 30 ASPMX3.GOOGLEMAIL.COM.
3600 IN MX 30 ASPMX4.GOOGLEMAIL.COM.
3600 IN MX 30 ASPMX5.GOOGLEMAIL.COM.
3600 IN MX 31 web
3600 IN MX 32 router
ipgoe 3600 IN A 213.169.81.98
www.bvp 3600 IN A 213.169.81.98
www.ipp 3600 IN A 213.169.81.98
shkil-conf.fmi 3600 IN A 213.169.81.98
www.irc 3600 IN A 213.169.81.98
www.ird 3600 IN A 213.169.81.98
kdr 3600 IN A 213.169.81.98
www.krzl 3600 IN A 213.169.81.98
www.csr.ifon 3600 IN A 213.169.81.98
diaspora 3600 IN A 213.169.81.98
ipsp 3600 IN A 213.169.81.98
eurolangues 3600 IN A 213.169.81.98
sr 3600 IN A 213.169.81.98
kzmg 3600 IN A 213.169.81.98
wiuu 3600 IN A 213.169.81.98
ieep 3600 IN A 213.169.81.98
borysenko 3600 IN A 213.169.81.98
www.kzmg 3600 IN A 213.169.81.98
www.kuei 3600 IN A 213.169.81.98
svp 3600 IN A 213.169.81.98
ket 3600 IN A 213.169.81.98
shkil.fmi 3600 IN A 213.169.81.98
ktoi.ii 3600 IN A 213.169.81.98
e-journals 3600 IN A 213.169.81.99
pedtvor 3600 IN A 213.169.81.98
bbb 3600 IN A 213.169.81.101
sites 3600 IN CNAME ghs.google.com.
www.ifon 3600 IN A 213.169.81.98
old.lib 3600 IN A 195.162.89.41
www.25celsi 3600 IN A 213.169.81.105
kdr.ifon 3600 IN A 213.169.81.98
www.moodle26 3600 IN A 213.169.81.99
www.moodle27 3600 IN A 213.169.81.99
www.moodle28 3600 IN A 213.169.81.99
www.dragomanov.iio 3600 IN A 213.169.81.98
www.nfranchuk.ii 3600 IN A 213.169.81.98
www.csr 3600 IN A 213.169.81.98
www.kdr 3600 IN A 213.169.81.98
nmu 3600 IN A 213.169.81.110
2009-im.ii 3600 IN A 91.192.219.44
*.2009-im.ii 3600 IN A 91.192.219.44
www.lad.iio 3600 IN A 213.169.81.98
www.keo 3600 IN A 213.169.81.98
www.wiki.ii 3600 IN A 213.169.81.98
www.do.ippk 3600 IN A 213.169.81.99
www.ket 3600 IN A 213.169.81.98
www.eurolangues.iif 3600 IN A 213.169.81.98
academ 3600 IN A 213.169.81.108
www.ktoi 3600 IN A 213.169.81.98
www.kgf 3600 IN A 213.169.81.98
www.kki.ii 3600 IN A 213.169.81.98
i-net.ii 3600 IN A 213.169.81.100
director 3600 IN A 213.169.81.98
idn 3600 IN A 213.169.81.98
conference 3600 IN A 213.169.81.99
igtverd 3600 IN A 213.169.81.98
www.hklib 3600 IN A 195.162.89.41
www.moodle.ii 3600 IN A 213.169.81.99
ktip 3600 IN A 213.169.81.98
mahara 3600 IN A 213.169.81.105
mail 3600 IN CNAME ghs.google.com.
www.moodle25 3600 IN A 213.169.81.99
tkg 3600 IN A 213.169.81.98
www.tkg.igto 3600 IN A 213.169.81.98
www.shkil-conf.fmi 3600 IN A 213.169.81.98
www.tryus 3600 IN A 213.169.81.98
tryus.ii 3600 IN A 213.169.81.98
docs.ii 3600 IN CNAME ghs.google.com.
ikpp 3600 IN A 213.169.81.98
kk.ifon 3600 IN A 213.169.81.98
www.lad 3600 IN A 213.169.81.98
www.test 3600 IN A 213.169.81.98
kgf 3600 IN A 213.169.81.98
www.director 3600 IN A 213.169.81.98
metodology.fmi 3600 IN A 213.169.81.98
www.ispu 3600 IN A 213.169.81.98
avp 3600 IN A 213.169.81.98
start.ii 3600 IN CNAME ghs.google.com.
www.elib 3600 IN A 213.169.81.105
imad 3600 IN A 213.169.81.98
www.kki 3600 IN A 213.169.81.98
www.ifvs 3600 IN A 213.169.81.98
iif 3600 IN A 213.169.81.98
orlyk 3600 IN A 213.169.81.98
www.visnuk.ird 3600 IN A 213.169.81.98
festival 3600 IN A 213.169.81.98
keo.iueo 3600 IN A 213.169.81.98
nfranchuk.ii 3600 IN A 213.169.81.98
igtverd.ii 3600 IN A 213.169.81.98
www.krm 3600 IN A 213.169.81.98
etestet 3600 IN A 213.169.81.98
admin 3600 IN CNAME @
ica-chernikov.fmi 3600 IN A 213.169.81.98
www.av 3600 IN A 213.169.81.98
www.arpue 3600 IN A 213.169.81.98
metodology 3600 IN A 213.169.81.98
csr.ifon 3600 IN A 213.169.81.98
www.ifon.kph 3600 IN A 213.169.81.98
mail.ii 3600 IN CNAME ghs.google.com.
www.router 3600 IN A 195.162.89.34
www.pk 3600 IN A 213.169.81.108
www.enpuir 3600 IN A 195.162.89.42
shkil 3600 IN A 213.169.81.98
www.metod.iif 3600 IN A 213.169.81.98
www.kph 3600 IN A 213.169.81.98
www.old.lib 3600 IN A 195.162.89.41
pgk 3600 IN A 213.169.81.98
krzl 3600 IN A 213.169.81.98
www.tkg 3600 IN A 213.169.81.98
gorbachuk.fmi 3600 IN A 213.169.81.98
www.iif 3600 IN A 213.169.81.98
celsi 3600 IN MX 33 mail.celsi
celsi 3600 IN A 213.169.81.107
www.man.ii 3600 IN A 213.169.81.98
www.lib 3600 IN A 195.162.89.41
www.eurolangues 3600 IN A 213.169.81.98
www.ket.iueo 3600 IN A 213.169.81.98
moodle.tryus.ii 3600 IN A 213.169.81.99
www.igto 3600 IN A 213.169.81.98
www.krm.iif 3600 IN A 213.169.81.98
kitp.ii 3600 IN A 213.169.81.98
www.kpn.ipsp 3600 IN A 213.169.81.98
www.zmyo 3600 IN A 213.169.81.98
25celsi 3600 IN A 213.169.81.105
vpb 3600 IN A 213.169.81.98
www.kpdu.ipsp 3600 IN A 213.169.81.98
web 3600 IN A 213.169.81.98
bvp 3600 IN A 213.169.81.98
ipp 3600 IN A 213.169.81.98
www.kitp 3600 IN A 213.169.81.98
www.metodology.fmi 3600 IN A 213.169.81.98
ifon 3600 IN A 213.169.81.98
wiki.ii 3600 IN A 213.169.81.98
do.ippk 3600 IN A 213.169.81.99
www.iasw 3600 IN A 213.169.81.98
sites.ii 3600 IN CNAME ghs.google.com.
www.seo 3600 IN A 213.169.81.98
www.kpn 3600 IN A 213.169.81.98
ns 3600 IN A 213.169.81.98
www.vfranchuk.ii 3600 IN A 213.169.81.98
moodle26 3600 IN A 213.169.81.99
www.moodle 3600 IN A 213.169.81.99
moodle28 3600 IN A 213.169.81.99
moodle29 3600 IN A 213.169.81.99
www.isru 3600 IN A 213.169.81.98
kuei 3600 IN A 213.169.81.98
www.ipgoe 3600 IN A 213.169.81.98
www.shkil 3600 IN A 213.169.81.98
irc 3600 IN A 213.169.81.98
www.old-elib 3600 IN A 213.169.81.98
ktoi 3600 IN A 213.169.81.98
www.mdr 3600 IN A 213.169.81.98
tkg.igto 3600 IN A 213.169.81.98
