osiris 900 IN A 192.96.249.169
900 IN A 196.21.198.169
iicta 900 IN CNAME kentico-p
construction 900 IN CNAME kentico-p
geogebra 900 IN CNAME kentico-p
publications 900 IN CNAME kentico-p
sport 900 IN CNAME kentico-p
learn64 900 IN A 192.96.15.41
alumni 900 IN MX 10 1966346973.mail.exchangelabs.com.
alumni 900 IN A 192.96.15.83
ictmobile 900 IN CNAME sp2013-lb
frfmec 900 IN CNAME kentico-p
waterpolo 900 IN CNAME kentico-p
science 900 IN CNAME kentico-p
nteu 900 IN CNAME kentico-p
myjourney 900 IN A 196.21.192.92
vwsadaad 900 IN CNAME kentico-p
supamoo 900 IN A 192.96.15.85
nmmu-vpn 900 IN CNAME vpn-south
peersym 900 IN CNAME kentico-p
passport2health 900 IN CNAME kentico-p
fserv 900 IN CNAME rproxy
digidata 900 IN A 196.21.192.211
ictserv 900 IN CNAME rproxy
chrtem 900 IN A 196.46.186.148
forums 900 IN CNAME ps
gateway 900 IN A 196.21.192.114
mufasa 900 IN MX 5 mufasa
mufasa 900 IN AAAA 2001:4200:2000:8100::102
mufasa 900 IN A 196.21.198.102
departments 900 IN CNAME kentico-p
wsp 900 IN CNAME rproxy
rproxy 900 IN A 192.96.15.48
surfing 900 IN CNAME kentico-p
granite 900 IN A 196.21.192.90
lime-external 900 IN CNAME rproxy
hathor 900 IN AAAA 2001:4200:2000:8100::170
hathor 900 IN A 196.21.198.170
basketball 900 IN CNAME kentico-p
robmechprasa2015 900 IN CNAME kentico-p
www 900 IN CNAME kentico-p
cipset 900 IN CNAME kentico-p
ra 900 IN A 192.96.15.50
uctbud 900 IN A 196.21.193.22
civileng 900 IN CNAME kentico-p
midget 900 IN A 192.96.7.208
meet 900 IN CNAME lyncefepool1
_sipfederationtls._tcp 900 IN SRV 0 0 5061 lynx
socialdev 900 IN CNAME kentico-p
ictservices 900 IN CNAME kentico-p
finmod 900 IN CNAME mcwb04
sbcs 900 IN CNAME kentico-p
extdns 900 IN MX 5 extdns
extdns 900 IN AAAA 2001:4200:2000:8100::5
extdns 900 IN A 196.21.198.5
georgesc 900 IN CNAME kentico-p
cyberbeta 900 IN CNAME isis
depts 900 IN CNAME sp2013-lb
canrad 900 IN CNAME kentico-p
saasvpn 900 IN CNAME vpn
innoventondcts 900 IN CNAME kentico-p
staffgolfclub 900 IN CNAME kentico-p
hefma 900 IN CNAME kentico-p
ace 900 IN CNAME kentico-p
polsci 900 IN CNAME kentico-p
heaids 900 IN CNAME extweb
forms 900 IN CNAME kentico-p
mail.bva 900 IN CNAME ghs.googlehosted.com.
bioupdate 900 IN CNAME kentico-p
public2000 900 IN A 196.21.198.9
learn 900 IN CNAME learn64
wowza.l 900 IN A 192.96.15.105
900 IN A 196.21.192.215
lectures 900 IN CNAME kentico-p
lawlibrarian 900 IN CNAME kentico-p
caarbooking 900 IN CNAME kentico-p
websurvey 900 IN CNAME moo
autodiscover 900 IN CNAME gateway
wowza-sc1 900 IN A 192.96.15.105
sccs 900 IN CNAME kentico-p
_jabber._tcp 900 IN SRV 5 0 5269 im
orientation 900 IN CNAME kentico-p
echeaportal 900 IN CNAME scorpion
ctlm 900 IN CNAME kentico-p
socio 900 IN CNAME kentico-p
fashiondesign 900 IN CNAME kentico-p
philosophy 900 IN CNAME kentico-p
gauntlet 900 IN A 192.96.15.124
unsilenced 900 IN CNAME kentico-p
aru 900 IN CNAME kentico-p
accc2014 900 IN CNAME kentico-p
y2t 900 IN A 196.21.198.20
mcwb04 900 IN A 192.96.15.242
tardis 900 IN A 192.96.15.43
sict-iis 900 IN A 192.96.15.84
andreduplessis 900 IN CNAME rproxy
oaseminar2015 900 IN CNAME kentico-p
webauth 900 IN CNAME www1
traininglibrarian 900 IN CNAME kentico-p
extreme 900 IN CNAME absolut
vpn-south 900 IN A 192.96.15.69
trust 900 IN CNAME kentico-p
scpd 900 IN CNAME kentico-p
ftpmcwb03 900 IN A 192.96.247.5
cbc 900 IN CNAME kentico-p
eppm2014 900 IN CNAME kentico-p
amtc 900 IN CNAME kentico-p
tutor 900 IN CNAME staff
broadband 900 IN CNAME kentico-p
ccs 900 IN CNAME kentico-p
cct 900 IN CNAME kentico-p
fxgate 900 IN A 196.21.192.1
design 900 IN CNAME rproxy
cdu 900 IN CNAME kentico-p
lyncdiscover 900 IN CNAME lyncefepool1
cfl 900 IN CNAME kentico-p
assetmaps 900 IN CNAME kentico-p
forestrymaps 900 IN CNAME extweb
rugby 900 IN CNAME kentico-p
sedt 900 IN CNAME kentico-p
nursing 900 IN CNAME kentico-p
cla 900 IN CNAME kentico-p
oip 900 IN CNAME kentico-p
3rdcm 900 IN CNAME kentico-p
isis 900 IN A 196.21.193.31
bva 900 IN TXT "google-site-verification=NcH3E68_SQSCvQymzENv6408hV59bpsUOavjrxGkWJY"
healthlibrarian 900 IN CNAME kentico-p
learning 900 IN A 196.21.193.21
cmr 900 IN CNAME kentico-p
1265274557 900 IN CNAME domains.live.com.
coe 900 IN CNAME kentico-p
cooped 900 IN CNAME kentico-p
controlsoft 900 IN CNAME kentico-p
sanparks-server 900 IN A 192.96.15.98
cirrus 900 IN A 192.96.15.60
heads 900 IN CNAME kentico-p
studev 900 IN CNAME kentico-p
sict-cof1 900 IN A 196.21.192.177
campushealth 900 IN CNAME kentico-p
nehawu 900 IN CNAME kentico-p
forms32 900 IN A 192.96.15.244
legacy 900 IN A 196.21.192.115
leanvision 900 IN CNAME kentico-p
docs 900 IN CNAME kentico-p
ai 900 IN CNAME kentico-p
lists 900 IN MX 5 hathor
900 IN MX 10 neptune
lists 900 IN A 196.21.192.78
4thcm 900 IN CNAME kentico-p
ap 900 IN CNAME kentico-p
stainedglass 900 IN CNAME kentico-p
ecm 900 IN CNAME kentico-p
mine 900 IN A 196.21.192.198
cwa 900 IN A 196.21.192.209
unitas 900 IN CNAME kentico-p
portal 900 IN CNAME supamoo
cs 900 IN CNAME kentico-p
