www.parfor 3600 IN CNAME srv04
moodle 3600 IN A 200.129.142.125
www.marcelo.oliveira 3600 IN CNAME server4
www.marcos.hubner 3600 IN CNAME server4
www.cibebi 3600 IN CNAME server4
reservalibera 3600 IN CNAME server4
www.zootecnia 3600 IN CNAME server4
www.procea 3600 IN CNAME server4
www.pgca 3600 IN CNAME server4
www.libras 3600 IN CNAME server4
www.gepram 3600 IN CNAME server4
voip-server1 360 IN A 200.129.139.15
www.seer 3600 IN CNAME seer
www.depinfo 3600 IN CNAME server4
www.brunocatiari 3600 IN CNAME server4
mundoacademico 3600 IN A 200.129.140.12
www.isf 3600 IN CNAME server4
www.teleduc 3600 IN A 200.129.142.18
www.ppgl 3600 IN CNAME server4
www.revistaeduca 3600 IN CNAME server4
www.lucas 3600 IN CNAME server4
www.apps01 3600 IN CNAME apps01
www.semanaexatajp 3600 IN CNAME server4
www.letrasguajara 3600 IN CNAME server4
www.obfisica 3600 IN CNAME server4
www.certame 3600 IN CNAME certame3
ava 3600 IN A 200.129.142.29
www.dejor 3600 IN CNAME server4
www.letrasindigenas 3600 IN CNAME server4
andre 3600 IN A 200.129.142.15
ftp2 3600 IN CNAME serverweb
www.filosofiaemodernidades 3600 IN CNAME server4
www.cepla 3600 IN CNAME server4
www.cienciasdasaude 3600 IN CNAME server4
www.bibliotecarm 3600 IN CNAME server4
www.renafor 3600 IN CNAME server4
www.lep 3600 IN CNAME server4
www.nusau 3600 IN CNAME server4
www.praxis 3600 IN CNAME server4
www.presidentemedici 3600 IN CNAME server4
www.lgh 3600 IN CNAME server4
www.dfil 3600 IN CNAME server4
pingifes2 3600 IN A 200.129.142.24
www.guajaramirim 3600 IN CNAME server4
biblivre 3600 IN A 200.129.142.5
www.dpdi 3600 IN CNAME server4
www.valmir 3600 IN CNAME server4
www.observatoriofeminino 3600 IN CNAME server4
www.ariquemes 3600 IN CNAME server4
www.humanidades 3600 IN CNAME server4
servtelessaude 3600 IN A 200.129.142.95
www.ojsbeta 3600 IN CNAME server4
www.mribeiro 3600 IN CNAME server4
www.profmat 3600 IN CNAME server4
www.cacic 3600 IN CNAME cacic
www.mel 3600 IN CNAME server4
www.carolina 3600 IN CNAME server4
wiki 3600 IN CNAME server4
www.labinst.eletrica 3600 IN CNAME server4
www.pdi 3600 IN CNAME server4
server2 3600 IN A 200.129.140.7
server3 3600 IN A 200.129.140.8
server4 3600 IN A 200.129.142.16
www.projetos.dti 3600 IN CNAME projetos.dti
www.aurineide.braga 3600 IN CNAME server4
www.pgbioexp 3600 IN CNAME server4
www.bibliotecavilhena 3600 IN CNAME server4
servldap 3600 IN A 200.129.142.87
www.nch 3600 IN CNAME server4
www.ascom 3600 IN CNAME server4
www.sibi 3600 IN CNAME server4
www.fisica2 3600 IN CNAME server4
www.ncet 3600 IN CNAME server4
www.mariovenere 3600 IN CNAME server4
www.pibid.diversidade 3600 IN CNAME server4
www.linguas.vernaculas 3600 IN CNAME server4
www.semanabio 3600 IN CNAME server4
www.gpea 3600 IN CNAME server4
www.semat 3600 IN CNAME server4
www.processoseletivopnap 3600 IN CNAME server4
www.catiari 3600 IN CNAME server4
www.segurancapublica 3600 IN CNAME server4
www.eventos 3600 IN CNAME server4
www.biblivre.unir.br 3600 IN CNAME biblivre
www.engenhariadepesca 3600 IN CNAME server4
www.alexandre 3600 IN CNAME server4
www.campus-rm 3600 IN CNAME server4
www.cesir 3600 IN CNAME server4
www.marcopolo 3600 IN CNAME server4
www.onomasticarondoniana 3600 IN CNAME server4
www.sicaf 3600 IN CNAME server4
www.gestaoambiental 3600 IN CNAME server4
www.midias 3600 IN CNAME server4
www.midiasnaeducacao2 3600 IN CNAME server4
www.mestradogeografia 3600 IN CNAME server4
prodocencia 3600 IN CNAME server4
ri 3600 IN A 200.129.142.52
www.servidor 3600 IN CNAME server4
www.plea 3600 IN CNAME server4
www.dqui 3600 IN CNAME server4
www.pae 3600 IN CNAME server4
www.socorrobeltrao 3600 IN CNAME server4
www.quimica 3600 IN CNAME server4
pedagogiauab 3600 IN CNAME ava
www.mestradoemgeografia 3600 IN CNAME server4
cafe 3600 IN CNAME idp-cafe
www.geografia 3600 IN CNAME server4
www.gt-graduacao 3600 IN CNAME server4
www.panantigo 3600 IN CNAME server4
erdam 3600 IN CNAME servtelessaude
labogeopa 3600 IN CNAME servtelessaude
www.revistalinguaviva 3600 IN CNAME server4
www.sintunir 3600 IN CNAME server4
www.simposiodeajp 3600 IN CNAME server4
www.agronomia 3600 IN CNAME server4
www.pet 3600 IN CNAME server4
www.mestradoemletras 3600 IN CNAME server4
www.academico 3600 IN CNAME server4
www.fale 3600 IN CNAME server4
www.educiencia 3600 IN CNAME server4
ftp 3600 IN CNAME server4
certames 3600 IN A 200.129.142.39
www.maria.miranda 3600 IN CNAME server4
www.celafiu 3600 IN CNAME server4
www.enepa 3600 IN CNAME server4
www.gaeppe 3600 IN CNAME server4
revistagaia 3600 IN CNAME server4
www.cageo 3600 IN CNAME server4
www.alunointegrado 3600 IN CNAME server4
letrasuab 3600 IN CNAME ava
www.unirletras 3600 IN CNAME server4
www.gpnano 3600 IN CNAME server4
www.cursosociologia 3600 IN CNAME server4
www.bach.cienciasbiologicas 3600 IN CNAME server4
www.moodleuab 3600 IN CNAME moodleuab
www.lilipo 3600 IN CNAME server4
www.nedtmamore 3600 IN CNAME server4
www.dacccacoal 3600 IN CNAME server4
www.educa 3600 IN CNAME server4
www.mnpef 3600 IN CNAME server4
www.labcircuitos.eletrica 3600 IN CNAME server4
www.pibidfisicapvh 3600 IN CNAME server4
www.engenhariaambiental2 3600 IN CNAME server4
www.deinter 3600 IN CNAME server4
singu 3600 IN CNAME server10
semanaeduca 3600 IN CNAME server4
servradius 3600 IN A 200.129.142.109
www.depsi 3600 IN CNAME server4
www.amoret 3600 IN CNAME server4
telessaude 3600 IN CNAME servtelessaude
www.portal 3600 IN CNAME server4
www.conexaosaberes 3600 IN CNAME server4
www.secons 3600 IN CNAME server4
www.ipparo 3600 IN CNAME server4
www.certames 3600 IN CNAME certames
www.dacie 3600 IN CNAME server4
www.portalunir 3600 IN CNAME server4
www.depmed 3600 IN CNAME server4
www.albertolinscaldas 3600 IN CNAME server4
revistaeduca 3600 IN CNAME server4
www.concursos 3600 IN CNAME server4
www.ceip 3600 IN CNAME server4
www.reuni 3600 IN CNAME server4
www.consultaunir2012 3600 IN CNAME server4
www.gebaso 3600 IN CNAME server4
www.ppgmad 3600 IN CNAME server4
www.engalimentos 3600 IN CNAME server4
www.rolimdemoura 3600 IN CNAME server4
www.mnpef.pvh 3600 IN CNAME server4
www.engenhariacivil 3600 IN CNAME server4
www.histedbr 3600 IN CNAME server4
www.sed 3600 IN CNAME server4
www.sep 3600 IN CNAME server4
www.ron 3600 IN CNAME server4
www.lic.cienciasbiologicas 3600 IN CNAME server4
www.dacsa 3600 IN CNAME server4
www.revistapresenca 3600 IN CNAME server4
www.abrapsoro 3600 IN CNAME server4
www.pgca.novo 3600 IN CNAME server4
www.profajannemonteiro 3600 IN CNAME server4
www.ppga 3600 IN CNAME server4
www.primeiraversao 3600 IN CNAME server4
www.enem 3600 IN CNAME server4
www.medici 3600 IN CNAME server4
www.simaportovelho 3600 IN CNAME server4
projetos.dti 3600 IN A 200.129.142.63
www.moodledca 3600 IN CNAME server4
www.prodocencia 3600 IN CNAME server4
www.anaisdasemanadematematicaeestatistica 3600 IN CNAME server4
www.gpers 3600 IN CNAME server4
www.certame02 3600 IN CNAME certame02
www.certame03 3600 IN CNAME certame03
www.jiparana 3600 IN CNAME server4
sistemas 3600 IN A 200.129.142.26
www.mestradoadm 3600 IN CNAME server4
www.educampo 3600 IN CNAME server4
www.vilhena 3600 IN CNAME server4
www.andre 3600 IN CNAME andre
www.uca 3600 IN CNAME server4
helpdesk 3600 IN CNAME server4
geitec 3600 IN CNAME servtelessaude
www.dacagm 3600 IN CNAME server4
www.gellso 3600 IN CNAME server4
www.prad 3600 IN CNAME server4
www.alisson 3600 IN CNAME server4
www.biblioteconomia 3600 IN CNAME server4
www.propesq 3600 IN CNAME server4
www.congresso 3600 IN CNAME server4
www.dh 3600 IN CNAME server4
www.cacoal 3600 IN CNAME server4
www.labmicropro.eletrica 3600 IN CNAME server4
www.fisicajp 3600 IN CNAME server4
www.joliza.fernandes 3600 IN CNAME server4
www.ceadt 3600 IN CNAME server4
www.aguaviva 3600 IN CNAME server4
www.pibidbiologia 3600 IN CNAME server4
www.ricciotti 3600 IN CNAME server4
www.sisgec 3600 IN A 200.129.142.185
