ensi-pcreb2402 86400 IN A 192.168.25.59
port-fllash-ri 86400 IN A 195.221.190.54
agimusvm 86400 IN A 193.50.192.14
station-melanie 86400 IN A 195.221.189.135
zhang 86400 IN A 192.168.22.127
2960-24-gim-atelier 86400 IN A 192.168.20.238
portpret-dsi-4-istv0 86400 IN A 192.168.194.155
2960-isiv 86400 IN A 192.168.20.90
tert-pc-317-27 86400 IN A 172.16.4.49
e6330-3 86400 IN A 192.168.22.117
c3t-cf3 86400 IN A 192.168.8.119
ap1200-crm 86400 IN A 192.168.29.13
cam-qlio-sec01 86400 IN A 192.168.3.15
pciutdiradm01old 86400 IN A 193.50.195.180
pciutfcadm05 86400 IN A 194.167.248.98
apoweb 86400 IN CNAME srv-apoweb
2950-fllash-ext 86400 IN A 192.168.20.34
pc-scagin 86400 IN A 195.221.188.2
ensi-cao-8 86400 IN A 192.168.25.71
visio-iemn 86400 IN A 195.221.188.3
cam-410-08 86400 IN A 192.168.3.207
cam-410-09 86400 IN A 192.168.3.208
pcapogee13 86400 IN A 192.168.13.230
pc-lozenguez-wifi 86400 IN A 192.168.36.107
cam-410-13 86400 IN A 192.168.3.214
iemn-dmla1 86400 IN A 192.168.8.185
pyramid2 86400 IN A 192.168.19.73
ap1200-dsi 86400 IN A 192.168.29.69
gimgmao1 86400 IN A 192.168.11.220
gimgmao2 86400 IN A 192.168.11.221
gimgmao3 86400 IN A 192.168.11.25
gimgmao4 86400 IN A 192.168.11.24
gimgmao5 86400 IN A 192.168.11.22
gimgmao6 86400 IN A 192.168.11.21
gimgmao7 86400 IN A 192.168.11.146
gimgmao8 86400 IN A 192.168.11.147
cam-410-16 86400 IN A 192.168.3.217
pc-mbigerelle 86400 IN A 192.168.2.125
2960-lejeune1-etg 86400 IN A 192.168.20.72
pcburonzinvite 86400 IN A 195.221.187.28
ap1100-ronzier2 86400 IN A 192.168.29.62
sp-pemas-1 86400 IN A 192.168.2.161
m 86400 IN CNAME dbentvm
tert-im-315bo 86400 IN A 172.16.1.22
fortune 86400 IN A 193.50.193.14
2960-cambrai-tciaa1 86400 IN A 192.168.20.142
2960-cambrai-tciaa2 86400 IN A 192.168.20.136
pc-mledieu 86400 IN A 172.16.121.200
portdsitech2-scd 86400 IN A 195.221.187.50
ppolet 86400 IN A 195.221.189.108
castor-info 86400 IN A 192.168.38.215
pccompta01 86400 IN A 193.50.195.65
pccompta02 86400 IN A 193.50.195.34
pccompta03 86400 IN A 193.50.195.77
pccompta04 86400 IN A 193.50.195.122
pccompta05 86400 IN A 193.50.195.106
