AS1 3600 IN A 202.194.64.100
phone-server 3600 IN A 202.194.68.1
chemjingpinke 3600 IN CNAME webgate
naea1 3600 IN CNAME virtualhost
info 3600 IN A 124.133.254.51
meyb 3600 IN A 202.194.77.248
gjjl 3600 IN CNAME virtualhost
sdtd1 3600 IN CNAME zyxw
ebook 3600 IN A 202.194.76.3
FanSuHua 3600 IN A 202.194.72.208
rscclient 3600 IN A 202.194.72.66
course 3600 IN CNAME webgate
LinuxTest 3600 IN A 202.194.75.215
bio 3600 IN CNAME virtualhost
cai 3600 IN A 202.194.68.111
art 3600 IN CNAME virtualhost
nicweb 3600 IN A 202.194.68.17
ftgc 3600 IN CNAME virtualhost3
tutor 3600 IN A 124.133.254.24
post2 3600 IN A 202.194.68.63
ccc 3600 IN CNAME virtualhost3
Post3 3600 IN A 202.194.68.64
sdheems 3600 IN CNAME virtualhost
MSE-GW 3600 IN A 202.194.74.251
sdjc 3600 IN CNAME webgate
zzb 3600 IN CNAME webgate
zsb2008 3600 IN A 124.128.158.41
shekechu 3600 IN A 202.194.73.37
isda 3600 IN A 124.133.254.45
VoiceGW1 3600 IN A 202.194.68.2
cer 3600 IN CNAME virtualhost
sdlk 3600 IN A 218.98.129.8
caixj 3600 IN A 202.194.72.138
wyxy 3600 IN CNAME webgate
zkxi 3600 IN A 202.194.72.141
sqljh 3600 IN CNAME virtualhost3
dag 3600 IN CNAME tc1700-node4
edoc 3600 IN CNAME virtualhost
nwesp 3600 IN A 124.133.254.45
wangli 3600 IN A 211.64.85.16
wl 3600 IN CNAME virtualhost3
glkj 3600 IN CNAME virtualhost3
nic-wsk1 3600 IN A 202.194.68.61
cps 3600 IN CNAME webgate
Lib-GW 3600 IN A 202.194.73.62
chemlab 3600 IN CNAME virtualhost3
fund 3600 IN CNAME virtualhost3
sce-student 3600 IN A 211.144.146.61
hmj 3600 IN A 202.194.75.129
PCLABG1 3600 IN A 202.194.64.20
PCLABG2 3600 IN A 202.194.64.21
PCLABG3 3600 IN A 202.194.64.22
sdcqc 3600 IN CNAME virtualhost
cwli 3600 IN A 202.194.79.179
pzhang 3600 IN A 202.194.79.181
jndxbs 3600 IN CNAME virtualhost
ctc 3600 IN CNAME webgate
yjstj 3600 IN A 124.133.254.32
xgb 3600 IN CNAME webgate
whzx 3600 IN CNAME virtualhost
mailhost 3600 IN CNAME email
bj 3600 IN A 202.194.77.206
naea 3600 IN CNAME virtualhost
cc 3600 IN CNAME webgate
ce 3600 IN CNAME webgate
ICTPC 3600 IN A 202.194.64.17
ci 3600 IN CNAME virtualhost
bw 3600 IN CNAME virtualhost
dnj 3600 IN CNAME virtualhost
socpar 3600 IN A 124.133.254.45
JNU-GW 3600 IN A 202.194.64.2
TstRoute 3600 IN A 202.194.79.240
DNS 3600 IN A 202.194.68.10
cxl 3600 IN CNAME webgate
gh 3600 IN CNAME virtualhost
net-course 3600 IN CNAME virtualhost
hf 3600 IN CNAME virtualhost3
hg 3600 IN A 202.194.78.30
fab 3600 IN A 202.194.72.38
czx 3600 IN CNAME virtualhost
ICE-SW79 3600 IN A 202.194.79.252
gz 3600 IN A 211.64.86.201
sdxjgl 3600 IN CNAME webgate
jwgl1 3600 IN CNAME webgate
fao 3600 IN A 202.194.72.147
jwgl3 3600 IN CNAME webgate
hx 3600 IN A 202.194.73.24
jg 3600 IN CNAME virtualhost
jwgl6 3600 IN CNAME webgate
jwgl7 3600 IN CNAME webgate
jwgl8 3600 IN CNAME webgate
jwgl9 3600 IN CNAME webgate
lib-sw 3600 IN A 202.194.73.60
admission 3600 IN CNAME webgate
liuml 3600 IN A 202.194.72.36
CompLAB11 3600 IN A 202.194.75.11
CompLAB12 3600 IN A 202.194.75.12
me 3600 IN CNAME webgate
nb 3600 IN CNAME virtualhost
nc 3600 IN CNAME virtualhost
cluster 3600 IN A 202.194.64.200
fwjn 3600 IN A 124.133.254.37
CDLIB 3600 IN A 202.194.68.9
nyzx 3600 IN A 202.194.76.93
CompLAB31 3600 IN A 202.194.75.31
MX 3600 IN CNAME email
nbic 3600 IN A 124.133.254.45
pe 3600 IN CNAME webgate
ijcir 3600 IN CNAME virtualhost
tc3000-node0 3600 IN A 202.194.64.180
pn 3600 IN CNAME webgate
tc3000-node2 3600 IN A 202.194.64.182
tc3000-node3 3600 IN A 202.194.64.183
tc3000-node4 3600 IN A 202.194.64.184
tc3000-node5 3600 IN A 202.194.64.185
jnmes 3600 IN CNAME virtualhost
nictest1 3600 IN A 124.133.254.35
library 3600 IN CNAME webgate
se 3600 IN CNAME virtualhost
sl 3600 IN CNAME webgate
sm 3600 IN CNAME virtualhost
tj 3600 IN CNAME webgate
FS1 3600 IN A 202.194.64.101
libdata 3600 IN A 202.194.76.2
qydlx 3600 IN CNAME webgate
Apple 3600 IN A 202.194.66.69
tc1700-node2 3600 IN A 202.194.64.132
tc1700-node3 3600 IN A 202.194.64.133
tc1700-node4 3600 IN A 202.194.64.134
tc1700-node5 3600 IN A 202.194.64.135
tc1700-node6 3600 IN A 202.194.64.136
tc1700-node7 3600 IN A 202.194.64.137
tc1700-node8 3600 IN A 202.194.64.138
oc5022 3600 IN A 202.194.68.240
exp 3600 IN CNAME virtualhost3
mlib 3600 IN CNAME webgate
siee 3600 IN CNAME webgate
gfz 3600 IN CNAME virtualhost3
sce-weblog 3600 IN A 211.144.146.61
yp 3600 IN CNAME virtualhost
zh 3600 IN CNAME webgate
stinfo 3600 IN CNAME virtualhost
yz 3600 IN CNAME webgate
Sunguoxin 3600 IN A 202.194.70.67
glx 3600 IN CNAME virtualhost3
gms 3600 IN A 124.133.254.24
media 3600 IN CNAME virtualhost
ICE-SW751 3600 IN A 202.194.75.125
ICE-SW752 3600 IN A 202.194.75.253
jn-gprs 3600 IN A 211.137.195.19
nictest 3600 IN A 124.133.254.35
nicop2 3600 IN A 202.194.68.53
chengxin 3600 IN A 202.194.72.145
jnnx 3600 IN CNAME webgate
NCSC 3600 IN A 202.194.67.9
NICGW-VLAN20 3600 IN A 202.194.68.62
NICGW-VLAN21 3600 IN A 202.194.68.126
NICGW-VLAN22 3600 IN A 202.194.68.158
NICGW-VLAN23 3600 IN A 202.194.68.174
NICGW-VLAN24 3600 IN A 202.194.68.190
NICGW-VLAN25 3600 IN A 202.194.68.251
his 3600 IN A 124.133.254.45
Ground 3600 IN A 202.194.71.10
