grupoaportes 38400 IN A 200.32.110.35
cel 38400 IN CNAME www
cajachica 38400 IN A 200.45.170.28
www.idaes 38400 IN CNAME www.idaes.edu.ar.
webextranets 38400 IN A 200.32.110.39
cerps 38400 IN CNAME www
www.moodle.oia 38400 IN CNAME webnew
imap 38400 IN CNAME pop
siu 38400 IN A 200.45.170.16
funintec 38400 IN CNAME webnew
bbbtest 38400 IN A 168.96.255.168
www.educacionvirtual 38400 IN CNAME webnew
ticket 38400 IN CNAME webnew
www.cehp 38400 IN CNAME www
lanube 38400 IN CNAME webnew
ns1.extranets 38400 IN A 200.32.110.34
cie 38400 IN CNAME www
transporte 38400 IN CNAME www
www2 38400 IN A 170.210.48.8
www.fcdigital 38400 IN CNAME webnew
ppp-01 38400 IN A 170.210.48.91
ppp-02 38400 IN A 170.210.48.92
webmailold 38400 IN A 200.45.170.11
www3 38400 IN A 200.32.110.35
arnet 38400 IN A 168.96.255.165
moodle.oia 38400 IN CNAME webnew
envios 38400 IN A 200.32.110.39
extension 38400 IN CNAME www
def-2009 38400 IN CNAME www
microlab 38400 IN CNAME www2
www.3ia 38400 IN CNAME www
www.mundoscontemporaneos 38400 IN CNAME www
www.bibliotecacentral 38400 IN CNAME www
2015 38400 IN CNAME www
nagios 38400 IN CNAME webnew
www.spanish 38400 IN CNAME www
culturales 38400 IN A 200.32.110.35
www.mascampuspg 38400 IN CNAME webnew
koha-admin 38400 IN CNAME webnew
extranets 38400 IN NS ns1.extranets
38400 IN NS ns2.extranets
designaciones 38400 IN CNAME webnew
www.campusvirtual 38400 IN CNAME campusvirtual
www.zonadelectura 38400 IN A 200.32.110.35
www.centroddhh.posgrado 38400 IN CNAME www
soporte 38400 IN CNAME webnew
cruzi 38400 IN CNAME rho.iib
ideas 38400 IN CNAME www
www.festivaldecine 38400 IN CNAME www
ecyt 38400 IN CNAME www
www.seuintranet 38400 IN A 200.32.110.35
koha-test 38400 IN CNAME webnew
www.portugues 38400 IN CNAME www
www.eeyn 38400 IN CNAME www
www.ceps 38400 IN CNAME www
dgp 38400 IN CNAME www
icrym 38400 IN CNAME www
epyg 38400 IN CNAME www
www.agrobiotecnologia 38400 IN A 190.183.61.30
www.cesc 38400 IN CNAME www
innovacion 38400 IN CNAME www
digesto 38400 IN A 200.45.170.28
www.democ.posgrado 38400 IN CNAME www
www.adunsam 38400 IN CNAME www
pop 38400 IN A 168.96.255.165
diaguita 38400 IN CNAME webnew
iib 38400 IN NS dns1
greenstone 38400 IN CNAME webnew
mundoscontemporaneos 38400 IN CNAME www
dns1 38400 IN A 168.96.255.162
www.DEFS-2009 38400 IN CNAME www
webnew 38400 IN A 168.96.255.166
posgrado 38400 IN CNAME www
www.pegresados 38400 IN CNAME webnew
www.gibs 38400 IN CNAME www2
koha 38400 IN CNAME webnew
biblioteca 38400 IN CNAME webextranets
prueba1b 38400 IN A 200.45.170.1
20a 38400 IN CNAME webnew
www.nomada 38400 IN A 200.32.110.35
www.humanidadesdigital 38400 IN CNAME www
tst1 38400 IN A 168.96.255.166
router-riu 38400 IN A 170.210.48.99
tst2 38400 IN A 168.96.255.166
www.humanidades 38400 IN CNAME www
www.posgrado 38400 IN CNAME www
cehp 38400 IN CNAME www
ingles 38400 IN CNAME www
www.deportes 38400 IN CNAME www
www.internacional 38400 IN CNAME www
clon2 38400 IN CNAME webnew
