curso 3600 IN A 172.20.254.11
cica 3600 IN A 200.23.125.36
www.soporte 3600 IN A 200.23.125.48
www.imagenes 3600 IN CNAME imagenes
international 3600 IN A 200.23.125.44
www.iun 3600 IN A 200.23.125.36
ns1 3600 IN A 200.23.125.34
www.issima 3600 IN A 200.23.125.36
ns3 3600 IN A 200.23.125.37
www.acervo 3600 IN CNAME acervo
webconference 3600 IN A 200.23.125.94
mantenimiento 3600 IN A 200.23.125.48
contenedor 3600 IN A 200.23.125.48
www.ujedcudi 3600 IN A 200.23.125.48
tutorias 3600 IN A 200.23.125.36
www.baseu 3600 IN CNAME vhosting
nms 3600 IN A 200.23.125.48
www.investigacion 3600 IN A 200.23.125.48
www.contraloriasocial 3600 IN CNAME contraloriasocial
www.jeffbacon 3600 IN CNAME vhosting
www.lenguas 3600 IN CNAME lenguas
vhosting 3600 IN A 200.23.125.36
video 3600 IN A 200.23.125.53
www.campusviviente 3600 IN A 200.23.125.48
www.redes 3600 IN CNAME intranet
buscador 3600 IN A 200.23.125.36
www.alumnos 3600 IN CNAME hosting
www.ecq 3600 IN CNAME vhosting
intranet 3600 IN A 192.168.10.20
spaujed 3600 IN A 200.23.125.36
www.psicologia 3600 IN CNAME vhosting
www.medicinagomez 3600 IN CNAME medicinagomez
mail 3600 IN CNAME ghs.google.com.
bibvirtual 3600 IN A 200.23.125.48
www.international 3600 IN A 200.23.125.44
cch 3600 IN CNAME vhosting
webmail 3600 IN CNAME correo
www.blogs 3600 IN CNAME vhosting
aguilasreales 3600 IN A 200.23.125.48
www.cecs 3600 IN CNAME cecs
tv 3600 IN CNAME hosting
ubuntucds 3600 IN A 200.23.125.36
siia.indicadores 3600 IN A 200.23.125.36
www.correo2 3600 IN CNAME correo2
transparencia 3600 IN A 200.23.125.12
www.becas 3600 IN CNAME vhosting
cesafaderycipol 3600 IN A 200.23.125.48
www.todo 3600 IN A 200.23.125.48
www.acacia2015 3600 IN CNAME acacia2015
www.archivohistoricoij 3600 IN CNAME archivohistoricoij
simposioreafes 3600 IN A 200.23.125.48
www.compras 3600 IN CNAME vhosting
stream 3600 IN A 200.23.125.51
www.file 3600 IN CNAME file
www.fmvz 3600 IN CNAME vhosting
suv.virtual 3600 IN A 200.23.125.58
iih 3600 IN A 200.23.125.38
vmw1 3600 IN A 192.168.10.100
www.enlacesacademicos 3600 IN A 200.23.125.48
issima 3600 IN A 200.23.125.36
investigacion 3600 IN A 200.23.125.48
www.transparencia 3600 IN CNAME transparencia
compras 3600 IN CNAME vhosting
evaluarte 3600 IN A 200.23.125.97
cajanegra.radio 3600 IN A 192.168.10.21
todo 3600 IN A 200.23.125.48
www.fca 3600 IN CNAME vhosting
www.fcb 3600 IN CNAME fcb
www.rector 3600 IN A 200.23.125.48
etc2013 3600 IN A 200.23.125.48
www.tv 3600 IN CNAME hosting
siiaweb 3600 IN A 192.168.1.186
www.faz 3600 IN CNAME vhosting
www.virtual1 3600 IN CNAME virtual1
extension 3600 IN A 200.23.125.48
www.fcq 3600 IN CNAME vhosting
escueladelenguas 3600 IN A 200.23.125.48
www.evaluarte-v2 3600 IN CNAME evaluarte-v2
callmanage 3600 IN A 172.17.8.10
forestales 3600 IN CNAME hosting
www.contraloria 3600 IN CNAME contraloria
decimocoloquio 3600 IN A 200.23.125.36
3600 IN A 200.23.125.48
www.dpda 3600 IN CNAME dpda
www.decimocoloquio 3600 IN A 200.23.125.48
www.hospitalvet 3600 IN CNAME hosting
derecho 3600 IN A 200.23.125.48
blogrector 3600 IN A 200.23.125.48
www.carenae 3600 IN A 200.23.125.48
fcqgp 3600 IN CNAME vhosting
www.comercialpractica 3600 IN A 200.23.125.48
ecoes 3600 IN A 200.23.125.48
acervo 3600 IN A 200.23.125.39
www.etc 3600 IN CNAME etc
fmvz 3600 IN CNAME vhosting
www.webmail 3600 IN CNAME correo
tvenlinea 3600 IN A 200.23.125.91
www.portales 3600 IN CNAME portales
adisimagen 3600 IN A 192.168.10.17
autoresponder 3600 IN A 200.23.125.41
soporte 3600 IN A 200.23.125.48
www.agenda 3600 IN A 200.23.125.48
www.tutorias 3600 IN CNAME tutorias
lenguas2 3600 IN A 200.23.125.60
www.servicios 3600 IN A 200.23.125.48
www.vyde 3600 IN CNAME vhosting
www.sigeed 3600 IN A 200.23.125.48
www.acervo2 3600 IN CNAME acervo2
www.internet2 3600 IN A 200.23.125.48
virtual 3600 IN A 200.23.125.40
www.famen 3600 IN A 200.23.125.48
www.contenedor 3600 IN A 200.23.125.48
radio 3600 IN A 200.23.125.54
virtual1 3600 IN A 200.23.125.52
escolares 3600 IN A 200.23.125.48
contraloriasocial 3600 IN A 200.23.125.12
tvonline 3600 IN A 200.23.125.91
