inf-e 3600 IN A 103.10.169.199
gdln 3600 IN A 103.10.169.199
grad 3600 IN A 103.10.169.61
psb 3600 IN A 103.10.169.83
menwa 3600 IN A 103.10.169.83
development 3600 IN A 103.10.169.3
icoopche 3600 IN A 103.10.169.84
p2te 3600 IN A 103.10.169.246
hibah 3600 IN A 103.10.169.199
cea 3600 IN A 103.10.169.199
sireg 3600 IN A 103.10.169.2
hades 3600 IN A 103.10.169.61
serena 3600 IN A 103.10.169.241
siaset-deve 3600 IN A 103.10.169.3
earth 3600 IN A 103.10.169.252
proxy 3600 IN A 103.10.169.250
3600 IN A 103.10.169.253
on-eyes 3600 IN A 103.10.169.194
kimia-fkip 3600 IN A 103.10.169.199
opac 3600 IN A 103.10.169.92
registrasi 3600 IN A 103.10.169.65
imap 3600 IN A 103.10.169.61
athena 3600 IN A 103.10.169.244
eng 3600 IN A 103.10.169.161
eileithyia 3600 IN A 103.10.169.246
che 3600 IN A 103.10.169.199
bptik 3600 IN A 103.10.169.254
portalfinansi-deve 3600 IN A 103.10.169.3
arasmulyadi 3600 IN A 103.10.169.199
packages 3600 IN A 103.10.169.199
nebula 3600 IN A 103.10.169.214
support-bptik 3600 IN A 103.10.169.246
newrepository 3600 IN A 103.10.169.94
lpse 3600 IN A 113.212.116.86
hestia 3600 IN A 103.10.169.254
psik 3600 IN A 103.10.169.171
pascasarjana 3600 IN A 103.10.169.82
gdln-bptik 3600 IN A 103.10.169.246
student 3600 IN A 103.10.169.61
student 3600 IN NS ns1.student
sisdm-deve 3600 IN A 103.10.169.3
lib 3600 IN A 103.10.169.95
beta 3600 IN A 103.10.169.199
alcmene 3600 IN A 103.10.169.253
google37dc145490f466df 3600 IN CNAME google.com.
labor 3600 IN A 103.10.169.199
pluto 3600 IN A 103.10.169.199
bess 3600 IN A 103.10.169.101
akuntansife 3600 IN A 103.10.169.199
warta 3600 IN A 103.10.169.83
blog 3600 IN A 103.10.169.199
updatebiodata 3600 IN A 103.10.169.68
math 3600 IN A 103.10.169.199
edom 3600 IN A 103.10.169.241
sepakad 3600 IN A 103.10.169.242
senat 3600 IN A 103.10.169.199
perencanaan 3600 IN A 103.10.169.65
masjidarfaunnas 3600 IN A 103.10.169.171
tracerstudy 3600 IN A 103.10.169.171
old-mail 3600 IN A 103.10.169.201
ejournal 3600 IN A 103.10.169.95
fisip 3600 IN A 103.10.169.131
pasca-ilmupertanian 3600 IN A 103.10.169.82
almasdi 3600 IN A 103.10.169.246
kepegawaian 3600 IN A 103.10.169.65
3600 IN A 103.10.169.199
beasiswa 3600 IN A 103.10.169.65
email 3600 IN A 103.10.169.61
sibeasiswa-deve 3600 IN A 103.10.169.3
bapsi 3600 IN A 103.10.169.83
sosiologi 3600 IN A 103.10.169.199
sionlinetest-deve 3600 IN A 103.10.169.3
ares 3600 IN A 103.10.169.196
pop 3600 IN A 103.10.169.61
diklat 3600 IN A 103.10.169.199
siadm-deve 3600 IN A 103.10.169.3
verifikasi 3600 IN A 103.10.169.68
sia-deve 3600 IN A 103.10.169.3
web-bptik 3600 IN A 103.10.169.246
jni 3600 IN A 103.10.169.199
e-learning 3600 IN A 103.10.169.83
eris 3600 IN A 103.10.169.245
jurnal 3600 IN A 103.10.169.199
news 3600 IN A 103.10.169.83
lists 3600 IN A 103.10.169.62
airport 3600 IN A 103.10.169.161
fakultas 3600 IN A 103.10.169.199
kemahasiswaan 3600 IN A 103.10.169.83
jom 3600 IN A 103.10.169.95
ce 3600 IN A 103.10.169.199
pasca-ie 3600 IN A 103.10.169.82
alumni 3600 IN A 103.10.169.65
portal 3600 IN A 103.10.169.65
pmb 3600 IN A 103.10.169.65
komsi-fmipa 3600 IN A 103.10.169.199
pasca-sosiologi 3600 IN A 103.10.169.82
eman 3600 IN A 103.10.169.199
ee 3600 IN A 103.10.169.199
hebe 3600 IN A 103.10.169.217
fe 3600 IN A 103.10.169.121
dph 3600 IN A 103.10.169.199
fh 3600 IN A 103.10.169.181
bayar 3600 IN A 103.10.169.68
