portal.dice 3600 IN CNAME s-win-spp
www.workshopbrie 3600 IN CNAME s-win-web-1
cercetare-pensii 3600 IN CNAME s-lnx-web-7
cib.argus 3600 IN A 86.55.178.130
paul 3600 IN CNAME s-win-web-1
www.ecg2 3600 IN CNAME s-win-web-1
cercetare-in-turism-CACTUS 3600 IN CNAME s-lnx-web-7
pmlearning 3600 IN A 37.120.249.15
alumni.simur 3600 IN A 193.226.34.51
www.algoritmi-genetici 3600 IN CNAME s-win-web-1
csie 3600 IN A 193.226.34.89
csie 3600 IN MX 10 ASPMX.L.GOOGLE.COM.
3600 IN MX 20 ALT1.ASPMX.L.GOOGLE.COM.
3600 IN MX 30 ALT2.ASPMX.L.GOOGLE.COM.
3600 IN MX 40 ASPMX2.GOOGLEMAIL.COM.
3600 IN MX 50 ASPMX3.GOOGLEMAIL.COM.
csie 3600 IN TXT "google-site-verification=nZN-VLEwYOmsg2c8QiiJoOKF6o9pQ8hAVvULIlJHRX0"
olka 3600 IN A 37.120.250.26
www.zota 3600 IN CNAME s-win-web-1
www.evenimente 3600 IN CNAME s-lnx-web-1
admitere-licenta 3600 IN CNAME s-win-web-1
t-fabiz 3600 IN CNAME s-lnx-web-7
aac 3600 IN MX 15 ASPMX.L.GOOGLE.COM.
3600 IN MX 25 ALT1.ASPMX.L.GOOGLE.COM.
3600 IN MX 25 ALT2.ASPMX.L.GOOGLE.COM.
3600 IN MX 30 ASPMX2.GOOGLEMAIL.COM.
3600 IN MX 30 ASPMX3.GOOGLEMAIL.COM.
3600 IN MX 30 ASPMX4.GOOGLEMAIL.COM.
3600 IN MX 30 ASPMX5.GOOGLEMAIL.COM.
aac 3600 IN A 37.120.249.40
www.aiesec 3600 IN CNAME s-win-web-1
geopolitica 3600 IN CNAME s-lnx-web-7
exchangerpc 3600 IN A 193.226.34.55
www.25lideri 3600 IN CNAME s-lnx-web-7
doc-cdi2008 3600 IN MX 15 ASPMX.L.GOOGLE.COM.
3600 IN MX 25 ALT1.ASPMX.L.GOOGLE.COM.
3600 IN MX 25 ALT2.ASPMX.L.GOOGLE.COM.
3600 IN MX 30 ASPMX2.GOOGLEMAIL.COM.
3600 IN MX 30 ASPMX3.GOOGLEMAIL.COM.
3600 IN MX 30 ASPMX4.GOOGLEMAIL.COM.
3600 IN MX 30 ASPMX5.GOOGLEMAIL.COM.
doc-cdi2008 3600 IN A 193.226.34.74
www.dmci 3600 IN A 193.226.34.89
abs 3600 IN CNAME s-win-web-1
www.rei-id 3600 IN CNAME s-lnx-web-7
acs 3600 IN CNAME s-win-web-ie-1
calist 3600 IN MX 20 s-mail-1
calist 3600 IN TXT "v=spf1 mx  a:barracuda.ase.ro  a:smtp1.ase.ro a:s-win-smtp-2.ase.ro a:s-mail-1.ase.ro ~all"
www.colegiulgerman 3600 IN CNAME s-lnx-web-1
ileanaaron 3600 IN CNAME s-win-web-1
mrk-id 3600 IN CNAME s-lnx-web-7
clustinova 3600 IN CNAME s-lnx-web-1
ecg2 3600 IN CNAME s-win-web-1
t-camp 3600 IN CNAME s-lnx-web-1
www.marketing 3600 IN CNAME s-lnx-web-7
mba-romcan 3600 IN CNAME s-lnx-web-7
www.manastireavarbila 3600 IN CNAME s-win-web-1
economyinformatics 3600 IN A 193.226.34.73
economyinformatics 3600 IN MX 20 s-mail-1
economyinformatics 3600 IN TXT "v=spf1 mx  a:barracuda.ase.ro  a:smtp1.ase.ro a:s-mail-1.ase.ro a:s-win-smtp-2.ase.ro ~all"
earlydetection 3600 IN CNAME s-lnx-web-7
alexbarbulescu 3600 IN CNAME s-win-web-1
geography 3600 IN CNAME s-win-web-1
www.dmlg 3600 IN A 193.226.34.89
bcf 3600 IN CNAME s-lnx-web-7
ama 3600 IN MX 10 ASPMX.L.GOOGLE.COM.
3600 IN MX 20 ALT1.ASPMX.L.GOOGLE.COM.
3600 IN MX 20 ALT2.ASPMX.L.GOOGLE.COM.
3600 IN MX 30 ASPMX2.GOOGLEMAIL.COM.
3600 IN MX 30 ASPMX3.GOOGLEMAIL.COM.
ama 3600 IN A 193.226.34.74
simurcercetare 3600 IN A 193.226.34.51
bcm 3600 IN CNAME s-lnx-web-7
energieverde 3600 IN CNAME s-win-web-1
bcq 3600 IN A 193.226.34.89
messenger 3600 IN A 193.226.34.53
amp 3600 IN A 193.226.34.74
amp 3600 IN MX 20 s-mail-1
amp 3600 IN TXT "v=spf1\009mx  a:barracuda.ase.ro \009a:smtp1.ase.ro a:s-mail-1.ase.ro\009~all"
