@ 86400 IN SOA dns root 2015022501 28800 7200 604800 86400
@ 86400 IN NS dns
86400 IN NS nsa.ces.net.
@ 86400 IN MX 20 mx1
86400 IN MX 10 mx2
@ 86400 IN TXT "MS=ms49747165"
86400 IN TXT "z9XtVkk6F+RWhPP55j6EFwpBHxyulZw2e8ZC14ZeMYkpbSmi7ioQHTRsOlJdDxQdMJO9HtsUF3uPQIqG6vz/CQ=="
pc149-26 86400 IN A 78.128.149.26
pc149-27 86400 IN A 78.128.149.27
pc149-28 86400 IN A 78.128.149.28
pc149-29 86400 IN A 78.128.149.29
pc149-31 86400 IN A 78.128.149.31
pc149-32 86400 IN A 78.128.149.32
pc149-33 86400 IN A 78.128.149.33
pc149-34 86400 IN A 78.128.149.34
pc149-35 86400 IN A 78.128.149.35
pc149-36 86400 IN A 78.128.149.36
pc149-37 86400 IN A 78.128.149.37
pc149-38 86400 IN A 78.128.149.38
pc149-39 86400 IN A 78.128.149.39
pc128-79 86400 IN A 195.113.127.79
pc149-42 86400 IN A 78.128.149.42
pc149-43 86400 IN A 78.128.149.43
pc149-44 86400 IN A 78.128.149.44
pc149-45 86400 IN A 78.128.149.45
pc149-46 86400 IN A 78.128.149.46
pc149-47 86400 IN A 78.128.149.47
pc149-48 86400 IN A 78.128.149.48
pc149-49 86400 IN A 78.128.149.49
pc149-51 86400 IN A 78.128.149.51
opencms 86400 IN CNAME cms-proxy
pc149-53 86400 IN A 78.128.149.53
pc149-54 86400 IN A 78.128.149.54
pc149-55 86400 IN A 78.128.149.55
pc149-56 86400 IN A 78.128.149.56
pc149-57 86400 IN A 78.128.149.57
pc149-58 86400 IN A 78.128.149.58
pc149-59 86400 IN A 78.128.149.59
pc149-61 86400 IN A 78.128.149.61
pc149-62 86400 IN A 78.128.149.62
pc149-63 86400 IN A 78.128.149.63
pc149-64 86400 IN A 78.128.149.64
pc149-65 86400 IN A 78.128.149.65
pc149-66 86400 IN A 78.128.149.66
pc149-67 86400 IN A 78.128.149.67
pc149-68 86400 IN A 78.128.149.68
pc149-69 86400 IN A 78.128.149.69
pc149-71 86400 IN A 78.128.149.71
pc149-72 86400 IN A 78.128.149.72
pc149-73 86400 IN A 78.128.149.73
pc149-74 86400 IN A 78.128.149.74
pc149-75 86400 IN A 78.128.149.75
pc149-76 86400 IN A 78.128.149.76
pc149-77 86400 IN A 78.128.149.77
pc149-78 86400 IN A 78.128.149.78
nod32 86400 IN CNAME wsus
pc149-81 86400 IN A 78.128.149.81
pc149-82 86400 IN A 78.128.149.82
pc149-83 86400 IN A 78.128.149.83
pc149-84 86400 IN A 78.128.149.84
pc149-85 86400 IN A 78.128.149.85
pc149-86 86400 IN A 78.128.149.86
pc149-87 86400 IN A 78.128.149.87
pc149-88 86400 IN A 78.128.149.88
pc149-89 86400 IN A 78.128.149.89
pc149-91 86400 IN A 78.128.149.91
pc149-92 86400 IN A 78.128.149.92
pc149-93 86400 IN A 78.128.149.93
pc149-94 86400 IN A 78.128.149.94
pc149-95 86400 IN A 78.128.149.95
pc149-96 86400 IN A 78.128.149.96
pc149-97 86400 IN A 78.128.149.97
pc149-98 86400 IN A 78.128.149.98
pc149-99 86400 IN A 78.128.149.99
pc128-90 86400 IN A 195.113.127.90
pytela 86400 IN CNAME webak2
pc156-194 86400 IN A 78.128.156.194
pc168-91 86400 IN A 195.113.168.91
pc159-243 86400 IN A 78.128.159.243
pc151-246 86400 IN A 78.128.151.246
testy 86400 IN A 195.113.124.174
testy 86400 IN AAAA 2001:718:603:e195:113:124:128:174
pc156-196 86400 IN A 78.128.156.196
pc151-248 86400 IN A 78.128.151.248
pc159-161 86400 IN A 78.128.159.161
srupa 86400 IN CNAME webak2
pc151-250 86400 IN A 78.128.151.250
pc152-17 86400 IN A 78.128.152.17
pc158-250 86400 IN A 78.128.158.250
pc127-109 86400 IN A 195.113.127.109
pc151-251 86400 IN A 78.128.151.251
pc159-234 86400 IN A 78.128.159.234
pc156-211 86400 IN A 78.128.156.211
pc151-253 86400 IN A 78.128.151.253
pc156-213 86400 IN A 78.128.156.213
pc150-194 86400 IN A 78.128.150.194
pc156-214 86400 IN A 78.128.156.214
dfjp 86400 IN CNAME webak2
pc158-251 86400 IN A 78.128.158.251
pc155-103 86400 IN A 78.128.155.103
pc168-93 86400 IN A 195.113.168.93
pc159-235 86400 IN A 78.128.159.235
pc154-15 86400 IN A 78.128.154.15
pc156-218 86400 IN A 78.128.156.218
pc127-120 86400 IN A 195.113.127.120
pc156-220 86400 IN A 78.128.156.220
pc168-100 86400 IN A 195.113.168.100
ussi-gis 86400 IN AAAA 2001:718:603:e195:113:124::47
kontakt 86400 IN CNAME webak2
vs2008 86400 IN CNAME webak2
pc156-225 86400 IN A 78.128.156.225
pc168-101 86400 IN A 195.113.168.101
pc168-95 86400 IN A 195.113.168.95
pc168-152 86400 IN A 195.113.168.152
pc154-202 86400 IN A 78.128.154.202
pc127-129 86400 IN A 195.113.127.129
pc156-230 86400 IN A 78.128.156.230
pc150-210 86400 IN A 78.128.150.210
infotrans 86400 IN CNAME webak2
pc168-102 86400 IN A 195.113.168.102
pc168-179 86400 IN A 195.113.168.179
pc168-238 86400 IN A 195.113.168.238
pc156-232 86400 IN A 78.128.156.232
pc159-244 86400 IN A 78.128.159.244
pc158-104 86400 IN A 78.128.158.104
pc168-107 86400 IN A 195.113.168.107
fisdemo 86400 IN CNAME fisdemo2
android 86400 IN CNAME webak2
pc168-103 86400 IN A 195.113.168.103
cms-demo 86400 IN A 195.113.124.136
pc159-240 86400 IN A 78.128.159.240
pc156-238 86400 IN A 78.128.156.238
pc127-140 86400 IN A 195.113.127.140
pc156-240 86400 IN A 78.128.156.240
pc154-20 86400 IN A 78.128.154.20
ruzicka 86400 IN CNAME webak2
pc158-190 86400 IN A 78.128.158.190
pc150-195 86400 IN A 78.128.150.195
pc154-132 86400 IN A 78.128.154.132
pc168-104 86400 IN A 195.113.168.104
pc156-243 86400 IN A 78.128.156.243
pc155-122 86400 IN A 78.128.155.122
ppp-pro 86400 IN CNAME webak2
pc156-245 86400 IN A 78.128.156.245
kaa 86400 IN CNAME webak2
pc168-1 86400 IN A 195.113.168.1
pc168-2 86400 IN A 195.113.168.2
pc168-3 86400 IN A 195.113.168.3
pc168-4 86400 IN A 195.113.168.4
pc168-5 86400 IN A 195.113.168.5
pc168-6 86400 IN A 195.113.168.6
pc168-7 86400 IN A 195.113.168.7
pc168-8 86400 IN A 195.113.168.8
pc168-105 86400 IN A 195.113.168.105
isc 86400 IN CNAME webak2
pc127-149 86400 IN A 195.113.127.149
pc157-16 86400 IN A 78.128.157.16
pc156-250 86400 IN A 78.128.156.250
pc155-116 86400 IN A 78.128.155.116
pc162-210 86400 IN A 195.113.162.210
pc155-140 86400 IN A 78.128.155.140
pc125-10 86400 IN A 195.113.125.10
