kumlab 86400 IN A 194.27.51.11
aiit 86400 IN A 194.27.51.11
yabanciuyruklu 86400 IN A 194.27.51.11
ilkogretim 86400 IN A 194.27.51.11
kobb 86400 IN A 194.27.51.11
biyoloji 86400 IN A 194.27.51.11
kudus 86400 IN A 194.27.51.11
bilgisayar 86400 IN A 193.255.242.15
turkdili 86400 IN A 194.27.51.11
kuzemue.kku.edu.tr 86400 IN A 193.255.242.21
dis 86400 IN A 194.27.51.11
kumal 86400 IN A 194.27.51.11
seuam 86400 IN A 194.27.51.11
oyp 86400 IN A 194.27.51.11
personel-mail 86400 IN A 194.27.51.26
hkbb 86400 IN A 194.27.51.11
projeofisi 86400 IN A 194.27.51.11
igsde.kku.edu.tr 86400 IN A 193.255.242.16
ebs 86400 IN A 194.27.51.7
fizik 86400 IN A 194.27.51.11
teknokent 86400 IN A 194.27.51.11
bm 86400 IN A 194.27.51.11
kmyo 86400 IN A 194.27.51.11
bapotomasyon 86400 IN A 193.255.242.3
kalite 86400 IN A 194.27.51.11
icdenetim 86400 IN A 194.27.51.11
psikoloji 86400 IN A 194.27.51.11
cocuklaricinprogramlama 86400 IN A 194.27.51.11
sgbe 86400 IN A 194.27.51.11
bidb1 86400 IN A 193.255.242.61
biyomuhendislik 86400 IN A 194.27.51.11
kaum 86400 IN A 194.27.51.11
eem 86400 IN A 194.27.51.11
ebys 86400 IN A 193.255.242.24
abofisi 86400 IN A 194.27.51.11
hazirlik 86400 IN A 194.27.51.11
metalurji 86400 IN A 194.27.51.11
csaum 86400 IN A 194.27.51.11
matematik 86400 IN A 194.27.51.11
