www.tampu 3600 IN CNAME acuario
www.financiera 3600 IN CNAME icarus
osiris 3600 IN A 200.21.83.138
www.comdist 3600 IN CNAME acuario
www.egresadosudc 3600 IN CNAME acuario
eafrocol 3600 IN CNAME acuario
gestionred 3600 IN CNAME abel
congresomd 3600 IN CNAME acuario
girp 3600 IN CNAME acuario
www.coloquiocurriculo 3600 IN CNAME acuario
www.fonduc 3600 IN CNAME acuario
elane 3600 IN CNAME dotlrn-elane
consentido 3600 IN CNAME acuario
www.radiounicauca 3600 IN CNAME radiounicauca
proxying 3600 IN A 172.16.255.212
fundainfantil 3600 IN CNAME acuario
gea 3600 IN A 200.21.83.75
inventariored 3600 IN CNAME acuario
jardinbotanico 3600 IN A 200.21.83.75
www.sepa 3600 IN CNAME acuario
www.gospel 3600 IN CNAME acuario
tawert 3600 IN A 190.90.112.167
encuentroj 3600 IN CNAME acuario
epiclin 3600 IN CNAME purace
recreartedigital 3600 IN CNAME atenea
axe 3600 IN A 200.30.71.156
fccea 3600 IN CNAME acuario
ces 3600 IN CNAME acuario
scifiet 3600 IN A 200.21.83.93
server-vri 3600 IN A 200.21.83.120
server-vri 3600 IN MX 10 server-vri
facultadsalud 3600 IN CNAME hades
edudistancia 3600 IN A 200.21.83.95
rugby 3600 IN CNAME acuario
www.disenografico 3600 IN CNAME acuario
prometeo 3600 IN A 190.90.112.111
www.gluc 3600 IN CNAME acuario
www.caucacyt 3600 IN CNAME acuario
www.sachawaira 3600 IN CNAME purace
www.administracion-red 3600 IN CNAME acuario
gastronomia 3600 IN CNAME acuario
sdoo 3600 IN A 200.21.83.91
www.inmunoweb 3600 IN CNAME acuario
www.criminalistica 3600 IN CNAME acuario
interactivos 3600 IN CNAME hades
www.revista.iered 3600 IN CNAME revista.iered
dcx 3600 IN CNAME acuario
www.coloquiogeografia 3600 IN CNAME acuario
www.gseguridad 3600 IN CNAME acuario
www.gic 3600 IN CNAME acuario
deudores 3600 IN CNAME acuario
popayan3d 3600 IN CNAME afrodita
www.grupoantropos 3600 IN CNAME acuario
thebes 3600 IN A 200.21.83.139
felaa 3600 IN CNAME acuario
saludocupacional 3600 IN CNAME atenea
transporterural 3600 IN CNAME acuario
www.bimac 3600 IN CNAME acuario
www.teleeducacion 3600 IN CNAME acuario
facultades 3600 IN CNAME acuario
www.labpazsur 3600 IN CNAME acuario
www.radiocomunitaria 3600 IN CNAME acuario
dns1 3600 IN A 190.5.200.226
dns2 3600 IN A 190.5.200.227
ai 3600 IN CNAME acuario
roboticaati2005 3600 IN CNAME acuario
poseidon 3600 IN A 190.90.112.121
cts 3600 IN CNAME spar
feriaempresarial 3600 IN CNAME acuario
biblioteca 3600 IN A 190.90.112.82
grupolinux 3600 IN CNAME acuario
administracion-red 3600 IN CNAME acuario
vites 3600 IN CNAME acuario
www.prometeo 3600 IN CNAME prometeo
www.cade 3600 IN CNAME acuario
adonis 3600 IN A 200.21.83.153
www.dotlrn-elane 3600 IN A 190.90.112.185
gluc 3600 IN CNAME acuario
edufisica 3600 IN CNAME atenea
coloquiocomunicacion 3600 IN CNAME atenea
cerbero 3600 IN A 200.21.83.132
www.rocin 3600 IN CNAME acuario
www.exalumnos 3600 IN CNAME acuario
www.gntt 3600 IN CNAME atenea
www.grugiqa 3600 IN CNAME acuario
dtc 3600 IN CNAME acuario
dtm 3600 IN CNAME acuario
www.languages 3600 IN CNAME hades
antares 3600 IN A 190.90.112.112
dtx 3600 IN CNAME acuario
circe 3600 IN CNAME acuario
bioinformatica 3600 IN CNAME acuario
www.retas 3600 IN CNAME retas
mitnick 3600 IN A 200.21.83.101
siti2003 3600 IN CNAME hades
siti2004 3600 IN CNAME acuario
www.congresobotanica 3600 IN CNAME acuario
apolo 3600 IN A 200.21.83.161
fibis 3600 IN CNAME acuario
www.tic 3600 IN CNAME acuario
akira 3600 IN MX 10 akira
akira 3600 IN A 190.90.112.134
polinomia 3600 IN CNAME acuario
fic 3600 IN CNAME acuario
giopad 3600 IN CNAME acuario
wapcolombia 3600 IN CNAME acuario
inventariored2 3600 IN CNAME acuario
halley 3600 IN A 200.21.83.157
zelda 3600 IN MX 10 zelda
zelda 3600 IN A 200.21.83.72
rudecolombia 3600 IN CNAME acuario
www.enlaceinformatico 3600 IN CNAME acuario
eva 3600 IN CNAME dotlrn-elane
hera 3600 IN A 10.200.1.136
cade 3600 IN CNAME acuario
gec 3600 IN CNAME acuario
papiro 3600 IN CNAME acuario
antropos 3600 IN A 200.21.83.86
cisco 3600 IN CNAME acuario
uv 3600 IN CNAME hades
pis 3600 IN CNAME acuario
www.simep 3600 IN CNAME acuario
seminario_aut 3600 IN CNAME acuario
calypso 3600 IN A 200.21.83.104
gntt 3600 IN CNAME atenea
gic 3600 IN CNAME acuario
acuario 3600 IN A 190.90.112.137
www.aulaweb 3600 IN CNAME acuario
www.pfi 3600 IN CNAME hades
git 3600 IN CNAME acuario
hal 3600 IN A 200.30.71.150
perseo 3600 IN A 190.90.112.183
3600 IN A 200.21.83.183
donquijote 3600 IN A 200.30.71.142
pulsos 3600 IN A 190.90.112.7
www.egresados 3600 IN CNAME acuario
www.siti2003 3600 IN CNAME hades
www.siti2004 3600 IN CNAME acuario
www.seminarioaut 3600 IN CNAME acuario
chat.iered 3600 IN A 190.90.112.33
www.pki 3600 IN CNAME acuario
www.periodico 3600 IN CNAME acuario
www.pld 3600 IN CNAME acuario
senuma 3600 IN CNAME acuario
www.derecho 3600 IN CNAME derecho
www.emprendedores 3600 IN CNAME acuario
latin 3600 IN CNAME purace
www.gastronomia 3600 IN CNAME acuario
fayol 3600 IN CNAME atenea
lbmpls 3600 IN CNAME acuario
enlaces 3600 IN CNAME g
reglamento 3600 IN CNAME acuario
foro2566 3600 IN CNAME acuario
olimpo 3600 IN A 200.21.83.190
jano 3600 IN A 190.90.112.84
gti 3600 IN CNAME acuario
www.pis 3600 IN CNAME acuario
biblio 3600 IN A 190.90.112.11
www.cead 3600 IN CNAME acuario
mediostxmet 3600 IN CNAME acuario
www.psi 3600 IN CNAME acuario
