@ 86400 IN SOA bidai postmaster 2015032501 10800 1800 360000 86400
@ 86400 IN MX 10 bidai
@ 86400 IN NS bidai
b56 86400 IN A 202.209.189.56
b207 86400 IN A 202.209.189.207
b58 86400 IN A 202.209.189.58
b59 86400 IN A 202.209.189.59
b61 86400 IN A 202.209.189.61
b62 86400 IN A 202.209.189.62
b63 86400 IN A 202.209.189.63
b64 86400 IN A 202.209.189.64
b224 86400 IN A 202.209.189.224
b66 86400 IN A 202.209.189.66
b120 86400 IN A 202.209.189.120
b68 86400 IN A 202.209.189.68
b69 86400 IN A 202.209.189.69
b71 86400 IN A 202.209.189.71
b225 86400 IN A 202.209.189.225
b73 86400 IN A 202.209.189.73
b74 86400 IN A 202.209.189.74
b75 86400 IN A 202.209.189.75
b76 86400 IN A 202.209.189.76
b77 86400 IN A 202.209.189.77
b72 86400 IN A 202.209.189.72
b79 86400 IN A 202.209.189.79
b81 86400 IN A 202.209.189.81
b83 86400 IN A 202.209.189.83
b84 86400 IN A 202.209.189.84
b85 86400 IN A 202.209.189.85
b86 86400 IN A 202.209.189.86
b87 86400 IN A 202.209.189.87
b88 86400 IN A 202.209.189.88
b89 86400 IN A 202.209.189.89
b208 86400 IN A 202.209.189.208
b92 86400 IN A 202.209.189.92
b90 86400 IN A 202.209.189.90
b94 86400 IN A 202.209.189.94
b95 86400 IN A 202.209.189.95
b91 86400 IN A 202.209.189.91
b230 86400 IN A 202.209.189.230
b99 86400 IN A 202.209.189.99
kodurin 86400 IN A 49.212.82.75
b93 86400 IN A 202.209.189.93
proxy 86400 IN CNAME b2
b210 86400 IN A 202.209.189.210
b70 86400 IN A 202.209.189.70
b130 86400 IN A 202.209.189.130
b96 86400 IN A 202.209.189.96
rbidai 86400 IN A 202.209.189.254
b203 86400 IN A 202.209.189.203
b98 86400 IN A 202.209.189.98
b240 86400 IN A 202.209.189.240
b241 86400 IN A 202.209.189.241
b67 86400 IN A 202.209.189.67
b243 86400 IN A 202.209.189.243
keyaki 86400 IN A 54.65.193.235
b244 86400 IN A 202.209.189.244
b140 86400 IN A 202.209.189.140
b245 86400 IN A 202.209.189.245
b246 86400 IN A 202.209.189.246
mail 86400 IN CNAME bidai
