portalalumni 86400 IN CNAME kanluran
bw-sip 86400 IN A 202.92.148.105
directory 86400 IN CNAME timog
cmpim 86400 IN CNAME pimedicus
pharmlib 86400 IN CNAME unos
oash 86400 IN CNAME kanluran
cebs.cm 86400 IN CNAME timog
exam-analyzer.cm 86400 IN CNAME timog
ilib 86400 IN CNAME daigdig
ippao 86400 IN CNAME kanluran
ntc 86400 IN A 202.92.148.166
ntc 86400 IN MX 10 martian
medisys 86400 IN A 202.92.148.227
ihg 86400 IN CNAME timog
gradoffice 86400 IN CNAME kanluran
alumni.reg 86400 IN CNAME kanluran
peri 86400 IN CNAME timog
nttchp 86400 IN CNAME timog
training.ims 86400 IN CNAME timog
amihan 86400 IN A 202.92.148.135
onlineset 86400 IN CNAME amihan
vpn-portal 86400 IN A 202.92.148.242
one 86400 IN A 202.90.158.63
one 86400 IN AAAA 2001:d18:1:1:213:72ff:fe4f:8d6
alumni 86400 IN CNAME timog
daluyan 86400 IN A 202.92.148.137
demo.nis 86400 IN CNAME banwa
ilc 86400 IN A 202.92.148.169
biodiversity 86400 IN A 202.92.148.168
nttchplib 86400 IN CNAME unos
oset.cas 86400 IN CNAME berdugo
deoh.cph 86400 IN CNAME habagat
mainlibrary 86400 IN CNAME unos
buddyworks.ntc 86400 IN CNAME martian
medlib 86400 IN CNAME unos
ims 86400 IN CNAME habagat
dce 86400 IN A 202.92.148.164
vle 86400 IN CNAME habagat
isis 86400 IN A 202.92.148.226
dulong 86400 IN CNAME hangin
osa 86400 IN CNAME timog
ocis 86400 IN A 202.92.148.225
schisto 86400 IN CNAME schisto
pjhrd 86400 IN CNAME habagat
ipo 86400 IN CNAME timog
livestream 86400 IN CNAME habagat
election.provident 86400 IN CNAME kanluran
ftp.south 86400 IN CNAME timog
pgherp 86400 IN A 202.92.148.229
cph 86400 IN CNAME habagat
our 86400 IN CNAME timog
tikiwiki 86400 IN CNAME tubig
vpn 86400 IN CNAME tunel
ngohs 86400 IN CNAME timog
tiki 86400 IN CNAME banwa
tunel 86400 IN A 202.92.148.150
upcmpim 86400 IN CNAME pimedicus
ipharm.cp 86400 IN CNAME timog
time 86400 IN CNAME timog
edts 86400 IN CNAME banwa
saturno 86400 IN A 202.92.148.156
ushare 86400 IN A 50.18.108.16
osiris 86400 IN CNAME osiris.cm
gubat 86400 IN A 202.92.148.138
womensdesk 86400 IN CNAME kanluran
webvpn 86400 IN CNAME vpn
upmas 86400 IN CNAME lupa
cd 86400 IN CNAME timog
pahinungod 86400 IN CNAME kanluran
darwin.ims 86400 IN A 202.92.148.120
vpn-gw 86400 IN A 202.92.148.246
cm 86400 IN A 208.77.102.4
cm 86400 IN MX 5 alt1.aspmx.l.google.com.
86400 IN MX 5 alt2.aspmx.l.google.com.
86400 IN MX 10 aspmx2.googlemail.com.
86400 IN MX 10 aspmx3.googlemail.com.
86400 IN MX 10 aspmx4.googlemail.com.
86400 IN MX 10 aspmx5.googlemail.com.
cm 86400 IN TXT "v=spf1 include:aspmx.googlemail.com ~all"
cn 86400 IN CNAME timog
cp 86400 IN CNAME timog
alumniserver 86400 IN CNAME kanluran
hilaga 86400 IN A 202.92.148.131
ictris.ims 86400 IN CNAME kanluran
studentportal 86400 IN CNAME kanluran
dats 86400 IN CNAME amihan
