@ 86400 IN SOA nm.hbu.cn. root.ns.hbu.cn. 2015043001 3600 3600 604800 3600
@ 1800 IN NS nm.hbu.cn.
hbdxqks 1800 IN A 221.192.237.154
ccec 1800 IN A 221.192.237.144
jwc3 1800 IN A 221.192.236.184
hedashequ 1800 IN A 221.192.237.144
dsgl 1800 IN A 221.192.237.154
mail 1800 IN MX 10 mail.hbu.cn.
mail 1800 IN A 221.192.237.139
dqxx 1800 IN A 221.192.237.154
xwb 1800 IN A 221.192.237.154
xuekeeeeeeeee 1800 IN A 221.192.237.131
family 1800 IN A 221.192.237.131
yxsyzx 1800 IN A 221.192.237.144
cces 1800 IN A 221.192.236.138
hos 1800 IN A 221.192.237.154
int 1800 IN A 221.192.237.154
gzc 1800 IN A 221.192.237.131
ecpe 1800 IN A 221.192.237.154
zzb 1800 IN A 221.192.237.154
lcri 1800 IN A 221.192.237.144
tpm 1800 IN A 221.192.236.185
tuanwei 1800 IN A 221.192.237.154
old 1800 IN A 221.192.237.154
ftp6 1800 IN AAAA 2001:250:801::8
hpz 1800 IN A 221.192.237.141
yxb 1800 IN A 221.192.237.154
yjw 1800 IN A 202.206.3.96
pubtopic 1800 IN A 10.186.136.18
tyb 1800 IN A 221.192.237.131
www.mlcenter 1800 IN A 221.192.237.131
cool 1800 IN A 221.192.237.138
hdnews 1800 IN A 221.192.236.169
huli 1800 IN A 221.192.237.154
xgwh 1800 IN A 221.192.237.154
vpdn 1800 IN A 221.192.237.138
img.news 1800 IN A 221.192.236.154
ccjy 1800 IN A 221.192.237.154
zhishu 1800 IN A 221.192.237.154
zhijian 1800 IN A 221.192.236.188
labsys 1800 IN A 221.192.237.154
protein 1800 IN A 221.192.237.154
xdjc 1800 IN A 221.192.236.188
2011 1800 IN A 221.192.237.154
hpdb 1800 IN A 221.192.236.157
clc 1800 IN A 221.192.236.138
dangban 1800 IN A 221.192.237.154
wushu 1800 IN A 221.192.237.154
xbzrb 1800 IN A 221.192.237.154
cmc 1800 IN A 221.192.236.139
blog 1800 IN A 221.192.237.132
www.news 1800 IN A 221.192.236.154
jcyxy 1800 IN A 221.192.237.144
yxyjyjy 1800 IN A 221.192.237.154
xswyh 1800 IN A 221.192.237.131
bwc 1800 IN A 221.192.237.154
learning 1800 IN A 221.192.236.146
cms 1800 IN A 202.206.0.97
1800 IN A 221.192.236.166
pla 1800 IN A 221.192.236.130
archives 1800 IN A 221.192.236.132
sinto 1800 IN A 221.192.237.154
mcmd 1800 IN A 221.192.237.154
c3 1800 IN A 221.192.237.154
itc 1800 IN A 221.192.237.138
oa 1800 IN A 221.192.237.154
www6 1800 IN A 221.192.237.142
www6 1800 IN AAAA 2001:da8:a400::14
vpn 1800 IN A 221.192.237.138
gdzx 1800 IN A 221.192.237.154
cyberhanlin 1800 IN A 221.192.237.141
pms 1800 IN A 221.192.237.154
cy 1800 IN A 221.192.236.146
jxcg-1 1800 IN A 221.192.237.154
ipv 1800 IN A 221.192.237.144
apimedia.news 1800 IN A 221.192.237.154
e6 1800 IN AAAA 2001:da8:a400:567::100
e6 1800 IN A 202.206.3.210
zzb1 1800 IN A 221.192.237.154
xxq 1800 IN A 221.192.237.154
manage.news 1800 IN A 221.192.236.154
ad 1800 IN A 221.192.237.144
www 1800 IN A 221.192.237.154
healthcare 1800 IN A 221.192.236.135
job 1800 IN A 221.192.236.146
bb 1800 IN A 221.192.237.154
84days 1800 IN A 221.192.237.154
a.news 1800 IN A 221.192.237.154
zhuoyue 1800 IN A 221.192.237.154
course 1800 IN A 221.192.236.184
cpst 1800 IN A 221.192.237.154
shbz 1800 IN A 221.192.237.131
qzlx.news 1800 IN A 221.192.237.154
psy 1800 IN A 221.192.236.146
cc 1800 IN A 221.192.236.175
sunny 1800 IN A 221.192.236.130
ce 1800 IN A 221.192.237.131
jjss 1800 IN A 221.192.237.135
cwc 1800 IN A 221.192.237.131
edm 1800 IN A 221.192.236.179
manage 1800 IN A 221.192.237.154
ygzx 1800 IN A 221.192.236.146
redline 1800 IN A 221.192.236.130
dmt 1800 IN A 221.192.237.154
cs 1800 IN A 221.192.237.154
ec 1800 IN A 221.192.237.144
hdjk 1800 IN A 221.192.237.154
hbbsk 1800 IN A 221.192.237.154
hanlin2 1800 IN A 221.192.237.144
hanlin3 1800 IN A 221.192.237.131
ceie 1800 IN A 221.192.237.131
lab 1800 IN A 221.192.237.131
zhyl 1800 IN A 221.192.237.154
artedu 1800 IN A 221.192.237.154
rendalifa 1800 IN A 221.192.237.154
