evaluacioneducativa 86400 IN A 200.40.112.86
terminalserver 86400 IN A 200.40.112.93
pencacopaamerica 86400 IN CNAME ucu.tupenca.com.
admisionesweb 86400 IN A 200.40.112.80
cinapcap2 86400 IN CNAME cinap
cec2 86400 IN A 190.64.30.3
cec 86400 IN A 200.40.112.86
eneas 86400 IN A 200.40.112.93
competitividad 86400 IN A 190.64.30.4
comunicacionsocial 86400 IN A 200.40.112.86
soporte 86400 IN A 200.40.112.84
dieucu 86400 IN A 200.40.112.94
producciondocente 86400 IN A 200.40.112.91
jornadasinteruniversitarias2008 86400 IN A 200.40.112.86
smtp.correo 86400 IN A 200.40.112.83
owa 3600 IN A 200.40.112.87
die 86400 IN A 200.40.112.86
portallaboral 86400 IN A 200.40.112.80
tempdixit 86400 IN A 190.64.30.3
autogestion 86400 IN A 200.40.112.89
leysociedadescomerciales 86400 IN A 200.40.112.86
gestion 86400 IN A 200.40.112.87
nexo 86400 IN A 200.40.112.86
dicc 86400 IN A 200.40.112.82
soportemagix 86400 IN A 200.40.69.66
educacion 86400 IN A 200.40.112.86
adfs 86400 IN A 200.40.112.93
portal 86400 IN A 200.40.112.86
loopback 86400 IN A 127.0.0.1
tempidel 86400 IN A 200.40.112.91
biblioteca 86400 IN A 200.40.112.91
