fonderie 38400 IN CNAME web
projetrfidee 38400 IN CNAME eleves
sesame 38400 IN CNAME web1
centrale-killer 38400 IN CNAME eleves
anneepro 38400 IN CNAME www3
plastibot 38400 IN CNAME eleves
admin-centrale 38400 IN CNAME web
criec 38400 IN CNAME web
iam 38400 IN A 193.51.52.125
flexlm 38400 IN CNAME flexlm.priv
eclip3 38400 IN A 172.30.0.223
protonext 38400 IN CNAME eleves
nfspub 38400 IN A 193.51.52.200
dinner 38400 IN CNAME eleves
webig2i 38400 IN A 193.51.52.51
badgeapp 38400 IN CNAME badgeapp.priv
asa 38400 IN A 193.51.52.1
ambitions 38400 IN CNAME iteemsrv
manip-lgca-web 38400 IN CNAME manip-lgca-web.priv
cag 38400 IN CNAME lae
integration 38400 IN CNAME eleves
sondage 38400 IN CNAME web
proxpub 38400 IN A 193.51.52.20
mailcube2 38400 IN A 193.51.52.6
nice 38400 IN CNAME devex
time-2014 38400 IN CNAME web1
imp-turbulence 38400 IN CNAME web
idp 38400 IN CNAME shibbserv
cas 38400 IN CNAME casserv
graf 38400 IN CNAME graf.priv
chaire-ecommerce 38400 IN A 193.51.52.154
formations 38400 IN CNAME entdev.priv
mail 38400 IN A 193.51.52.110
38400 IN A 193.51.52.111
olivierboumatar 38400 IN CNAME web
smartlearning 38400 IN CNAME eleves
sri 38400 IN CNAME web
sportuesninja 38400 IN CNAME eleves
agostini 38400 IN CNAME web
pyro 38400 IN CNAME eleves
inscription-admin 38400 IN CNAME web2
lowperm4 38400 IN CNAME lowperm4.priv
hobbes 38400 IN CNAME hobbes.priv
iteem3m 38400 IN CNAME iteemsrv
boutique 38400 IN CNAME chaire-ecommerce
eleves 38400 IN MX 0 eleves
eleves 38400 IN A 172.30.0.222
drive 38400 IN CNAME drive.priv
cesa2014 38400 IN A 193.51.52.118
cesa2015 38400 IN CNAME cesa2014
ntp 38400 IN CNAME linproxy
gitlab 38400 IN A 193.51.52.126
stoptrain 38400 IN CNAME eleves
cours-de-referencement 38400 IN CNAME web
cdavy 38400 IN CNAME web
filex 38400 IN A 193.51.52.22
calendrier 38400 IN CNAME web
philippepernod 38400 IN CNAME web
photo 38400 IN CNAME eleves
pedagogie 38400 IN CNAME moodlesrv.priv
citymove 38400 IN CNAME eleves
emmanuel.duflos 38400 IN CNAME web
wiki.cri 38400 IN CNAME web1.priv
sporlympinpin 38400 IN CNAME eleves
signal 38400 IN A 193.51.52.52
sylvainrousseau 38400 IN CNAME web
partir 38400 IN CNAME eleves
www2 38400 IN CNAME eleves
capico 38400 IN A 193.51.52.123
shibbserv 38400 IN A 193.51.52.113
hes 38400 IN CNAME hes.priv
annuaire 38400 IN CNAME openldapanon.priv
sf2m 38400 IN CNAME web
casserv 38400 IN A 193.51.52.106
metalan 38400 IN CNAME eleves
web1 38400 IN A 193.51.52.115
iteemsrv 38400 IN A 193.51.52.4
visio-conf 38400 IN CNAME visio-conf.priv
orauxscope 38400 IN CNAME eleves
cle 38400 IN CNAME eleves
ralf 38400 IN CNAME eleves
salons.im 38400 IN CNAME im
sailin-teem 38400 IN CNAME eleves
stats-centrale 38400 IN CNAME web
colivad 38400 IN CNAME www3
nathalie.dangoumau 38400 IN CNAME web
blog 38400 IN CNAME web
sidevo 38400 IN CNAME eleves
japoniaiseries 38400 IN CNAME eleves
syner 38400 IN CNAME syner.priv
duflos 38400 IN CNAME web
web 38400 IN A 193.51.52.104
www.gala 38400 IN CNAME gala
cheerup 38400 IN CNAME eleves
bows2 38400 IN CNAME signal
proxy.im 38400 IN CNAME im
biblioserv 38400 IN CNAME biblioserv.priv
onrzed 38400 IN CNAME eleves
proxpub3 38400 IN A 193.51.52.30
relaymail1 38400 IN A 193.51.52.108
isf 38400 IN CNAME eleves
ent 38400 IN CNAME ent.priv
listserv 38400 IN A 193.51.52.12
images 38400 IN CNAME web
vpn 38400 IN CNAME openvpn.priv
fechtival 38400 IN CNAME eleves
gestiondeprojet 38400 IN CNAME web
entreprise 38400 IN CNAME web
webquest 38400 IN CNAME webquest.priv
msn.im 38400 IN CNAME im
seerc 38400 IN CNAME eleves
effi-genie 38400 IN CNAME effi-genie.priv
lajfsqo 38400 IN CNAME eleves
caze 38400 IN CNAME caze.priv
_xmpp-client._tcp 86400 IN SRV 5 0 5222 im
paondart 38400 IN CNAME eleves
equipeosl-lagis 38400 IN CNAME equipeosl-lagis.priv
enquetes 38400 IN CNAME sphynxserv
dns1 38400 IN A 193.51.52.2
dns2 38400 IN A 193.51.52.7
impulsion 38400 IN CNAME eleves
glpi 38400 IN CNAME web
entdev 38400 IN CNAME entdev.priv
mailhost 38400 IN CNAME relaymail1
devex 38400 IN A 172.30.0.220
ecm 38400 IN CNAME ecm.priv
gcell 38400 IN CNAME eleves
www 38400 IN CNAME web
psi 38400 IN CNAME eleves
ca-eleves 38400 IN CNAME eleves
vinci 38400 IN MX 0 eleves
poker 38400 IN CNAME eleves
pierrechainais 38400 IN CNAME web
jeanpierrerichard 38400 IN CNAME web
clap 38400 IN CNAME eleves
optimoteur 38400 IN CNAME eleves
nysa 38400 IN CNAME eleves
eduspot 38400 IN CNAME eduspot.priv
clcc 38400 IN CNAME eleves
lae 38400 IN CNAME eleves
robocop 38400 IN CNAME syner.priv
caflaboz-gmbh 38400 IN CNAME chaire-ecommerce
p.borne 38400 IN CNAME web
asicom1 38400 IN CNAME asicom1.priv
