science2 259200 IN A 218.7.43.38
newspaper 259200 IN CNAME newspaper1.3g.chaoxing.com.
bioinfor408 259200 IN CNAME home28
xswjglxxxt 259200 IN CNAME home28
rgsy 259200 IN CNAME home28
home16 259200 IN A 202.118.176.16
home17 259200 IN A 218.7.43.17
kyxljh 259200 IN CNAME home20
home20 259200 IN A 202.118.176.20
security 259200 IN CNAME home202
home26 259200 IN A 218.7.43.26
home28 259200 IN A 218.7.43.28
jsjjc 259200 IN CNAME home28
home31 259200 IN A 218.7.43.31
home32 259200 IN A 218.7.43.19
jzbg 259200 IN CNAME home0009
itest 259200 IN CNAME home28
home36 259200 IN A 218.7.43.16
heucose 259200 IN CNAME home28
heuac 259200 IN CNAME home16
home0026 259200 IN A 202.118.176.12
nide2006 259200 IN CNAME home28
jgzfpy 259200 IN CNAME home28
home46 259200 IN A 218.7.43.46
wlk 259200 IN CNAME home28
acmicpc 259200 IN CNAME home28
cbyhygcjg 259200 IN CNAME zdkzll
hxgcygyzy 259200 IN CNAME zdkzll
home0029 259200 IN A 218.7.43.30
wmn 259200 IN CNAME home28
football 259200 IN CNAME home28
home66 259200 IN A 202.118.176.66
cbzdcj 259200 IN CNAME home28
newsms 259200 IN CNAME home28
qqqq 259200 IN CNAME home28
tibank 259200 IN CNAME home28
home0018 259200 IN A 202.118.177.80
cse 259200 IN CNAME home119
jxzy202 259200 IN CNAME home35
jdsy 259200 IN CNAME home28
labonline 259200 IN CNAME home28
szdl 259200 IN CNAME home36
icslab 259200 IN CNAME home28
etc-jpkc 259200 IN CNAME home36
hqrl 259200 IN CNAME home0009
sxwl 259200 IN CNAME home36
ntil 259200 IN CNAME home28
jmsaen 259200 IN CNAME home28
guide 259200 IN CNAME home119
home0019 259200 IN A 202.118.176.28
sssxgtxdz 259200 IN CNAME home28
hrbxl 259200 IN CNAME home16
hxgc 259200 IN CNAME home28
cllx 259200 IN CNAME home36
jdxt 259200 IN CNAME home28
zsb 259200 IN CNAME home0015
weixin 259200 IN CNAME home28
yghzcx 259200 IN CNAME home28
uiaa 259200 IN CNAME home181
hwpt 259200 IN CNAME home28
vpn 259200 IN A 218.7.43.3
sanhaiyihe 259200 IN CNAME home28
oslab 259200 IN CNAME home28
szjs 259200 IN CNAME home28
lab805_2 259200 IN A 202.118.183.243
gfxy 259200 IN CNAME home0015
shelian 259200 IN CNAME home28
meec 259200 IN CNAME home16
szlj 259200 IN CNAME home36
www 259200 IN CNAME home8
cltclab 259200 IN CNAME cltc
jgcl 259200 IN CNAME home28
szlx 259200 IN CNAME home0009
406 259200 IN CNAME home28
machunguang 259200 IN CNAME home28
hljcf 259200 IN CNAME home28
ltlx 259200 IN CNAME home28
home11 259200 IN A 202.118.176.11
xsc 259200 IN CNAME home16
syxk 259200 IN CNAME home28
xsh 259200 IN CNAME home28
jgdw 259200 IN CNAME home0015
cywl 259200 IN CNAME home0009
hwcs 259200 IN CNAME home28
heucfe 259200 IN CNAME home28
xkjszxcspt 259200 IN CNAME home0009
ssskccx 259200 IN CNAME home28
yjx 259200 IN CNAME idcoa
its 259200 IN CNAME home0009
jingzhao 259200 IN CNAME home28
jiaotong 259200 IN CNAME home28
hgcjcjs 259200 IN CNAME home28
ccpcl 259200 IN CNAME home16
zdh 259200 IN CNAME home28
cslm 259200 IN CNAME home0015
heusu 259200 IN CNAME home28
triz 259200 IN CNAME home28
hrbeuvpn 259200 IN A 218.7.43.7
hljhm 259200 IN CNAME home28
jwtest 259200 IN CNAME home20
heyuan 259200 IN CNAME home28
etc-jxzzjc 259200 IN CNAME home36
zdhgcyjs 259200 IN CNAME home28
bmks 259200 IN CNAME home0009
shfw 259200 IN CNAME home0009
heuxb 259200 IN CNAME home28
xyl 259200 IN CNAME home28
learn 259200 IN CNAME home28
turbine 259200 IN CNAME home28
hjgczy 259200 IN CNAME zdkzll
peak 259200 IN CNAME home119
csse 259200 IN CNAME home28
epaper 259200 IN CNAME home28
ru 259200 IN CNAME home16
webfans 259200 IN CNAME home28
scenery 259200 IN CNAME home28
yjsyinfo 259200 IN CNAME home28
dccydcb 259200 IN CNAME home36
peec 259200 IN CNAME home28
kxjs 259200 IN CNAME home28
forum 259200 IN CNAME home66
home33 259200 IN A 218.7.43.33
eweixiehui 259200 IN CNAME home0003
libvip 259200 IN CNAME home11
android 259200 IN CNAME home28
home0001 259200 IN A 218.7.43.194
home0002 259200 IN A 218.7.43.108
newnic 259200 IN CNAME home28
yxd 259200 IN A 202.118.176.53
npsrc 259200 IN CNAME home28
home35 259200 IN A 202.118.176.35
home0007 259200 IN CNAME home0008
home0008 259200 IN A 202.118.177.10
home0010 259200 IN A 202.118.177.9
