@ 86400 IN SOA barsac inetadm 2015041420 28800 14400 1209600 86400
@ 86400 IN MX 10 sauternes
@ 86400 IN NS bxnms.u-bordeaux.fr.
cmenu-ps 86400 IN A 194.199.250.142
agrotic2-ps 86400 IN A 194.199.250.86
vmi-ps 86400 IN A 194.199.249.149
microbio12-ps 86400 IN A 194.199.249.190
cgy-ps2 86400 IN A 194.199.249.153
p05-pom2-ps 86400 IN A 194.199.250.56
ppx-lt 86400 IN A 194.199.249.48
dpaport-ps 86400 IN A 194.199.250.222
cg-ps 86400 IN A 194.199.249.50
mail 86400 IN CNAME sauternes
www-formations 86400 IN CNAME www-iis
router-inet 86400 IN A 194.199.249.254
microbio8-ps 86400 IN A 194.199.249.179
fd-ps 86400 IN A 194.199.249.253
giaf5-ps 86400 IN A 194.199.249.229
ldr-nb 86400 IN A 194.199.250.157
conc1-ps 86400 IN A 194.199.250.210
mjo-ps 86400 IN A 194.199.249.183
mu-ps 86400 IN A 194.199.250.175
anaistest 86400 IN A 194.199.251.212
p11-pom2-ps 86400 IN A 194.199.250.62
cdi1-ps 86400 IN A 194.199.250.134
jpm-ps 86400 IN A 194.199.249.57
ldr-ps 86400 IN A 194.199.250.95
cdi16-ps 86400 IN A 194.199.250.188
mg-ps 86400 IN A 194.199.250.114
www.cercle 86400 IN CNAME cercle-srv
ginet 86400 IN A 194.199.249.60
gdtr1-ps 86400 IN A 194.199.249.242
dpa3a7-ps 86400 IN A 194.199.250.232
gea9-ps 86400 IN A 194.199.249.143
dhcp 86400 IN A 194.199.251.201
p04-s5-ps 86400 IN A 194.199.249.220
fc2-ps 86400 IN A 194.199.249.128
lb-ps 86400 IN A 194.199.249.148
ftp-ecole 86400 IN CNAME www-iis
p07-s4-ps 86400 IN A 194.199.249.208
p16-pom2-ps 86400 IN A 194.199.250.45
fw 86400 IN A 194.199.249.115
ams-ps 86400 IN A 194.199.250.133
p02-s27-ps 86400 IN A 194.199.249.195
bs-ps 86400 IN A 194.199.250.107
at-ps 86400 IN A 194.199.249.184
p05-s4-ps 86400 IN A 194.199.249.206
sm16-ps 86400 IN A 194.199.250.81
pdt-ps 86400 IN A 194.199.250.220
giaf8-ps 86400 IN A 194.199.249.232
ame-ps 86400 IN A 194.199.250.118
cgo-ps 86400 IN A 194.199.249.145
pv1-ps 86400 IN A 194.199.250.163
p03-s4-ps 86400 IN A 194.199.249.204
pc-ps 86400 IN A 194.199.250.108
gfou-ps 86400 IN A 194.199.249.90
cgo-coc-ps 86400 IN A 194.199.249.145
p10-pom2-ps 86400 IN A 194.199.250.61
cdi4-ps 86400 IN A 194.199.250.146
netmet 86400 IN A 194.199.249.68
vpn-gateway-249 86400 IN A 194.199.249.251
printer-fpr 86400 IN A 194.199.249.247
stag-lenaf-ps 86400 IN A 194.199.250.170
p01-s4-ps 86400 IN A 194.199.249.202
cdi19-ps 86400 IN A 194.199.251.231
agro3-ps 86400 IN A 194.199.250.97
gidemo 86400 IN A 194.199.249.23
nfr-ps 86400 IN A 194.199.250.168
router-inet-gateway-250 86400 IN A 194.199.250.254
agrotic5-ps 86400 IN A 194.199.250.89
www-aae 86400 IN CNAME www-iis
ach-ps 86400 IN A 194.199.250.242
jpg-ps 86400 IN A 194.199.250.184
fc5-ps 86400 IN A 194.199.249.131
laboinfonet 86400 IN A 194.199.249.71
aal-ps 86400 IN A 194.199.250.167
bdh-nb 86400 IN A 194.199.249.172
labo-info-dev-nb 86400 IN A 194.199.249.171
ajx-ps 86400 IN A 194.199.251.218
dhcp-c20 86400 IN A 194.199.251.20
sm17-ps 86400 IN A 194.199.250.82
p0-s11-ps 86400 IN A 194.199.250.26
p8eco-ps 86400 IN A 194.199.249.107
sm19-ps 86400 IN A 194.199.250.84
aagestion 86400 IN A 194.199.249.82
igcs-sun 86400 IN CNAME medoc
jma-ps 86400 IN A 194.199.250.176
lj-ps 86400 IN A 194.199.250.178
p11eco-ps 86400 IN A 194.199.249.110
p15-pom2-ps 86400 IN A 194.199.250.44
bh-ps 86400 IN A 194.199.250.115
stveg3-ps 86400 IN A 194.199.249.238
clonezilla 86400 IN A 194.199.249.118
sm14-ps 86400 IN A 194.199.250.79
arrege-web-srv 86400 IN A 194.199.249.81
tse2 86400 IN A 194.199.249.31
p5-s11-ps 86400 IN A 194.199.250.31
dhcp-c29 86400 IN A 194.199.251.29
cdi7-ps 86400 IN A 194.199.250.148
listrac 86400 IN A 194.199.249.88
agrotic11-ps 86400 IN A 194.199.250.20
p4eco-ps 86400 IN A 194.199.249.103
djn-ps 86400 IN A 194.199.249.78
cdi23-ps 86400 IN A 194.199.251.235
aletoq-ps 86400 IN A 194.199.249.8
servicesvm 86400 IN A 194.199.249.40
lv-ps 86400 IN A 194.199.249.62
sm05-ps 86400 IN A 194.199.250.70
agrotic8-ps 86400 IN A 194.199.250.92
p03-pom2-ps 86400 IN A 194.199.250.54
lame3-srv 86400 IN A 194.199.249.19
gdtr2-ps 86400 IN A 194.199.249.243
p2eco-ps 86400 IN A 194.199.249.101
cg-mu-nb 86400 IN A 194.199.250.25
moodle 86400 IN A 194.199.251.208
carto-srv 86400 IN A 194.199.250.216
dhcp-c40 86400 IN A 194.199.251.40
rm-ps 86400 IN A 194.199.249.49
tracerA0 86400 IN A 194.199.250.190
pl-res-ps 86400 IN A 194.199.250.186
clar-ps 86400 IN A 194.199.250.244
cercle-srv 86400 IN A 194.199.249.27
p00-s27-ps 86400 IN A 194.199.249.193
p3-s11-ps 86400 IN A 194.199.250.29
gea1-ps 86400 IN A 194.199.250.215
esup 86400 IN A 194.199.249.7
agora 86400 IN A 194.199.249.114
dpa3a11-ps 86400 IN A 194.199.250.236
sm06-ps 86400 IN A 194.199.250.71
qualite3-ps 86400 IN A 194.199.249.158
esa-ps 86400 IN A 194.199.250.213
vapeur39 86400 IN A 194.199.249.39
dpa3a1-ps 86400 IN A 194.199.250.226
agrotic 86400 IN CNAME www-iis
dhcp-c49 86400 IN A 194.199.251.49
pv2-ps 86400 IN A 194.199.250.164
www-ecole 86400 IN CNAME www-iis
cb-ps 86400 IN A 194.199.250.106
mu-mac 86400 IN A 194.199.250.179
ol-ps 86400 IN A 194.199.249.63
bdv 86400 IN A 194.199.249.126
microbio3-ps 86400 IN A 194.199.250.208
gea3-ps 86400 IN A 194.199.250.218
jpdc-nb 86400 IN A 194.199.249.181
bfs 86400 IN A 194.199.249.42
fc10-ps 86400 IN A 194.199.249.136
agrotic14-ps 86400 IN A 194.199.250.32
dpa2-ps 86400 IN A 194.199.249.162
p07-s27-ps 86400 IN A 194.199.249.200
nba-ps 86400 IN A 194.199.249.13
ft-ps 86400 IN A 194.199.249.26
mpo-ps 86400 IN A 194.199.250.156
dhcp-c59 86400 IN A 194.199.251.59
p14-pom2-ps 86400 IN A 194.199.250.65
jpdc-ps 86400 IN A 194.199.250.169
jcg-ps 86400 IN A 194.199.250.113
spa-ps 86400 IN A 194.199.250.174
www-des 86400 IN CNAME www-iis
cdi11-ps 86400 IN A 194.199.250.172
p04-pom2-ps 86400 IN A 194.199.250.55
services 86400 IN A 194.199.249.72
qualite5-ps 86400 IN A 194.199.249.160
cdi 86400 IN A 194.199.251.219
p06-s5-ps 86400 IN A 194.199.250.41
dhcp-c100 86400 IN A 194.199.251.100
dhcp-c101 86400 IN A 194.199.251.101
dhcp-c102 86400 IN A 194.199.251.102
dhcp-c103 86400 IN A 194.199.251.103
dhcp-c104 86400 IN A 194.199.251.104
dhcp-c105 86400 IN A 194.199.251.105
dhcp-c106 86400 IN A 194.199.251.106
dhcp-c107 86400 IN A 194.199.251.107
dhcp-c108 86400 IN A 194.199.251.108
dhcp-c110 86400 IN A 194.199.251.110
dhcp-c111 86400 IN A 194.199.251.111
dhcp-c112 86400 IN A 194.199.251.112
dhcp-c113 86400 IN A 194.199.251.113
dhcp-c114 86400 IN A 194.199.251.114
dhcp-c115 86400 IN A 194.199.251.115
dhcp-c116 86400 IN A 194.199.251.116
dhcp-c117 86400 IN A 194.199.251.117
dhcp-c118 86400 IN A 194.199.251.118
dhcp-c120 86400 IN A 194.199.251.120
dhcp-c121 86400 IN A 194.199.251.121
dhcp-c122 86400 IN A 194.199.251.122
dhcp-c123 86400 IN A 194.199.251.123
dhcp-c124 86400 IN A 194.199.251.124
dhcp-c125 86400 IN A 194.199.251.125
dhcp-c126 86400 IN A 194.199.251.126
dhcp-c127 86400 IN A 194.199.251.127
dhcp-c128 86400 IN A 194.199.251.128
dhcp-c129 86400 IN A 194.199.251.129
dhcp-c131 86400 IN A 194.199.251.131
dhcp-c132 86400 IN A 194.199.251.132
dhcp-c133 86400 IN A 194.199.251.133
dhcp-c134 86400 IN A 194.199.251.134
dhcp-c135 86400 IN A 194.199.251.135
dhcp-c136 86400 IN A 194.199.251.136
dhcp-c137 86400 IN A 194.199.251.137
dhcp-c138 86400 IN A 194.199.251.138
dhcp-c140 86400 IN A 194.199.251.140
dhcp-c141 86400 IN A 194.199.251.141
dhcp-c142 86400 IN A 194.199.251.142
dhcp-c143 86400 IN A 194.199.251.143
dhcp-c144 86400 IN A 194.199.251.144
dhcp-c145 86400 IN A 194.199.251.145
dhcp-c146 86400 IN A 194.199.251.146
dhcp-c147 86400 IN A 194.199.251.147
dhcp-c148 86400 IN A 194.199.251.148
dhcp-c150 86400 IN A 194.199.251.150
dhcp-c151 86400 IN A 194.199.251.151
dhcp-c152 86400 IN A 194.199.251.152
dhcp-c153 86400 IN A 194.199.251.153
dhcp-c154 86400 IN A 194.199.251.154
dhcp-c155 86400 IN A 194.199.251.155
dhcp-c156 86400 IN A 194.199.251.156
dhcp-c157 86400 IN A 194.199.251.157
dhcp-c158 86400 IN A 194.199.251.158
dhcp-c159 86400 IN A 194.199.251.159
dhcp-c161 86400 IN A 194.199.251.161
dhcp-c162 86400 IN A 194.199.251.162
dhcp-c163 86400 IN A 194.199.251.163
dhcp-c164 86400 IN A 194.199.251.164
dhcp-c165 86400 IN A 194.199.251.165
dhcp-c166 86400 IN A 194.199.251.166
dhcp-c167 86400 IN A 194.199.251.167
dhcp-c168 86400 IN A 194.199.251.168
dhcp-c170 86400 IN A 194.199.251.170
dhcp-c171 86400 IN A 194.199.251.171
dhcp-c172 86400 IN A 194.199.251.172
dhcp-c173 86400 IN A 194.199.251.173
dhcp-c79 86400 IN A 194.199.251.79
dhcp-c175 86400 IN A 194.199.251.175
dhcp-c176 86400 IN A 194.199.251.176
dhcp-c177 86400 IN A 194.199.251.177
dhcp-c178 86400 IN A 194.199.251.178
dhcp-c179 86400 IN A 194.199.251.179
dhcp-c181 86400 IN A 194.199.251.181
dhcp-c182 86400 IN A 194.199.251.182
dhcp-c183 86400 IN A 194.199.251.183
dhcp-c184 86400 IN A 194.199.251.184
dhcp-c185 86400 IN A 194.199.251.185
dhcp-c186 86400 IN A 194.199.251.186
dhcp-c187 86400 IN A 194.199.251.187
dhcp-c188 86400 IN A 194.199.251.188
