itsms17bbapp1 7200 IN A 86.36.67.34
sisttdb1 7200 IN A 86.36.71.155
kindi 7200 IN CNAME active
qrssc 7200 IN CNAME active
bbtest 7200 IN A 86.36.70.223
sisttssb1 7200 IN A 86.36.71.151
sispsbx 7200 IN A 86.36.65.46
myadvisor 7200 IN A 86.36.74.35
echo360 7200 IN CNAME itsms74echoapp
mysp 7200 IN A 185.37.108.72
jupiter 7200 IN A 86.36.74.58
qudns 7200 IN A 78.100.48.122
sisttdb2 7200 IN A 86.36.71.156
webmail 300 IN A 86.36.71.185
faculty 7200 IN CNAME www9
spol 7200 IN A 86.36.74.104
project 7200 IN A 80.231.135.172
content 7200 IN CNAME itsvs02ldcntnt
ced 7200 IN CNAME www9
*mylibrary 7200 IN CNAME mylibrary
surveys 7200 IN CNAME active
_collab-edge._tls 7200 IN SRV 0 0 8443 qucall
ssoprod 7200 IN A 86.36.67.49
ebspisup 7200 IN A 86.36.71.77
encore 7200 IN A 86.36.67.48
lyncdiscover 7200 IN CNAME lyncweb-ext
pbl 7200 IN A 86.36.72.86
old 7200 IN CNAME webserv
pharmacistforum 7200 IN CNAME itsvs66cm1
imap 7200 IN A 86.36.65.22
*.ezproxy 7200 IN A 86.36.67.51
lughataltefel 7200 IN CNAME itsvs02ldcntnt
supplierstest 7200 IN CNAME ebstirec
m.mylibrary 7200 IN CNAME ssoprod
engineering 7200 IN CNAME www
active 7200 IN A 86.36.67.254
mycalls 7200 IN A 86.36.65.14
mysptest 7200 IN A 86.36.65.18
itsvs02ldcntnt 7200 IN A 86.36.70.252
mx2 7200 IN A 86.36.67.18
libraries 7200 IN CNAME www
sispssb1 7200 IN A 86.36.70.11
alumniportal 7200 IN A 86.36.65.48
webserv 7200 IN A 86.36.67.50
releep 7200 IN A 86.36.67.89
shaqab 7200 IN CNAME xampp
writinglab 7200 IN CNAME itsvs66cm1
sts 7200 IN A 86.36.65.21
research 7200 IN CNAME www
home 7200 IN CNAME www
callqu 7200 IN A 185.37.108.155
acdplan 7200 IN A 86.36.68.209
pluto 7200 IN A 80.231.135.134
imyvd 7200 IN A 86.36.72.140
libguides 7200 IN CNAME www.libguides.com.
reserve 7200 IN CNAME xampp
oasis 7200 IN A 86.36.65.12
dialin 7200 IN A 86.36.66.233
sistssb1 7200 IN A 86.36.65.25
www9 7200 IN A 86.36.67.84
web 7200 IN A 185.37.108.61
fmc_mini-exams 7200 IN CNAME xampp
edge1 7200 IN A 86.36.69.138
edge2 7200 IN A 86.36.69.139
oipd 7200 IN CNAME itsvs88ird
sispssb 7200 IN A 86.36.70.10
shariaa 7200 IN CNAME www
listserv 7200 IN A 185.37.108.78
itsms71echostrm 7200 IN A 86.36.67.86
mybb91test2 7200 IN A 86.36.65.16
